Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpLen	StdEpLen	MaxEpLen	MinEpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	ShowRet	SJF	F1	Time
0	-24.276155	16.539433	-1.1377811	-56.927753	256.0	0.0	256.0	256.0	-0.0014536275	0.00291863	0.015685424	-0.04573007	5120	2.0116568e-08	862.8092	-0.00091428123	-601.26495	2.6815515	1.522759e-06	0.00234375	79.0	-8.682269	15.593884	15.593884	393.49960803985596
1	-32.39868	27.644894	-3.622976	-102.213974	256.0	0.0	256.0	256.0	-25.036335	2.6270783	-23.770163	-45.809093	10240	-1.1175871e-08	784.50287	-0.0009781116	-115.936584	2.775909	0.00012359131	0.000390625	79.0	-5.9546595	26.44402	26.44402	785.7042586803436
2	-33.46319	41.129128	-2.16683	-167.80962	256.0	0.0	256.0	256.0	-32.70153	10.596691	-28.16103	-102.774994	15360	-2.3376197e-08	1373.914	-0.0035009088	-303.98645	2.7766883	0.0027643624	0.021289062	79.0	-12.9045925	20.558598	20.558598	1178.372951745987
3	-17.958302	11.032173	-2.4068353	-41.613766	256.0	0.0	256.0	256.0	-29.442928	14.325223	-2.7776577	-122.35951	20480	9.685754e-09	363.00592	-0.00082427484	-253.28738	2.6262062	0.00015434218	0.0052734376	79.0	-5.57796	12.380341	12.380341	1569.043110370636
4	-28.868948	23.06338	-1.8114934	-98.66428	256.0	0.0	256.0	256.0	-19.51463	6.1098094	-10.997911	-56.78221	25600	1.1920929e-08	537.34503	-0.001437422	-133.67688	2.7422495	-0.00089279714	0.015039062	79.0	21.41024	50.279186	50.279186	1962.3396632671356
5	-18.124243	13.989531	-2.043258	-56.27883	256.0	0.0	256.0	256.0	-26.613953	7.408184	-13.59319	-88.223434	30720	-1.071021e-08	259.54282	-0.0012698015	-87.973145	2.603183	-0.00041210448	0.00390625	79.0	-1.067723	17.05652	17.05652	2354.587536096573
6	-20.86918	14.605658	-2.7098541	-56.064304	256.0	0.0	256.0	256.0	-18.302649	4.9681535	-14.309959	-46.60341	35840	-6.891787e-09	200.90437	-0.0011031575	-13.711594	2.6393917	-0.0003328566	0.0033203126	79.0	-9.252363	11.616816	11.616816	2743.0407152175903
7	-21.20827	15.967381	-2.484295	-68.958626	256.0	0.0	256.0	256.0	-20.785767	4.3895226	-15.613515	-52.33655	40960	-2.644956e-08	221.85294	-0.0008017442	-18.854065	2.6652007	5.789914e-05	0.001953125	79.0	-4.2813697	16.926899	16.926899	3134.067569255829
8	-18.045277	13.195438	-1.8922617	-49.7367	256.0	0.0	256.0	256.0	-21.02464	7.0432854	-13.845741	-80.67153	46080	6.798655e-09	172.20638	-0.0013033189	-21.95958	2.6103528	0.0003958231	0.0146484375	79.0	-1.2365028	16.808773	16.808773	3525.435849428177
9	-24.058208	18.293911	-2.1050808	-63.271095	256.0	0.0	256.0	256.0	-18.693367	5.1767464	-14.957905	-49.448204	51200	-1.2665987e-08	316.62616	-0.0023154414	-43.195587	2.6818593	0.00065610296	0.018164063	79.0	-3.724816	20.33339	20.33339	3913.717541217804
10	-21.636662	17.21696	-4.725638	-80.10471	256.0	0.0	256.0	256.0	-23.80103	8.209498	-17.155039	-88.4548	56320	-5.029142e-09	234.81442	-0.004023427	-22.416718	2.6780696	-0.00037165784	0.010546875	79.0	1.1384933	22.775158	22.775158	4309.795125246048
11	-19.988003	15.381802	-1.0	-63.96471	256.0	0.0	256.0	256.0	-20.48307	3.8543308	-13.699976	-47.151756	61440	3.3527612e-09	213.84062	-0.0019911292	-12.501785	2.6168003	0.0010166817	0.0052734376	79.0	-3.7868583	16.201145	16.201145	4699.152968406677
12	-17.058102	17.439539	-1.7642969	-60.82038	256.0	0.0	256.0	256.0	-20.792643	8.442042	-15.980293	-78.90023	66560	-5.7742e-09	216.99312	-0.0014643696	-36.20845	2.615074	0.0005500809	0.002734375	79.0	1.0995243	18.157627	18.157627	5091.8482983112335
13	-11.935588	8.729444	-1.9644339	-35.931618	256.0	0.0	256.0	256.0	-14.697275	6.935249	-11.441399	-86.273155	71680	5.122274e-10	92.19051	-0.0018327598	-25.12748	2.5039215	0.0007138906	0.0125	79.0	-4.364255	7.5713334	7.5713334	5483.720123767853
14	-19.125025	14.903978	-1.005509	-49.635044	256.0	0.0	256.0	256.0	-12.621966	3.9223533	-9.551707	-42.69951	76800	-4.377216e-09	237.27988	-0.0018573961	-53.2771	2.596683	0.00058296946	0.00625	79.0	1.0501438	20.17517	20.17517	5873.237065315247
15	-19.82848	15.983617	-1.0002869	-55.66998	256.0	0.0	256.0	256.0	-19.912851	8.293461	-15.595598	-87.09233	81920	-8.940697e-09	208.31738	-0.0030144353	-9.714539	2.6034377	0.0012551903	0.028710937	79.0	9.891722	29.7202	29.7202	6259.78786277771
