Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpLen	StdEpLen	MaxEpLen	MinEpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	ShowRet	SJF	F1	Time
0	-4866.1274	1050.1909	-3451.5586	-7239.949	256.0	0.0	256.0	256.0	-0.0018130433	0.0027822515	0.015123428	-0.025427742	5120	3.3527612e-09	24781982.0	-0.0026749559	-22673140.0	2.7092385	0.0034394846	0.013085937	79.0	-201.59843	4664.53	4664.53	391.5781352519989
1	-5314.3335	1517.0706	-3406.9844	-9412.609	256.0	0.0	256.0	256.0	-5910.072	416.28952	-5679.3945	-9554.379	10240	1.9557774e-08	2517135.2	-0.004233882	-363311.25	2.8341358	0.005046186	0.06347656	79.0	-277.66837	5036.665	5036.665	784.2300565242767
2	-4927.8516	1438.1483	-3226.375	-8279.605	256.0	0.0	256.0	256.0	-5286.7407	367.47998	-5099.64	-8436.575	15360	3.7252904e-10	1897467.2	-0.002061992	-195266.62	2.751727	0.002903374	0.0087890625	79.0	-42.958397	4884.8936	4884.8936	1176.709273815155
3	-4434.1963	819.80084	-3611.832	-6180.539	256.0	0.0	256.0	256.0	-4850.5557	366.6875	-4669.7944	-8630.282	20480	1.73226e-08	852931.4	-0.006123417	-208850.44	2.6210778	0.0046381755	0.07519531	79.0	115.96621	4550.1636	4550.1636	1567.1873066425323
4	-4739.47	1224.9487	-3340.9102	-7909.7383	256.0	0.0	256.0	256.0	-4462.0356	285.65524	-4316.2876	-7442.6333	25600	-6.146729e-09	1493634.8	-0.0036822937	-93096.0	2.7001386	0.0052663786	0.030078124	79.0	858.72595	5598.1963	5598.1963	1957.9189615249634
5	-4231.4717	813.8754	-3070.5195	-6818.4688	256.0	0.0	256.0	256.0	-4696.921	217.1774	-4593.564	-6337.4595	30720	2.2910536e-08	835970.7	-0.003583271	-222883.81	2.5837102	0.0020898883	0.013476563	79.0	370.39923	4601.8716	4601.8716	2347.4223284721375
6	-4328.4478	756.2342	-3274.5352	-6047.8477	256.0	0.0	256.0	256.0	-4237.845	223.61719	-4145.913	-6616.485	35840	-5.2154063e-09	553509.2	-0.0028781847	-13513.75	2.596209	0.0051481226	0.016210938	79.0	128.75821	4457.2065	4457.2065	2736.8551437854767
7	-4478.63	999.8239	-3401.5742	-8105.59	256.0	0.0	256.0	256.0	-4335.052	150.8703	-4263.356	-5536.014	40960	2.0489097e-09	923027.2	-0.0022135647	-70650.19	2.6168077	0.0035270727	0.022265624	79.0	173.07422	4651.7036	4651.7036	3130.6872799396515
8	-4188.1787	744.9874	-3519.8125	-6102.996	256.0	0.0	256.0	256.0	-4438.9463	298.49588	-4324.4097	-7277.031	46080	7.0780515e-09	583011.7	-0.0014752498	-75697.28	2.4563396	0.0021165262	0.003125	79.0	505.64276	4693.8213	4693.8213	3522.0891740322113
9	-4239.275	995.767	-3224.6445	-7712.1953	256.0	0.0	256.0	256.0	-4207.878	240.63493	-4109.0234	-6668.961	51200	-3.306195e-09	881709.1	-0.0013057967	-13931.125	2.5653977	0.0020962933	0.0078125	79.0	386.18262	4625.4575	4625.4575	3913.2037222385406
10	-4357.003	1044.179	-2910.4844	-7705.8945	256.0	0.0	256.0	256.0	-4205.1895	254.26035	-4114.8813	-7245.123	56320	-2.9802323e-09	1019427.0	-0.0038031556	-35568.875	2.467729	0.004195291	0.0390625	79.0	577.86755	4934.87	4934.87	4305.396013498306
11	-4733.6094	1074.1274	-3337.0938	-8400.254	256.0	0.0	256.0	256.0	-4424.3486	499.2679	-4260.659	-9981.871	61440	-1.4901161e-09	1085296.0	-0.0023461857	-120348.19	2.5652184	0.0021319252	0.0064453124	79.0	114.43984	4848.0493	4848.0493	4696.819774627686
12	-4456.673	1210.863	-3132.9102	-7983.8164	256.0	0.0	256.0	256.0	-4710.858	278.4848	-4597.985	-6833.266	66560	-2.4214386e-09	1251861.2	-0.0020241058	-181639.88	2.5450742	0.0012731405	0.0087890625	79.0	392.76447	4849.4375	4849.4375	5086.40182518959
13	-4083.843	366.20914	-3506.8086	-4756.629	256.0	0.0	256.0	256.0	-4333.2085	285.48914	-4202.912	-7504.8564	71680	5.9604646e-09	251073.2	-0.005778501	-119205.125	2.3954475	0.0050023757	0.038671874	79.0	381.75156	4465.5947	4465.5947	5474.8364152908325
14	-4292.795	675.83813	-3098.9414	-5497.9805	256.0	0.0	256.0	256.0	-4112.5146	117.58669	-4050.6667	-4968.578	76800	-5.401671e-09	468582.5	-0.0028156124	-33794.438	2.5437958	0.0022376808	0.004296875	79.0	421.42188	4714.2173	4714.2173	5863.552715301514
15	-4643.4243	907.721	-3249.0234	-6909.6133	256.0	0.0	256.0	256.0	-4301.3623	199.45148	-4216.1777	-6183.1147	81920	-1.6670674e-08	857300.0	-0.0052345595	-129964.875	2.4850914	0.0037886784	0.034960937	79.0	660.174	5303.5986	5303.5986	6255.2282593250275
16	-4552.3994	915.68713	-3475.1914	-6591.9375	256.0	0.0	256.0	256.0	-4628.263	197.49417	-4523.4956	-5984.5737	87040	3.7252903e-09	771055.5	-0.0031658574	-12790.8125	2.5085664	0.0037375446	0.015039062	79.0	633.1416	5185.54	5185.54	6645.766499996185
17	-4176.792	761.55994	-3146.4336	-6764.922	256.0	0.0	256.0	256.0	-4560.5435	289.84937	-4434.822	-7569.6963	92160	-6.891787e-09	670927.5	-0.004174642	-158940.75	2.5167701	0.0047342083	0.021875	79.0	373.3	4550.0923	4550.0923	7042.69712972641
18	-4265.3096	673.185	-3405.375	-5867.09	256.0	0.0	256.0	256.0	-4165.482	204.78265	-4077.9214	-5893.1343	97280	4.656613e-09	418659.22	-0.0035601684	-11910.219	2.4311008	0.0054344214	0.05	79.0	444.26953	4709.579	4709.579	7434.6260023117065
19	-4116.1	678.9528	-3331.9297	-6335.1055	256.0	0.0	256.0	256.0	-4242.1836	112.3637	-4191.079	-5287.777	102400	-8.5681675e-09	445678.8	-0.002935747	-19764.656	2.3921344	0.0030046608	0.0029296875	79.0	350.48282	4466.583	4466.583	7825.27800655365
20	-3989.6177	559.82733	-3085.789	-5110.4727	256.0	0.0	256.0	256.0	-4114.456	140.5689	-4045.057	-5142.5024	107520	-7.4040143e-09	310193.44	-0.0025710145	-17651.219	2.4483318	0.0023831085	0.014453125	79.0	368.559	4358.1763	4358.1763	8219.447030305862
21	-3969.9426	679.4547	-3152.4336	-5761.254	256.0	0.0	256.0	256.0	-3993.9578	126.304695	-3932.2705	-4884.8413	112640	7.543713e-09	420481.5	-0.0028088242	-7512.875	2.3677876	0.0062322975	0.038671874	79.0	474.8461	4444.788	4444.788	8607.367224693298
22	-4436.263	754.42456	-3628.3125	-5901.035	256.0	0.0	256.0	256.0	-4008.1375	258.41272	-3880.854	-5571.0366	117760	-2.3283064e-09	687069.44	-0.0070632896	-184483.53	2.433995	0.005701917	0.072460935	79.0	652.9168	5089.1807	5089.1807	8996.447951555252
23	-4004.05	514.73016	-3375.7695	-5520.7344	256.0	0.0	256.0	256.0	-4400.471	182.15099	-4316.0327	-5757.1465	122880	-7.636845e-09	374643.88	-0.0036417546	-158127.83	2.3264441	0.0068520023	0.034375	79.0	655.49255	4659.5425	4659.5425	9388.683149576187
24	-3934.485	637.5562	-2996.4453	-5397.1367	256.0	0.0	256.0	256.0	-3992.161	144.30421	-3911.974	-5336.26	128000	-2.9336662e-09	395866.4	-0.0051089153	-5668.0938	2.2820518	0.0048766434	0.033203125	79.0	595.3275	4529.8135	4529.8135	9780.565533638
25	-4249.8857	762.9377	-3107.1992	-5809.9805	256.0	0.0	256.0	256.0	-3974.487	194.44049	-3881.6746	-5296.8613	133120	-5.5879357e-10	596946.9	-0.006419816	-80244.375	2.3167892	0.008090343	0.06367187	79.0	875.5535	5125.439	5125.439	10170.22046470642
26	-4125.7236	866.76843	-2487.2344	-6251.7344	256.0	0.0	256.0	256.0	-4248.6396	226.13683	-4139.8833	-5920.7515	138240	7.4505807e-10	679480.7	-0.003069993	-20798.188	2.301249	0.000111413094	0.021484375	79.0	706.1576	4831.881	4831.881	10560.048821687698
27	-4098.746	562.5629	-2890.8828	-5218.4414	256.0	0.0	256.0	256.0	-4083.7812	174.38112	-3989.3455	-5463.9043	143360	-1.3038516e-09	318791.56	-0.006409181	-9753.8125	2.233585	0.0038039982	0.04511719	79.0	570.82635	4669.573	4669.573	10950.593026638031
28	-4139.548	995.20996	-2934.0547	-6894.1406	256.0	0.0	256.0	256.0	-4128.8076	173.5859	-4048.4866	-5446.589	148480	1.6018749e-08	846352.4	-0.004346928	-97874.5	2.2098384	0.004766575	0.03828125	79.0	915.41486	5054.9624	5054.9624	11343.623090982437
29	-3973.0671	377.12576	-3376.4531	-4638.754	256.0	0.0	256.0	256.0	-4065.5476	247.6189	-3929.5825	-5677.4214	153600	-3.4458936e-09	174888.33	-0.0032394442	-36660.11	2.16321	0.00435313	0.0171875	79.0	636.7953	4609.8623	4609.8623	11734.947255134583
30	-4096.9897	534.5162	-3135.586	-5536.164	256.0	0.0	256.0	256.0	-3983.1636	117.22195	-3899.0857	-4881.877	158720	-7.543713e-09	284944.0	-0.0052560987	-15655.6875	2.215633	0.0020936155	0.026953125	79.0	712.9811	4809.971	4809.971	12127.166275262833
31	-4080.7837	516.36	-3009.2266	-5507.004	256.0	0.0	256.0	256.0	-4098.2344	121.54918	-4021.1094	-4862.464	163840	9.49949e-09	255318.05	-0.0034306245	-1631.3438	2.2264633	0.0015850138	0.018554688	79.0	649.8627	4730.647	4730.647	12515.982269763947
32	-3797.5688	564.3571	-2955.3867	-5044.9844	256.0	0.0	256.0	256.0	-4071.1125	109.77143	-4026.5996	-4855.0356	168960	-4.749745e-09	365683.22	-0.0037167224	-79186.875	2.1500816	0.0052006096	0.015429688	79.0	603.51624	4401.0854	4401.0854	12906.991766691208
33	-4072.6587	911.21954	-2979.4648	-7225.289	256.0	0.0	256.0	256.0	-3824.7766	268.02884	-3727.7383	-6723.397	174080	1.8626451e-09	763913.1	-0.004043582	-75425.94	2.185707	0.0043591773	0.038671874	79.0	717.43085	4790.089	4790.089	13298.738464355469
34	-4274.4756	853.11084	-3242.7734	-6390.332	256.0	0.0	256.0	256.0	-4104.714	356.99496	-3957.425	-6881.8394	179200	-8.0093745e-09	640478.0	-0.004570436	-38997.938	2.1888537	0.0027485357	0.03691406	79.0	1504.6393	5779.1147	5779.1147	13688.074583768845
35	-4385.4663	883.7903	-3185.789	-6677.6953	256.0	0.0	256.0	256.0	-4299.8213	380.81726	-4141.2334	-6906.079	184320	1.0803342e-08	665541.7	-0.0041605267	-16686.188	2.2033556	0.0034633838	0.03046875	79.0	1125.9164	5511.383	5511.383	14079.710173606873
36	-3948.5854	580.03644	-2916.879	-5046.1914	256.0	0.0	256.0	256.0	-4310.0166	150.0943	-4227.75	-5246.7646	189440	1.3411045e-08	460713.0	-0.006364479	-134523.78	2.1358178	0.0030853082	0.037109375	79.0	799.4621	4748.048	4748.048	14467.279269456863
37	-4034.893	646.90356	-3168.3281	-6096.508	256.0	0.0	256.0	256.0	-3970.3562	174.7906	-3895.4333	-5077.538	194560	1.1920929e-08	349295.6	-0.004735128	-18914.125	2.148644	0.0045636655	0.039648436	79.0	803.8289	4838.721	4838.721	14857.156992435455
38	-4235.917	511.00464	-3425.3398	-5078.2656	256.0	0.0	256.0	256.0	-4013.3833	193.47714	-3913.9092	-5626.1924	199680	1.2665987e-08	315646.06	-0.003576423	-62386.562	2.135704	0.0022899117	0.012304688	79.0	639.9035	4875.821	4875.821	15247.408825159073
39	-3914.273	465.84497	-3038.7383	-4802.3945	256.0	0.0	256.0	256.0	-4233.3315	82.09492	-4104.7134	-4863.521	204800	-6.3329937e-09	304411.75	-0.0046956986	-104393.28	2.130183	0.0058947797	0.025976563	79.0	698.41876	4612.6924	4612.6924	15634.87324666977
