Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpLen	StdEpLen	MaxEpLen	MinEpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	ShowRet	SJF	F1	Time
0	-1170.6702	812.9443	-10.417969	-2737.0586	256.0	0.0	256.0	256.0	-0.0018130433	0.0027822515	0.015123428	-0.025427742	5120	-5.736947e-08	2031346.0	-0.001957615	-1382923.4	2.7092385	0.0024108966	0.011132812	79.0	-624.6414	546.0287	546.0287	391.443461894989
1	-1727.309	1855.5177	-108.74609	-8182.7188	256.0	0.0	256.0	256.0	-1078.6964	109.55593	-1024.8933	-1938.5791	10240	1.0058284e-08	3736820.5	-0.0014946535	-756377.0	2.836031	0.00035067552	0.0	79.0	-801.5965	925.7125	925.7125	784.4397106170654
2	-1198.7927	1234.9022	-79.43359	-4303.7773	256.0	0.0	256.0	256.0	-1678.1019	503.34796	-1465.7067	-6175.0645	15360	-1.322478e-08	1488864.6	-0.0040028477	-266774.38	2.7622495	0.0042463928	0.032226562	79.0	-490.33026	708.4625	708.4625	1175.8498373031616
3	-809.7881	675.81335	-6.6640625	-2437.082	256.0	0.0	256.0	256.0	-1116.3068	412.3041	-964.7197	-5784.075	20480	3.7252903e-09	554022.4	-0.0042969743	-141203.22	2.6273189	0.0042762402	0.03730469	79.0	-376.88104	432.90704	432.90704	1564.9959785938263
4	-1405.0452	1473.9982	-77.13281	-5171.926	256.0	0.0	256.0	256.0	-858.5492	284.41348	-723.5206	-3311.9265	25600	8.195639e-09	2261410.5	-0.004203154	-394065.75	2.7618961	0.004295842	0.015234375	79.0	307.2824	1712.3275	1712.3275	1957.6737854480743
5	-884.6459	746.8567	-48.1875	-2834.1523	256.0	0.0	256.0	256.0	-1310.0446	364.13712	-1100.4983	-4697.821	30720	-2.0675362e-08	683177.25	-0.0020483576	-202308.06	2.6788793	-0.0007188359	0.003515625	79.0	-308.08398	576.5619	576.5619	2350.1213591098785
6	-886.9582	691.44965	-150.51172	-2449.3047	256.0	0.0	256.0	256.0	-883.41815	291.76797	-657.3215	-4059.9812	35840	8.5681675e-09	444707.3	-0.004868105	-9825.8125	2.6265457	0.00737966	0.03359375	79.0	-469.26132	417.69687	417.69687	2740.741945505142
7	-858.4666	997.6752	0.0	-3851.3203	256.0	0.0	256.0	256.0	-884.14294	191.05492	-693.58905	-2893.2122	40960	1.1082738e-08	862288.3	-0.004102611	-87207.0	2.6107922	0.004574905	0.025195312	79.0	-308.31503	550.15155	550.15155	3130.2088413238525
8	-752.56775	792.4488	-47.695312	-3040.0352	256.0	0.0	256.0	256.0	-817.2323	366.2008	-293.16592	-4449.376	46080	1.8626452e-10	553431.7	-0.004592564	-31779.125	2.5645354	0.002124528	0.038867187	79.0	-148.52792	604.03986	604.03986	3520.924796819687
9	-973.3037	971.7856	-75.88672	-3977.2031	256.0	0.0	256.0	256.0	-801.56335	381.4028	-52.88389	-3778.5833	51200	-5.5879357e-10	789957.75	-0.0023362814	-68773.625	2.6894138	0.00441635	0.0107421875	79.0	-286.24628	687.05743	687.05743	3909.1557161808014
10	-1014.02325	1049.5162	-80.765625	-4667.3164	256.0	0.0	256.0	256.0	-966.5744	460.4361	-261.92422	-4449.688	56320	6.891787e-09	934050.4	-0.0072369333	-61835.188	2.6638274	0.004370847	0.048828125	79.0	-205.57304	808.4502	808.4502	4301.014799356461
11	-858.8617	592.91187	-0.00390625	-1757.6172	256.0	0.0	256.0	256.0	-979.38995	339.62033	-45.467403	-4705.41	61440	6.3329937e-09	380892.88	-0.004227207	-72251.28	2.6590183	0.0024978095	0.0126953125	79.0	-322.58514	536.27655	536.27655	4694.35206246376
12	-856.7416	1348.3383	-10.300781	-5059.8984	256.0	0.0	256.0	256.0	-864.9546	294.90005	-675.05707	-4391.475	66560	9.778887e-09	1485189.6	-0.0035218974	-384097.88	2.6146824	0.0024288849	0.03046875	79.0	-161.91289	694.82874	694.82874	5085.768455505371
13	-416.47696	332.09113	-17.441406	-1074.293	256.0	0.0	256.0	256.0	-690.34314	401.48883	-60.910202	-4347.9653	71680	9.313226e-09	283085.2	-0.0056754025	-181286.27	2.4785602	0.005183059	0.02421875	79.0	-148.65039	267.82657	267.82657	5479.096797466278
14	-981.6771	841.1105	-3.8046875	-2653.3438	256.0	0.0	256.0	256.0	-480.0118	263.8195	-250.97745	-2511.5999	76800	-9.313226e-09	882682.2	-0.0051392126	-262603.2	2.668831	0.0039894283	0.0328125	79.0	-284.10742	697.5697	697.5697	5873.076453447342
15	-883.099	1001.8286	-23.039062	-4693.492	256.0	0.0	256.0	256.0	-951.89685	249.01814	-728.62006	-3260.8865	81920	-8.0792235e-09	863587.5	-0.003977951	-81713.0	2.5754192	0.0020148777	0.032226562	79.0	97.57637	980.6754	980.6754	6263.653829336166
16	-1150.1498	1295.8187	-88.60547	-5031.5156	256.0	0.0	256.0	256.0	-938.99384	579.00104	-415.40768	-5691.475	87040	8.05594e-09	1371087.2	-0.0063423207	-157584.88	2.6665502	0.004856635	0.0546875	79.0	-182.44199	967.7078	967.7078	6652.054925203323
17	-734.4623	762.6571	0.0	-2487.6055	256.0	0.0	256.0	256.0	-1071.717	427.37445	-415.3145	-4863.764	92160	-1.359731e-08	617072.3	-0.0058893766	-155877.97	2.5819502	0.0058119833	0.027539063	79.0	-67.05957	667.4027	667.4027	7044.410448551178
18	-533.3119	583.3343	-2.1835938	-2408.7969	256.0	0.0	256.0	256.0	-691.2411	295.7779	-390.53052	-3618.4148	97280	-2.6077032e-09	314694.8	-0.0054767663	-37371.0	2.4709113	0.006304036	0.0328125	79.0	46.89629	580.2082	580.2082	7434.861909389496
19	-501.95157	410.12964	-6.1914062	-1319.7461	256.0	0.0	256.0	256.0	-509.37067	145.11209	-326.46622	-1899.6265	102400	-4.842877e-09	164046.22	-0.004893925	-5605.625	2.4778883	0.006672968	0.034570314	79.0	-177.39413	324.55743	324.55743	7826.9436683654785
20	-492.99005	508.7424	-33.08203	-2050.8633	256.0	0.0	256.0	256.0	-506.8587	132.2631	-415.91168	-1821.494	107520	-7.636845e-09	238891.45	-0.0046008388	-7389.203	2.4973047	0.004635237	0.03984375	79.0	-107.64824	385.3418	385.3418	8222.070971250534
21	-457.2959	417.09836	-9.605469	-1714.3789	256.0	0.0	256.0	256.0	-490.20996	145.7654	-344.4266	-2138.25	112640	5.2154063e-09	170393.47	-0.0067010545	-7797.3125	2.4346318	0.008582904	0.04042969	79.0	-54.244728	403.05118	403.05118	8615.72747349739
22	-872.70447	994.17755	-12.777344	-3500.3594	256.0	0.0	256.0	256.0	-486.98627	182.26628	-386.7461	-1816.5793	117760	-1.3783574e-08	1022885.0	-0.007140234	-241626.31	2.5743804	0.0032807845	0.050390624	79.0	46.098244	918.80273	918.80273	9006.189928293228
23	-540.7205	710.98047	0.0	-2999.0312	256.0	0.0	256.0	256.0	-820.134	324.23975	-669.0209	-3113.1455	122880	-4.0046872e-09	485996.4	-0.0064743515	-114130.97	2.4486964	0.0036033136	0.041992188	79.0	13.016016	553.7365	553.7365	9399.864573717117
24	-344.09686	305.2268	-8.0390625	-972.84766	256.0	0.0	256.0	256.0	-504.23456	250.90875	-271.79712	-3248.8245	128000	-5.122274e-09	137959.38	-0.005101695	-52383.273	2.377933	0.0015771488	0.038671874	79.0	151.06113	495.15802	495.15802	9790.89356303215
25	-735.215	788.68567	-2.875	-2539.3008	256.0	0.0	256.0	256.0	-370.22308	174.5254	-192.5855	-2083.7463	133120	4.582107e-08	686353.2	-0.0063314657	-169153.69	2.4594254	0.006211252	0.04609375	79.0	353.19043	1088.4055	1088.4055	10184.073499202728
26	-526.77673	573.09283	-15.886719	-2275.8008	256.0	0.0	256.0	256.0	-694.24255	229.15231	-454.29877	-2660.2126	138240	7.869676e-09	300132.3	-0.0037515757	-36747.312	2.4080675	0.0052273604	0.015625	79.0	376.35645	903.1332	903.1332	10573.586399793625
