Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpLen	StdEpLen	MaxEpLen	MinEpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	ShowRet	SJF	F1	Time
0	-1.0	0.0	-1.0	-1.0	256.0	0.0	256.0	256.0	-0.008050992	0.01164019	0.055643976	-0.04938122	5120	-3.3527613e-08	0.98409814	-0.0011937004	-0.98288697	2.5460863	0.00091705425	0.0	79.0	0.0	1.0	1.0	713.0056040287018
1	-1.0	0.0	-1.0	-1.0	256.0	0.0	256.0	256.0	-0.99854785	0.036324825	-0.8517003	-1.1028674	10240	-1.9092113e-08	0.0013216019	-0.002894708	-0.00073731993	2.5465374	0.0047797537	0.028515626	79.0	0.0	1.0	1.0	1446.4793155193329
2	-1.0	0.0	-1.0	-1.0	256.0	0.0	256.0	256.0	-0.99508417	0.024732132	-0.87090605	-1.0655906	15360	-1.4342367e-08	0.00063584384	-0.0043966617	-0.00046768994	2.5568118	0.006390363	0.0421875	79.0	0.0	1.0	1.0	2173.2804911136627
3	-1.0	0.0	-1.0	-1.0	256.0	0.0	256.0	256.0	-0.99401224	0.011585016	-0.94446015	-1.0337975	20480	8.195639e-09	0.00017006641	-0.005944423	-9.197788e-05	2.5369213	0.007325606	0.04082031	79.0	0.0	1.0	1.0	2899.3268649578094
4	-1.0	0.0	-1.0	-1.0	256.0	0.0	256.0	256.0	-0.9980919	0.009677438	-0.9487597	-1.0248129	25600	1.0803342e-08	9.729368e-05	-0.0048178905	-3.1503616e-05	2.4994621	0.008169735	0.043164063	79.0	0.0	1.0	1.0	3621.585518360138
5	-1.0	0.0	-1.0	-1.0	256.0	0.0	256.0	256.0	-0.9992601	0.007992432	-0.96178186	-1.0222976	30720	-5.2154063e-09	6.44263e-05	-0.0066635543	-1.3939061e-05	2.4730039	0.004155838	0.050390624	79.0	0.0	1.0	1.0	4385.269467592239
6	-1.0	0.0	-1.0	-1.0	256.0	0.0	256.0	256.0	-0.99942714	0.0069269896	-0.9652964	-1.0223114	35840	1.1175871e-08	4.8311347e-05	-0.004378085	-7.209863e-06	2.435995	0.005895764	0.03261719	79.0	0.0	1.0	1.0	5120.055370330811
7	-1.0	0.0	-1.0	-1.0	256.0	0.0	256.0	256.0	-0.9985954	0.0067567998	-0.96352416	-1.019443	40960	-4.4703485e-09	4.762684e-05	-0.00486681	-7.0500064e-06	2.4118447	0.007042409	0.037109375	79.0	0.0	1.0	1.0	5843.25021982193
8	-1.0	0.0	-1.0	-1.0	256.0	0.0	256.0	256.0	-0.99940807	0.006068369	-0.9694305	-1.0175649	46080	-1.7695129e-09	3.7175505e-05	-0.005537364	1.834565e-05	2.3642883	0.004634653	0.046289064	79.0	0.0	1.0	1.0	6545.14116024971
9	-1.0	0.0	-1.0	-1.0	256.0	0.0	256.0	256.0	-1.0045215	0.0059131393	-0.976885	-1.0258125	51200	2.4214386e-09	5.5408524e-05	-0.0048908778	-2.0730418e-05	2.379743	0.0066647353	0.03300781	79.0	0.0	1.0	1.0	7256.928028821945
10	-1.0	0.0	-1.0	-1.0	256.0	0.0	256.0	256.0	-0.99812734	0.005740125	-0.9636085	-1.0174414	56320	-7.450581e-09	3.645595e-05	-0.0028579556	-3.2187054e-06	2.32386	0.005925339	0.0171875	79.0	0.0	1.0	1.0	7972.248279571533
11	-1.0	0.0	-1.0	-1.0	256.0	0.0	256.0	256.0	-1.0004904	0.0056165583	-0.9800476	-1.0169884	61440	1.8253923e-08	3.178618e-05	-0.0041406346	0.00014241092	2.2478793	0.0042909128	0.011523438	79.0	0.0	1.0	1.0	8683.823195457458
12	-1.0	0.0	-1.0	-1.0	256.0	0.0	256.0	256.0	-1.0124977	0.005614276	-0.9890033	-1.0295124	66560	1.2665987e-08	0.00018771071	-0.0070538484	-0.000101589845	2.243506	0.007645781	0.07070313	79.0	0.0	1.0	1.0	9398.846877336502
13	-1.0	0.0	-1.0	-1.0	256.0	0.0	256.0	256.0	-1.0074904	0.005071002	-0.9873323	-1.0216419	71680	-7.450581e-09	8.1819446e-05	-0.004336253	-5.9215592e-05	2.2311325	0.005864475	0.022460938	79.0	0.0	1.0	1.0	10113.510043621063
14	-1.0	0.0	-1.0	-1.0	256.0	0.0	256.0	256.0	-0.9994739	0.004937635	-0.977657	-1.015393	76800	8.940697e-09	2.4657018e-05	-0.0056741624	6.8509e-05	2.1905537	0.0064760493	0.03300781	79.0	0.0	1.0	1.0	10830.54555439949
15	-1.0	0.0	-1.0	-1.0	256.0	0.0	256.0	256.0	-0.9920398	0.0048449053	-0.9706335	-1.0063058	81920	2.7939677e-09	8.683885e-05	-0.0052817557	-5.2789106e-05	2.1519806	0.0056048157	0.049609374	79.0	0.0	1.0	1.0	11556.374829769135
16	-1.0	0.0	-1.0	-1.0	256.0	0.0	256.0	256.0	-0.9962487	0.0052188938	-0.9699727	-1.0117233	87040	-2.2351743e-09	4.130894e-05	-0.0049982355	-1.957841e-05	2.1094623	0.0053382684	0.043164063	79.0	0.0	1.0	1.0	12267.260734558105
17	-1.0	0.0	-1.0	-1.0	256.0	0.0	256.0	256.0	-1.00009	0.004666334	-0.982527	-1.0155805	92160	-2.6077032e-09	2.1782826e-05	-0.0071121687	4.8414433e-05	2.0404277	0.0038578287	0.051757812	79.0	0.0	1.0	1.0	12978.238983869553
18	-1.0	0.0	-1.0	-1.0	256.0	0.0	256.0	256.0	-0.9925917	0.0045401244	-0.9724969	-1.0080847	97280	-7.450581e-09	7.549695e-05	-0.005099406	-2.2545442e-05	2.0527263	0.0047078375	0.024609376	79.0	0.0	1.0	1.0	13704.933271884918
19	-1.0	0.0	-1.0	-1.0	256.0	0.0	256.0	256.0	-1.0056417	0.004187748	-0.98768127	-1.0195773	102400	-1.4901161e-09	4.9366685e-05	-0.0051189093	-2.7905287e-05	2.0040832	0.008004015	0.043945312	79.0	0.0	1.0	1.0	14423.75011229515
20	-1.0	0.0	-1.0	-1.0	256.0	0.0	256.0	256.0	-0.99701804	0.00432518	-0.97688496	-1.011165	107520	7.2643163e-09	2.759936e-05	-0.0065427506	-6.70786e-06	1.8996589	0.0061361967	0.059570312	79.0	0.0	1.0	1.0	15138.004662036896
21	-1.0	0.0	-1.0	-1.0	256.0	0.0	256.0	256.0	-0.99807185	0.0041431785	-0.98028505	-1.0123833	112640	-1.6018749e-08	2.0883603e-05	-0.0051204907	-2.7212354e-06	1.9042428	0.0066610826	0.034960937	79.0	0.0	1.0	1.0	15863.361905097961
