Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpLen	StdEpLen	MaxEpLen	MinEpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	ShowRet	SJF	F1	Time
0	-29.082458	19.947447	-1.1376607	-67.816376	256.0	0.0	256.0	256.0	-0.008025863	0.013022291	0.034577895	-0.074167036	5120	2.4959444e-08	1243.1858	-0.001983711	-873.8813	2.7092385	0.0018192057	0.008398438	79.0	-13.488573	15.593884	15.593884	432.2246787548065
1	-35.149483	29.299812	-3.2377577	-110.41551	256.0	0.0	256.0	256.0	-30.11175	5.848051	-24.985983	-54.49934	10240	-1.6391278e-08	792.63916	-0.001960707	-95.31769	2.812727	0.0013341528	0.003125	79.0	-8.705464	26.44402	26.44402	863.4774615764618
2	-30.849392	35.186417	-2.2902958	-132.04242	256.0	0.0	256.0	256.0	-34.31325	10.235717	-23.538044	-77.24484	15360	1.8626452e-10	950.3381	-0.0020870315	-306.68463	2.7624993	0.0029742874	0.0009765625	79.0	-10.290799	20.558598	20.558598	1292.9840123653412
3	-19.836016	18.10063	-1.8577731	-85.35118	256.0	0.0	256.0	256.0	-27.927448	15.670542	-1.0120449	-140.84914	20480	6.0535967e-09	494.11777	-0.0028401264	-216.83112	2.6458912	0.0008902	0.01015625	79.0	-7.455672	12.380341	12.380341	1714.897019147873
4	-36.69096	36.68372	-1.8989537	-159.60814	256.0	0.0	256.0	256.0	-25.374872	20.31845	-15.95091	-171.79752	25600	-1.8626451e-08	1185.1735	-0.0036678028	-180.07153	2.8058465	0.0049144835	0.03261719	79.0	13.588232	50.279186	50.279186	2142.591963291168
5	-20.204891	15.984018	-1.6464533	-51.899837	256.0	0.0	256.0	256.0	-32.183937	9.100471	-26.366142	-86.45528	30720	-8.6613e-09	357.89288	-0.003146654	-151.66063	2.651945	0.0044239187	0.014257813	79.0	-3.1483715	17.05652	17.05652	2571.2135672569275
6	-21.97276	14.207089	-2.9373808	-47.88648	256.0	0.0	256.0	256.0	-20.19312	7.119319	-15.437184	-69.964516	35840	3.9115546e-09	188.66438	-0.0039263675	-10.359787	2.6493146	0.003610506	0.011328125	79.0	-10.355945	11.616816	11.616816	2998.6077151298523
7	-20.81633	20.534733	-1.0	-90.54821	256.0	0.0	256.0	256.0	-22.2629	5.30455	-18.466404	-60.842705	40960	-1.0523945e-08	332.60495	-0.0035399583	-52.305786	2.6689591	0.0042116866	0.021484375	79.0	-3.8894296	16.926899	16.926899	3426.0838804244995
8	-20.188446	19.099855	-1.0111955	-65.17814	256.0	0.0	256.0	256.0	-20.127903	10.747098	-14.526172	-91.29094	46080	-1.2107193e-09	312.86652	-0.0033639378	-13.505188	2.6233776	0.0034082048	0.0126953125	79.0	-3.3796737	16.808773	16.808773	3854.2465040683746
9	-31.36948	47.71419	-1.0	-228.22705	256.0	0.0	256.0	256.0	-22.535788	14.739815	-15.949476	-131.39937	51200	-4.8894435e-09	1693.2184	-0.003147974	-386.6975	2.6975799	0.0032283526	0.0171875	79.0	-11.036088	20.33339	20.33339	4283.259557723999
