Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpLen	StdEpLen	MaxEpLen	MinEpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	ShowRet	SJF	F1	Time
0	2.4873328	0.7254423	3.9097104	1.5372405	256.0	0.0	256.0	256.0	-0.0018130433	0.0027822515	0.015123428	-0.025427742	5120	-4.5076014e-08	6.722247	-0.0029854253	-6.197913	2.7092385	0.0020648923	0.004296875	79.0	-0.03691911	-2.5242517	-2.5242517	395.15996408462524
1	2.548502	0.91494775	4.6496043	1.2460786	256.0	0.0	256.0	256.0	2.4534476	0.052448183	2.991188	2.4267442	10240	2.272427e-08	0.83409977	-0.004528496	-0.021084428	2.7237973	0.0016454135	0.029296875	79.0	-0.027392596	-2.5758946	-2.5758946	785.2213976383209
2	2.4174657	0.978456	4.713904	1.3122092	256.0	0.0	256.0	256.0	2.5506806	0.1558871	4.006907	2.4813747	15360	8.288771e-09	0.8996717	-0.0020197567	-0.08281368	2.710619	0.0059757754	0.00703125	79.0	-0.040137313	-2.457603	-2.457603	1179.1549878120422
3	2.711265	0.7786517	4.9309635	1.5474843	256.0	0.0	256.0	256.0	2.3830457	0.25158092	4.455491	2.2454648	20480	4.842877e-09	0.7433012	-0.0028839556	-0.15098852	2.6494622	0.007653856	0.02109375	79.0	-0.015736725	-2.727002	-2.727002	1570.511031627655
4	2.7930176	0.9797709	5.3275185	1.6224852	256.0	0.0	256.0	256.0	2.7271113	0.111002505	3.6846194	2.2970414	25600	1.7508864e-08	0.9327715	-0.004044105	-0.07223719	2.747229	0.0043424433	0.043945312	79.0	-0.06629492	-2.8593125	-2.8593125	1962.5515356063843
5	2.545682	0.7747261	4.6492844	1.4074839	256.0	0.0	256.0	256.0	2.7365954	0.22383353	3.919538	2.542805	30720	2.7846545e-08	0.6173955	-0.0027735233	-0.08325869	2.5757458	0.0012949429	0.0068359375	79.0	-0.013935318	-2.5596175	-2.5596175	2358.5886862277985
6	2.6938078	0.6867812	4.612188	1.4287753	256.0	0.0	256.0	256.0	2.5505683	0.2580833	4.639732	2.149634	35840	-2.02097e-08	0.51599425	-0.0043029836	-0.05914104	2.5743136	0.005198906	0.04433594	79.0	-0.033194788	-2.7270026	-2.7270026	2752.068728685379
7	2.6091142	0.86092496	4.664097	1.1608398	256.0	0.0	256.0	256.0	2.696626	0.12374729	4.082324	2.0412972	40960	-1.923181e-08	0.69860494	-0.004274898	-0.095736265	2.6323893	0.005986291	0.022851562	79.0	-0.0126853045	-2.6217995	-2.6217995	3139.196343898773
8	2.6332307	0.87423944	4.420548	1.1386306	256.0	0.0	256.0	256.0	2.56949	0.25706288	4.4662533	2.214672	46080	1.8952415e-08	0.7146512	-0.0048380275	-0.038327515	2.526895	0.0053203935	0.0296875	79.0	-0.023457967	-2.6566887	-2.6566887	3529.750632286072
9	2.5104418	0.9311224	4.3477674	1.3867743	256.0	0.0	256.0	256.0	2.6819427	0.3623049	4.869257	2.3884556	51200	-7.636845e-09	0.8402009	-0.0051730215	-0.10745293	2.6175838	0.0039431886	0.022851562	79.0	-0.026463356	-2.536905	-2.536905	3920.859141588211
10	2.865859	0.92129517	4.3756	1.3082985	256.0	0.0	256.0	256.0	2.5004618	0.324829	5.1559706	2.1246493	56320	1.6763806e-09	0.98589295	-0.0048993826	-0.29456168	2.6291542	0.00366871	0.030664062	79.0	-0.033032127	-2.898891	-2.898891	4311.2428987026215
11	2.6086855	0.7123052	4.218615	1.3501041	256.0	0.0	256.0	256.0	2.9495387	0.29642603	4.5953383	1.1250011	61440	1.7788262e-08	0.7055295	-0.005072437	-0.2876218	2.6477418	0.0042470554	0.038867187	79.0	-0.059570182	-2.6682558	-2.6682558	4701.586334943771
12	2.547766	0.8942689	4.4209447	1.3439504	256.0	0.0	256.0	256.0	2.607972	0.2794211	5.0079446	1.7292916	66560	-6.7055224e-09	0.7058692	-0.004064701	-0.1278078	2.7065372	0.0051882355	0.010546875	79.0	-0.04815425	-2.5959203	-2.5959203	5092.878402471542
13	2.204028	0.5489159	3.1546142	1.4964557	256.0	0.0	256.0	256.0	2.4765792	0.2996316	4.747789	1.4304727	71680	-1.3411045e-08	0.45407805	-0.0043266504	-0.17318907	2.5680413	0.0039957203	0.022070313	79.0	-0.002956246	-2.206984	-2.206984	5478.555547237396
14	2.4634962	0.8468481	4.4295588	1.4390328	256.0	0.0	256.0	256.0	2.2363107	0.15766342	4.0708	1.6354508	76800	1.2479722e-08	0.7787986	-0.004573705	-0.20404053	2.66671	0.0046749706	0.018164063	79.0	-0.064220846	-2.527717	-2.527717	5871.216157674789
15	2.5978324	0.87925154	4.514866	1.2479494	256.0	0.0	256.0	256.0	2.4455929	0.27501592	4.50852	0.6513398	81920	4.0978194e-09	0.82760525	-0.004653487	-0.22379369	2.6180203	0.0042522205	0.029101562	79.0	-0.030631434	-2.628464	-2.628464	6258.9689881801605
16	2.7874687	0.8087505	4.2932434	1.3834065	256.0	0.0	256.0	256.0	2.6220436	0.45640534	6.800469	0.6856701	87040	1.5646219e-08	0.6928265	-0.005649945	-0.19900283	2.7113388	0.0068258652	0.031445313	79.0	-0.00936014	-2.7968287	-2.7968287	6647.841831684113
17	2.83098	0.988229	4.89917	1.2382154	256.0	0.0	256.0	256.0	2.7498868	0.3027261	5.143801	1.8632431	92160	2.6077032e-09	0.98009074	-0.0052572605	-0.18433815	2.715981	0.0047446103	0.022070313	79.0	-0.06146124	-2.8924413	-2.8924413	7039.799576044083
18	2.288031	0.69368917	3.7603562	1.36402	256.0	0.0	256.0	256.0	2.820513	0.35778713	4.939276	1.4638715	97280	5.401671e-09	0.80378073	-0.0039640423	-0.37469244	2.660781	0.0033379062	0.022851562	79.0	-0.035994954	-2.3240259	-2.3240259	7426.699137926102
19	2.5515122	0.567194	3.6372972	1.7009248	256.0	0.0	256.0	256.0	2.2731152	0.18163745	3.8266678	1.7436596	102400	1.4342367e-08	0.3988537	-0.004687785	-0.09933707	2.6513534	0.0050385124	0.025976563	79.0	-0.001512115	-2.5530238	-2.5530238	7817.042009592056
20	2.386055	0.8179652	5.0723577	1.5739256	256.0	0.0	256.0	256.0	2.554153	0.12612592	3.5277994	2.1789236	107520	1.3411045e-08	0.6640398	-0.004061818	-0.12632376	2.621346	0.0045642527	0.013476563	79.0	-0.009821961	-2.3958771	-2.3958771	8203.238589525223
21	2.7707999	0.9372589	4.6492844	1.1409991	256.0	0.0	256.0	256.0	2.4154842	0.39159665	5.924361	1.0824753	112640	2.6868657e-08	0.9770807	-0.003659434	-0.2061072	2.5449321	0.003137236	0.020898437	79.0	-0.046388775	-2.8171887	-2.8171887	8593.78081536293
22	2.57672	0.9435355	5.04427	1.3665679	256.0	0.0	256.0	256.0	2.8176205	0.42053005	6.4709616	0.83376414	117760	1.322478e-08	0.9993385	-0.005010033	-0.28696567	2.6280181	0.005732417	0.038476564	79.0	-0.017715234	-2.5944352	-2.5944352	8985.507966041565
23	2.5015244	0.80263895	4.489506	1.2290043	256.0	0.0	256.0	256.0	2.5052853	0.27705714	4.3185067	0.77786416	122880	8.5681675e-09	0.6911151	-0.005761186	-0.14541918	2.552594	0.0030134593	0.0375	79.0	-0.0051531373	-2.5066772	-2.5066772	9378.71000957489
24	2.3507812	0.7735898	3.9822881	1.1537784	256.0	0.0	256.0	256.0	2.5141835	0.3253852	4.778738	1.4310267	128000	-1.3411045e-08	0.6038432	-0.0044047735	-0.11140537	2.6489978	0.0024346474	0.016796876	79.0	-0.052239466	-2.4030209	-2.4030209	9769.93123960495
25	2.7856894	1.0138065	4.72152	1.5026869	256.0	0.0	256.0	256.0	2.3554337	0.3181732	5.824012	0.78791505	133120	-2.0861625e-08	1.2122755	-0.0037622813	-0.2839812	2.5976737	0.0035864667	0.00546875	79.0	0.0045159906	-2.7811732	-2.7811732	10158.553349018097
26	2.6611702	0.86267495	4.2368245	1.2532924	256.0	0.0	256.0	256.0	2.7708478	0.25977677	4.7231674	1.8993294	138240	-1.2293458e-08	0.7624811	-0.0072280783	-0.1038506	2.5744958	0.008386967	0.05605469	79.0	-0.030648738	-2.691819	-2.691819	10544.634177207947
27	2.5573428	0.95807177	4.406615	1.0730827	256.0	0.0	256.0	256.0	2.6386034	0.2677704	4.559714	1.0187021	143360	2.9802323e-09	0.96581554	-0.004112866	-0.23230582	2.6588356	0.0042156344	0.0296875	79.0	-0.02575608	-2.583099	-2.583099	10936.4214053154
28	2.78655	1.0163451	4.5176954	1.216933	256.0	0.0	256.0	256.0	2.5622528	0.42924625	5.177349	1.065099	148480	4.5634807e-09	1.0001148	-0.0056833047	-0.24971026	2.6140428	0.004709408	0.0359375	79.0	-0.011118501	-2.7976687	-2.7976687	11324.444683551788
29	2.8587246	1.0358019	4.8879857	1.5646397	256.0	0.0	256.0	256.0	2.7087224	0.33172894	4.6635528	0.8342087	153600	1.1734665e-08	1.0186253	-0.006362092	-0.18180066	2.430827	0.0034351335	0.028515626	79.0	-0.020654196	-2.8793788	-2.8793788	11717.245589971542
30	3.0263376	0.7273872	4.553609	1.9149449	256.0	0.0	256.0	256.0	2.8841152	0.45135966	5.2914233	1.4443024	158720	-3.7252904e-10	0.61896193	-0.0072887135	-0.17062047	2.495685	0.0071399612	0.04160156	79.0	-0.039615866	-3.0659535	-3.0659535	12107.303869009018
31	2.856124	0.9380788	4.928091	1.4519055	256.0	0.0	256.0	256.0	3.0521855	0.27083462	4.6256714	1.9958974	163840	-5.5879354e-09	0.91336805	-0.006080549	-0.19941777	2.5618274	0.006211251	0.02578125	79.0	-0.07217884	-2.928303	-2.928303	12499.612078428268
32	2.4092689	0.92693937	4.4139843	1.0856423	256.0	0.0	256.0	256.0	2.8166199	0.30830666	4.8273177	1.8389156	168960	4.749745e-09	0.948036	-0.0073208706	-0.28231257	2.4114575	0.008095631	0.045703124	79.0	-0.020846302	-2.4301155	-2.4301155	12887.585579872131
33	2.3212144	0.77739674	3.966138	1.3351783	256.0	0.0	256.0	256.0	2.390385	0.39549458	4.888169	-0.24465472	174080	1.15484e-08	0.6763468	-0.005332004	-0.21268168	2.4420035	0.0031025726	0.018359374	79.0	-0.00341774	-2.3246322	-2.3246322	13278.530622243881
34	3.1843784	0.8907965	4.9422917	1.189035	256.0	0.0	256.0	256.0	2.4293027	0.4334757	5.071846	0.9349606	179200	-1.3038516e-08	1.3689206	-0.008562019	-0.7059034	2.537993	0.008480619	0.07675781	79.0	-0.04379571	-3.2281742	-3.2281742	13666.523473024368
35	2.6381829	0.7820794	3.9635906	1.4161502	256.0	0.0	256.0	256.0	3.1358635	0.32614496	4.9012585	1.5062672	184320	6.7055224e-09	0.83358157	-0.006392293	-0.35008293	2.5655727	0.005952814	0.029882813	79.0	-0.053250145	-2.691433	-2.691433	14058.073488473892
