Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpLen	StdEpLen	MaxEpLen	MinEpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	ShowRet	SJF	F1	Time
0	-50.193924	38.212845	-0.8913082	-133.57	256.0	0.0	256.0	256.0	-0.0018130433	0.0027822515	0.015123428	-0.025427742	5120	5.2154064e-08	3979.459	-0.0019269299	-2594.4177	2.7092385	0.002706651	0.01328125	79.0	-22.75851	27.43542	27.43542	395.25374960899353
1	-59.667927	51.335716	-3.080308	-178.8265	256.0	0.0	256.0	256.0	-51.73583	7.933212	-47.790836	-119.06973	10240	-5.6810676e-09	2569.2773	-0.001005973	-148.80371	2.8102946	-0.00026505327	0.0	79.0	-19.385996	40.28193	40.28193	787.2610080242157
2	-45.679615	45.835236	-2.0233653	-143.71341	256.0	0.0	256.0	256.0	-58.63161	12.724611	-53.20464	-172.11879	15360	-2.0489097e-09	1947.4324	-0.003088319	-316.37512	2.7487864	0.003838978	0.030859375	79.0	-12.409294	33.270317	33.270317	1174.7936329841614
3	-38.96735	39.176025	-2.6484683	-129.31856	256.0	0.0	256.0	256.0	-43.563164	17.25998	-31.187733	-211.83179	20480	-1.1734665e-08	1374.2047	-0.0034342082	-54.4563	2.6666284	0.0031145606	0.023242187	79.0	-18.839542	20.127804	20.127804	1564.9362988471985
4	-42.893047	38.619232	-2.0603235	-122.57184	256.0	0.0	256.0	256.0	-41.79735	17.506292	-29.609339	-144.28383	25600	6.9849193e-09	1314.8008	-0.005319916	-69.02112	2.7613804	0.0011000888	0.019335937	79.0	34.542824	77.435875	77.435875	1958.5865540504456
5	-27.048407	25.986431	-0.96128875	-104.12985	256.0	0.0	256.0	256.0	-39.757706	10.149735	-24.305054	-107.88141	30720	-1.8253923e-08	757.2042	-0.002782659	-172.81152	2.6202655	0.0019037405	0.016601562	79.0	1.5852059	28.633615	28.633615	2349.1955392360687
6	-26.678802	15.600038	-3.2776713	-54.95724	256.0	0.0	256.0	256.0	-26.833118	8.064567	-13.305978	-74.88554	35840	-8.05594e-09	244.9343	-0.0023796067	-19.25232	2.6046474	0.0006772788	0.0068359375	79.0	-8.453231	18.225569	18.225569	2739.349671602249
7	-41.79696	36.50584	-3.1835065	-129.36775	256.0	0.0	256.0	256.0	-27.306774	5.04181	-22.780107	-53.778267	40960	-1.8253923e-08	1411.7861	-0.0029832323	-341.62793	2.702217	0.0027330809	0.017382812	79.0	-13.251846	28.54511	28.54511	3130.908960342407
8	-28.79746	36.04793	-0.76738364	-133.20908	256.0	0.0	256.0	256.0	-39.8195	12.031992	-25.721306	-109.93004	46080	1.6856939e-08	1260.1157	-0.002515812	-176.83179	2.5459685	0.0011997304	0.0029296875	79.0	-2.000546	26.79692	26.79692	3525.579316854477
9	-35.449146	50.842457	-2.9476774	-240.33568	256.0	0.0	256.0	256.0	-31.019938	20.57643	-17.443474	-191.9402	51200	-4.5634807e-09	1857.6611	-0.0046947543	-209.78748	2.639722	0.0038635228	0.026953125	79.0	-3.1854367	32.263706	32.263706	3915.3211925029755
10	-28.667759	21.20006	-4.6700172	-88.97245	256.0	0.0	256.0	256.0	-33.878105	21.608906	-16.050755	-208.18326	56320	-4.4703485e-09	619.8544	-0.0051662414	-244.93582	2.6250894	0.005817157	0.027539063	79.0	6.684401	35.35216	35.35216	4308.9423859119415
11	-30.273386	30.833445	-0.7777021	-108.08324	256.0	0.0	256.0	256.0	-28.223822	5.768138	-21.504288	-67.44612	61440	1.9930303e-08	842.2672	-0.00534979	-93.198975	2.5796504	0.005889693	0.06347656	79.0	-4.505089	25.768295	25.768295	4700.783425807953
12	-23.234203	32.028812	-0.8487335	-107.09477	256.0	0.0	256.0	256.0	-29.929987	15.38439	-18.924648	-147.22105	66560	1.4249236e-08	713.9123	-0.0057084598	-118.99298	2.5343373	0.005934268	0.04609375	79.0	5.0394073	28.273611	28.273611	5089.146781682968
13	-10.029654	9.954595	-0.92262703	-38.952835	256.0	0.0	256.0	256.0	-17.610176	8.210499	-7.6295724	-79.0189	71680	-3.0733645e-09	194.18228	-0.00383605	-98.659164	2.3419156	0.00391118	0.031054687	79.0	0.89396846	10.923623	10.923623	5478.889954090118
14	-26.830109	19.013964	-0.7224814	-60.465057	256.0	0.0	256.0	256.0	-11.910032	6.57449	-7.3835235	-72.42842	76800	5.19678e-08	541.4912	-0.0042467834	-226.48785	2.5401776	0.005984743	0.019140625	79.0	4.562202	31.392313	31.392313	5870.900331735611
15	-31.756237	29.600016	-0.7646114	-101.18675	256.0	0.0	256.0	256.0	-26.970367	7.5085945	-22.195715	-86.821106	81920	-4.237518e-09	785.5394	-0.004660376	-53.809265	2.4928489	0.0034855984	0.023828125	79.0	17.921688	49.677925	49.677925	6265.884692192078
16	-28.10326	36.501328	-1.724274	-136.04874	256.0	0.0	256.0	256.0	-32.772564	14.81446	-24.95197	-158.6404	87040	3.7066638e-08	1000.77747	-0.0050663208	-84.73938	2.5395038	0.0051737837	0.064453125	79.0	18.225863	46.329124	46.329124	6658.1374335289
17	-25.410166	26.034744	-0.76915824	-88.01709	256.0	0.0	256.0	256.0	-25.864735	13.05803	-18.481586	-108.29285	92160	-1.2479722e-08	582.7479	-0.006441095	-20.144226	2.4822173	0.006688539	0.047265626	79.0	6.989724	32.39989	32.39989	7049.063556194305
18	-17.20351	14.769798	-1.0660625	-44.90669	256.0	0.0	256.0	256.0	-24.643894	9.585808	-19.093693	-105.10892	97280	-1.6391278e-08	271.03775	-0.005164765	-78.21838	2.4292722	0.0073284158	0.040234376	79.0	5.4093285	22.612839	22.612839	7441.000119686127
19	-19.921024	17.979694	-1.0468597	-69.357185	256.0	0.0	256.0	256.0	-16.782797	3.642496	-14.132444	-43.1956	102400	-1.648441e-08	322.01187	-0.0029469687	-13.437408	2.4409847	0.002707413	0.024414062	79.0	-4.842483	15.078542	15.078542	7829.448511123657
20	-21.456379	25.746098	-2.278038	-93.389175	256.0	0.0	256.0	256.0	-19.920065	4.828399	-15.524194	-64.57692	107520	-2.7939677e-09	608.2615	-0.0053966786	-52.91382	2.4659154	0.0025177356	0.0484375	79.0	-0.9694694	20.48691	20.48691	8223.29019999504
