Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpLen	StdEpLen	MaxEpLen	MinEpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	ShowRet	SJF	F1	Time
0	-29.082458	19.947447	-1.1376607	-67.816376	256.0	0.0	256.0	256.0	-0.0018130433	0.0027822515	0.015123428	-0.025427742	5120	1.974404e-08	1243.5797	-0.0018838069	-867.1102	2.7092385	0.0022954089	0.011914062	79.0	-13.488573	15.593884	15.593884	389.5906791687012
1	-38.44059	35.54196	-3.2360835	-139.6906	256.0	0.0	256.0	256.0	-30.09113	4.772909	-27.677263	-61.279087	10240	8.5681675e-09	1247.0914	-0.0019418352	-186.87427	2.8425145	0.0015049772	0.00546875	79.0	-11.996566	26.44402	26.44402	776.8021347522736
2	-32.987186	30.764421	-2.2886167	-120.86906	256.0	0.0	256.0	256.0	-37.9341	13.407116	-26.307583	-151.2677	15360	1.0430813e-08	759.1996	-0.0025100738	-131.77051	2.8074234	0.0040471447	0.021679688	79.0	-12.428591	20.558598	20.558598	1170.6449105739594
3	-21.518501	18.88408	-2.4059694	-74.95218	256.0	0.0	256.0	256.0	-29.35932	9.406954	-0.50212145	-92.05029	20480	3.3527612e-09	402.73315	-0.0029519591	-105.35919	2.6787403	0.0047293305	0.007421875	79.0	-9.138162	12.380341	12.380341	1562.3678345680237
4	-36.242886	42.72354	-1.8088788	-183.79703	256.0	0.0	256.0	256.0	-23.851141	10.467396	-11.092283	-86.169014	25600	1.7695129e-09	1725.0211	-0.002717777	-453.09998	2.7835922	0.0025402992	0.0013671875	79.0	14.036305	50.279186	50.279186	1956.170417547226
5	-19.80989	16.188112	-1.6468545	-68.376656	256.0	0.0	256.0	256.0	-31.543299	10.689345	-15.243773	-142.86475	30720	-1.359731e-08	386.9105	-0.004271575	-166.25542	2.6510434	0.0059939413	0.02578125	79.0	-2.753371	17.05652	17.05652	2348.2929985523224
6	-23.025984	17.031603	-5.5427094	-72.38037	256.0	0.0	256.0	256.0	-19.763828	6.3869476	-13.2278185	-84.85499	35840	2.7939677e-09	267.05084	-0.0039545926	-16.34703	2.6595757	0.00487041	0.05292969	79.0	-11.40917	11.616816	11.616816	2739.7472755908966
7	-22.750172	18.471474	-4.8253975	-87.7423	256.0	0.0	256.0	256.0	-22.882761	4.6223855	-15.491344	-51.551548	40960	7.636845e-09	271.44623	-0.004949534	-56.223038	2.7275093	0.003231626	0.025976563	79.0	-5.8232703	16.926899	16.926899	3128.75932431221
8	-21.832645	23.371878	-1.7092425	-94.94739	256.0	0.0	256.0	256.0	-23.102947	13.7450285	-2.256916	-135.81853	46080	-6.146729e-09	415.85474	-0.0052733636	-39.868988	2.666	0.0061578974	0.036328126	79.0	-5.0238724	16.808773	16.808773	3521.499447107315
9	-30.92789	41.752556	-2.280606	-186.05048	256.0	0.0	256.0	256.0	-24.2007	20.499388	-9.975677	-219.38683	51200	1.0989607e-08	1303.4213	-0.003443175	-391.8838	2.7190852	0.0023789054	0.0021484375	79.0	-10.5945015	20.33339	20.33339	3911.329400539398
10	-18.387787	16.638683	-1.777282	-59.434696	256.0	0.0	256.0	256.0	-25.701435	14.934217	-2.5059469	-177.85123	56320	-8.8475645e-09	405.36554	-0.0062762233	-178.43756	2.5904248	0.0055239503	0.043554686	79.0	4.3873696	22.775158	22.775158	4304.969464063644
11	-19.965963	19.381294	-1.0	-91.756424	256.0	0.0	256.0	256.0	-18.432425	5.7262044	-11.350703	-64.120995	61440	-1.9371509e-08	337.26263	-0.0047498085	-50.514496	2.571013	0.0039023296	0.016992187	79.0	-3.7648213	16.201145	16.201145	4697.748245954514
12	-14.572784	23.136848	-1.0	-91.236595	256.0	0.0	256.0	256.0	-20.524738	10.57525	-9.395077	-131.8379	66560	-6.7055224e-09	406.60193	-0.0056990655	-159.0238	2.5054016	0.0046208017	0.039453126	79.0	3.5848415	18.157627	18.157627	5088.23534154892
13	-8.439329	6.316674	-1.0	-22.17293	256.0	0.0	256.0	256.0	-11.308386	8.116342	-1.8026657	-83.929474	71680	-2.514571e-09	98.37469	-0.005162305	-59.525604	2.3870094	0.0030583243	0.022070313	79.0	-0.86799717	7.5713334	7.5713334	5480.927558898926
14	-15.490351	13.084007	-1.0	-56.022293	256.0	0.0	256.0	256.0	-8.822313	2.1684532	-4.0770745	-23.393942	76800	3.1664968e-09	199.5155	-0.004653782	-56.699112	2.4754825	0.00294672	0.01875	79.0	4.6848183	20.17517	20.17517	5871.575454711914
15	-18.282993	20.828163	-1.0	-86.18552	256.0	0.0	256.0	256.0	-16.072567	7.440533	-9.956936	-71.801735	81920	-6.239861e-09	356.8813	-0.005911824	-25.67926	2.4193268	0.0024100947	0.051367186	79.0	11.437208	29.7202	29.7202	6261.953555345535
16	-17.513906	18.829277	-2.1027362	-71.46317	256.0	0.0	256.0	256.0	-18.63355	9.987735	-11.795495	-107.48536	87040	-9.220093e-09	282.07684	-0.0057897675	-22.76941	2.5070007	0.0024297505	0.009570313	79.0	10.772207	28.286114	28.286114	6653.969563007355
17	-14.5013275	14.947678	-1.1356379	-62.80536	256.0	0.0	256.0	256.0	-16.487995	7.693172	-13.320807	-117.44902	92160	1.0803342e-08	203.03174	-0.005707048	-14.838303	2.4363794	0.0036191426	0.008203125	79.0	4.8284693	19.329796	19.329796	7040.997772216797
18	-12.09758	9.543955	-1.0	-34.725563	256.0	0.0	256.0	256.0	-14.295596	4.9020576	-12.035262	-58.449173	97280	4.656613e-10	86.23495	-0.00463091	-7.6890564	2.4117217	0.0036386768	0.01953125	79.0	2.5759003	14.67348	14.67348	7431.089999675751
19	-11.888402	11.203858	-1.6166406	-38.701324	256.0	0.0	256.0	256.0	-11.655584	2.3439567	-10.323551	-31.997536	102400	2.514571e-09	113.27439	-0.0042046374	-4.181923	2.3884091	0.006134315	0.039257813	79.0	-2.8095849	9.078817	9.078817	7821.207070112228
20	-12.1943445	10.398911	-1.0140191	-44.55802	256.0	0.0	256.0	256.0	-12.040883	3.936399	-8.668985	-50.151222	107520	-2.8871e-09	94.25702	-0.005508863	-2.124771	2.4797392	0.004366833	0.026953125	79.0	-0.7850127	11.40933	11.40933	8212.236551523209
21	-11.644589	11.580045	-1.0	-41.331474	256.0	0.0	256.0	256.0	-12.038859	3.307369	-8.897446	-42.839222	112640	-5.4948033e-09	120.21895	-0.0050865784	-4.5910034	2.3533027	0.0064997287	0.040234376	79.0	0.3126724	11.957262	11.957262	8602.209022760391
