Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpLen	StdEpLen	MaxEpLen	MinEpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	EntropyJ	EntropyN	KLj	KLn	ClipFracJ	ClipFracN	StopIter	ShowRet	SJF	F1	Time
0	-60.38625	78.309586	-1.335463	-450.81873	256.0	0.0	256.0	256.0	-0.57170737	0.12701626	0.0013213729	-0.7300198	25600	-2.3841858e-08	9718.284	-0.0059505524	-3836.4658	0.6517678	2.2325013	0.00138212	2.2427754e-05	0.011679688	0.0	79.0	-35.335045	25.051208	25.051208	136.87478971481323
1	-47.204845	67.98437	-1.2262452	-487.42358	256.0	0.0	256.0	256.0	-58.42295	2.6816154	-55.15437	-86.90781	51200	-5.9604646e-09	4553.1655	-0.0027858221	-891.14014	0.55734396	2.2514236	0.0001644252	5.007768e-06	0.0013671875	0.0	79.0	-30.656372	16.54848	16.54848	265.1326515674591
2	-53.61035	90.36847	-1.033387	-615.4559	256.0	0.0	256.0	256.0	-47.239292	17.855093	-38.87466	-196.2286	76800	-1.1920929e-09	6794.7515	-0.002074932	-1188.4346	0.53505504	2.2522979	-1.8513116e-05	0.00018021202	0.0	0.003359375	79.0	-36.634262	16.976086	16.976086	389.97692346572876
3	-44.183693	65.50672	-1.4169984	-402.1285	256.0	0.0	256.0	256.0	-50.611763	39.934616	-36.611767	-433.77356	102400	2.9802323e-09	3421.99	-0.0039041608	-156.4707	0.48107192	2.2356684	1.0403018e-05	0.0044335825	0.0	0.037734374	79.0	-23.96601	20.21768	20.21768	517.3168523311615
4	-40.973877	59.511215	-1.0	-316.973	256.0	0.0	256.0	256.0	-44.212357	31.620031	-33.91161	-385.91464	128000	-1.1920929e-09	2734.3174	-0.002920451	-40.69702	0.4563765	2.238279	2.729058e-06	0.0038287712	0.0	0.028632812	79.0	-25.06699	15.906882	15.906882	641.3631274700165
5	-56.065464	89.274376	-1.0	-504.77805	256.0	0.0	256.0	256.0	-44.2354	38.454895	-31.309666	-451.10037	153600	-5.3644182e-09	5969.953	-0.0023719585	-278.9546	0.551082	2.1982582	-1.3151086e-05	0.0046979995	0.0	0.021757813	79.0	-30.51715	25.548313	25.548313	765.1005818843842
6	-54.26113	82.80787	-1.00036	-368.29883	256.0	0.0	256.0	256.0	-55.555927	44.924305	-38.967445	-434.5461	179200	2.3841857e-09	5103.1235	-0.0047056554	-84.59473	0.5305157	2.1704514	3.494245e-05	0.011357613	0.0	0.16769531	79.0	-27.08368	27.177462	27.177462	892.286801815033
7	-42.464497	64.532974	-1.0	-407.38416	256.0	0.0	256.0	256.0	-51.35636	33.23389	-38.29076	-336.1564	204800	-2.3841857e-09	3154.9531	-0.005127492	-108.8501	0.46526206	2.1608534	-2.2149547e-05	0.0125097195	0.0	0.20308594	79.0	-17.801527	24.662964	24.662964	1019.7547895908356
8	-46.618153	71.94454	-1.0	-416.97247	256.0	0.0	256.0	256.0	-43.607582	38.600006	-29.90389	-408.40897	230400	-3.5762786e-09	3908.4006	-0.0047900733	-76.02197	0.4800396	2.0920596	0.00030789923	0.010392929	0.000234375	0.17792968	79.0	-17.612665	29.005486	29.005486	1143.1512219905853
9	-31.779585	59.110973	-1.0	-367.0187	256.0	0.0	256.0	256.0	-43.641346	27.539389	-34.05487	-435.85083	256000	2.3841857e-09	2624.1294	-0.0048361523	-182.23291	0.3680883	2.043285	0.0003188247	0.010676441	0.0033203126	0.1996875	79.0	-7.522917	24.256664	24.256664	1269.4363067150116
10	-23.892117	35.07662	-1.0	-193.5279	256.0	0.0	256.0	256.0	-28.973194	19.594175	-20.166004	-257.15048	281600	5.3644182e-09	996.32764	-0.005794667	-44.73755	0.31604758	1.9650795	2.1926255e-06	0.013437883	0.0	0.2536328	79.0	-6.659258	17.232855	17.232855	1392.4297869205475
11	-19.19196	38.246494	-1.0	-271.64322	256.0	0.0	256.0	256.0	-23.048351	15.08594	-18.178404	-271.36053	307200	5.9604646e-09	1101.7451	-0.003324765	-47.18994	0.25257072	1.8676081	0.00063033326	0.006178621	0.0009375	0.054960936	79.0	-2.2461627	16.945797	16.945797	1525.7358922958374
12	-30.747583	56.24647	-1.0	-352.77866	256.0	0.0	256.0	256.0	-22.79702	29.646856	-12.0464525	-392.22403	332800	7.152557e-09	2298.1555	-0.005078508	-91.05957	0.37894326	1.7941186	0.00031631815	0.012705757	0.00015625	0.20753907	79.0	-4.51021	26.237377	26.237377	1659.3224375247955
