Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpLen	StdEpLen	MaxEpLen	MinEpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	EntropyJ	EntropyN	KLj	KLn	ClipFracJ	ClipFracN	StopIter	ShowRet	SJF	F1	Time
0	-60.38625	78.309586	-1.335463	-450.81873	256.0	0.0	256.0	256.0	-0.57170737	0.12701626	0.0013213729	-0.7300198	25600	0.18204498	9718.284	-0.0016202927	-3836.4658	0.6517678	2.2325013	0.0004106334	0.002656073	0.0	0.013867187	79.0	-35.335045	25.051208	25.051208	134.30063009262085
1	-44.148808	53.1734	-1.4926296	-311.30823	256.0	0.0	256.0	256.0	-58.37221	2.3182478	-54.78795	-79.32787	51200	0.17020637	2910.2656	-0.0015485287	-490.18408	0.5655581	2.2527714	0.000111071065	0.0076971226	3.90625e-05	0.08539063	79.0	-27.600336	16.54848	16.54848	260.4008882045746
2	-53.200943	74.13882	-1.0326056	-327.33237	256.0	0.0	256.0	256.0	-45.02063	10.670962	-38.683014	-117.39612	76800	0.17340782	4888.257	-0.005703017	-797.40674	0.56956935	2.253578	0.00028511885	0.06630575	0.0003125	0.51628906	79.0	-36.224857	16.976086	16.976086	388.6420238018036
3	-33.358883	51.252003	-1.0130836	-288.8201	256.0	0.0	256.0	256.0	-48.507423	27.337404	-38.20004	-285.9463	102400	0.2139526	2332.9265	-0.0032086968	-262.72217	0.40283906	2.1597304	0.0013484278	0.04739628	0.018515624	0.47351563	79.0	-13.141204	20.21768	20.21768	516.3689544200897
4	-20.460138	28.184536	-1.0	-164.95348	256.0	0.0	256.0	256.0	-30.76823	15.476793	-25.438461	-205.22742	128000	0.20637123	767.3519	-0.00086195767	-119.36902	0.31771755	2.0461068	0.0002759567	0.005522143	3.90625e-05	0.054609373	79.0	-4.5532556	15.906882	15.906882	644.8398516178131
5	-30.17955	52.11621	-1.0	-299.40106	256.0	0.0	256.0	256.0	-21.915144	16.387821	-16.421062	-225.18233	153600	0.1716429	2210.8506	-0.005148053	-159.0083	0.41069108	1.9789582	0.012031665	0.011759317	0.09355469	0.10128906	79.0	-4.631236	25.548313	25.548313	767.6865346431732
6	-17.14103	23.272232	-1.0	-122.999275	256.0	0.0	256.0	256.0	-27.232306	14.692998	-22.129028	-203.92708	179200	0.2107226	587.70483	-0.0030829906	-131.58945	0.3073594	1.8923901	0.0042620455	0.049307037	0.033125	0.5580469	79.0	10.036428	27.177462	27.177462	883.9631299972534
7	-12.668805	15.700239	-1.0	-78.407166	256.0	0.0	256.0	256.0	-16.855434	7.6752353	-14.100371	-144.4276	204800	0.20628788	228.7062	-0.0009981841	-21.874573	0.27558452	1.8608062	0.002785552	0.0062368764	0.024257813	0.059296876	79.0	11.994159	24.662964	24.662964	1005.7910509109497
8	-13.2582445	12.725946	-1.0	-59.51293	256.0	0.0	256.0	256.0	-12.751282	6.296635	-10.232585	-105.70844	230400	0.21872349	143.04193	-0.0044927	-2.7897644	0.27659312	1.779575	0.0059417486	0.102887005	0.039960936	0.69449216	79.0	15.747242	29.005486	29.005486	1132.400743484497
9	-13.420002	20.76287	-1.0	-116.799385	256.0	0.0	256.0	256.0	-13.284253	6.467734	-10.851368	-119.74509	256000	0.17995223	347.3456	-0.004041761	-10.233337	0.2635317	1.7298886	0.0079795	0.0771187	0.04703125	0.60445315	79.0	10.836664	24.256664	24.256664	1261.4853143692017
