Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpLen	StdEpLen	MaxEpLen	MinEpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	EntropyJ	EntropyN	KLj	KLn	ClipFracJ	ClipFracN	StopIter	ShowRet	SJF	F1	Time
0	-60.38625	78.309586	-1.335463	-450.81873	256.0	0.0	256.0	256.0	-0.57170737	0.12701626	0.0013213729	-0.7300198	25600	-2.2649765e-08	9718.284	-0.00083071826	-3836.4658	0.6517678	2.2325013	0.00028891794	0.0026667726	0.0	0.014804687	79.0	-35.335045	25.051208	25.051208	129.96379899978638
1	-43.51463	62.46563	-1.4926296	-403.57504	256.0	0.0	256.0	256.0	-58.361645	2.3782172	-54.896202	-79.32787	51200	2.3841857e-09	3967.0479	-0.0011348056	-724.5935	0.55388045	2.2507298	4.5216773e-05	0.017618682	0.0	0.24601562	79.0	-26.966154	16.54848	16.54848	259.97775959968567
2	-40.258274	58.649517	-1.033387	-299.9916	256.0	0.0	256.0	256.0	-43.5543	12.109705	-36.92319	-124.93145	76800	-5.3644182e-09	2868.7766	-0.0011169404	-352.04712	0.49612832	2.2245128	0.000465468	0.0165802	0.0030859376	0.28351563	79.0	-23.282183	16.976086	16.976086	387.8122491836548
3	-34.592514	52.327984	-1.0015297	-264.65424	256.0	0.0	256.0	256.0	-38.497944	24.607561	-29.09189	-215.6409	102400	-1.1920929e-09	2166.1804	-0.001357227	-27.782959	0.42301932	2.1731176	0.0008493154	0.0074256565	0.016445313	0.087148435	79.0	-14.374839	20.21768	20.21768	514.2979092597961
4	-20.839546	26.170599	-1.0	-148.77571	256.0	0.0	256.0	256.0	-32.136684	16.057407	-26.218407	-191.5207	128000	3.2782554e-09	730.8579	-0.0025065383	-158.1695	0.34236586	2.1507292	0.0040045595	0.005766032	0.06015625	0.022929687	79.0	-4.9326644	15.906882	15.906882	644.7835690975189
5	-28.152369	36.86743	-1.0	-201.39984	256.0	0.0	256.0	256.0	-21.958044	13.568141	-16.622517	-182.62892	153600	1.1920929e-09	1130.6876	-0.0021150983	-54.53174	0.45816895	2.159222	0.0030237578	0.012740293	0.030429687	0.17125	79.0	-2.6040506	25.548313	25.548313	772.1426680088043
6	-20.476822	22.331331	-1.0	-112.05949	256.0	0.0	256.0	256.0	-26.63923	12.294907	-21.23067	-156.15503	179200	2.3841857e-09	464.33093	-0.0023999691	-48.82959	0.37841788	2.100681	0.0039413357	0.015794054	0.051757812	0.20679687	79.0	6.7006397	27.177462	27.177462	896.7735276222229
7	-14.3953495	16.983728	-1.0	-84.085815	256.0	0.0	256.0	256.0	-19.721664	7.525055	-16.42262	-121.32162	204800	0.0	268.32764	-0.001547954	-29.244904	0.29609808	2.0393198	0.0028436363	0.0060413135	0.034648437	0.035429686	79.0	10.267616	24.662964	24.662964	1021.9156882762909
8	-17.027594	18.501894	-1.0	-108.321045	256.0	0.0	256.0	256.0	-14.77328	8.600706	-11.232417	-156.74026	230400	-5.9604643e-10	296.11813	-0.0019938808	-7.7626953	0.30687428	1.9929348	0.00072595535	0.01345509	0.01609375	0.24789062	79.0	11.977894	29.005486	29.005486	1150.421454668045
9	-13.16146	16.098442	-1.00036	-73.30837	256.0	0.0	256.0	256.0	-16.514889	5.147672	-13.95647	-67.9114	256000	1.1920929e-09	228.45872	-0.0015082014	-14.123642	0.2468006	2.0392654	0.00064204703	0.0034924867	0.015664063	0.03703125	79.0	11.09521	24.256664	24.256664	1277.2795059680939
