Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpLen	StdEpLen	MaxEpLen	MinEpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	EntropyJ	EntropyN	KLj	KLn	ClipFracJ	ClipFracN	StopIter	ShowRet	SJF	F1	Time
0	-1684.8538	779.3831	-310.87558	-3914.6675	256.0	0.0	256.0	256.0	0.25343683	0.06841375	0.5713665	-0.11630051	25600	-4.7683715e-09	3447017.0	-0.00062782405	-2796948.8	3.238362	2.580793	0.006329851	-3.522262e-08	0.10230469	0.0	79.0	-1630.435	54.419064	54.419064	173.78937530517578
1	-2002.991	1029.8193	-269.67603	-6680.595	256.0	0.0	256.0	256.0	-1449.8215	62.5403	-1187.7233	-1575.8513	51200	1.7732383e-08	1332011.2	-0.0007586058	-494144.0	3.3328218	2.5777874	0.00785878	-3.1557864e-08	0.08257812	0.0	79.0	-1937.7817	65.20887	65.20887	343.3415620326996
2	-2079.146	1046.3715	-167.58333	-5238.281	256.0	0.0	256.0	256.0	-2047.2979	338.95142	-1666.9137	-2857.3662	76800	-1.3113022e-08	844185.6	-0.0006007612	-41508.5	3.3173018	2.5759256	0.01549249	-3.5893173e-08	0.23007813	0.0	35.0	-2037.8068	41.339237	41.339237	486.28482699394226
3	-1728.914	998.89496	-211.74733	-5270.401	256.0	0.0	256.0	256.0	-1990.1149	484.17236	-1493.2651	-3323.102	102400	3.5762786e-09	792009.1	-0.0013191134	-74635.69	3.1877558	2.5799286	0.010664967	-3.013294e-08	0.09414063	0.0	79.0	-1689.1802	39.734146	39.734146	646.8323361873627
4	-1504.8342	822.1129	-342.31445	-4130.7153	256.0	0.0	256.0	256.0	-1700.8179	491.23294	-1231.6666	-3201.929	128000	2.6822091e-09	534821.94	-0.0015510642	-44993.344	3.1127625	2.5779552	0.012910375	-3.2661482e-08	0.11109375	0.0	79.0	-1444.0015	60.832764	60.832764	819.3431129455566
5	-1129.4066	585.5518	-225.41129	-2595.651	256.0	0.0	256.0	256.0	-1421.8958	334.81705	-1119.0911	-2812.8613	153600	9.536743e-09	334001.9	-0.0013076997	-86118.78	3.0157936	2.5819016	0.014579178	-2.5318004e-08	0.22347656	0.0	79.0	-1082.8456	46.56099	46.56099	986.300538778305
6	-1061.101	602.8799	-199.04779	-2920.2498	256.0	0.0	256.0	256.0	-1147.303	327.41644	-864.1867	-2397.2046	179200	-8.34465e-09	247341.4	-0.001585338	-7882.4062	2.946955	2.5806777	0.017181048	-1.9841828e-08	0.1865625	0.0	31.0	-1005.47284	55.628212	55.628212	1124.599238872528
7	-816.2861	359.77393	-110.88194	-2028.8256	256.0	0.0	256.0	256.0	-1012.67224	261.11752	-761.61304	-2212.17	204800	0.0	139059.97	-0.0020473553	-44243.47	2.882928	2.5849164	0.016300688	-2.5546179e-08	0.22078125	0.0	24.0	-760.0909	56.19519	56.19519	1260.6850633621216
8	-690.1559	346.10678	-138.30605	-2069.1003	256.0	0.0	256.0	256.0	-780.4043	172.42715	-633.54254	-1821.086	230400	-4.7683715e-09	93303.46	-0.0015960527	-8109.6797	2.6420248	2.579776	0.009122441	-1.979526e-08	0.11992188	0.0	79.0	-650.7439	39.412003	39.412003	1431.5392832756042
9	-540.3387	269.05344	-159.28308	-1353.8604	256.0	0.0	256.0	256.0	-659.8017	144.7458	-543.84674	-1644.9149	256000	-7.152557e-09	64372.45	-0.0015638507	-14174.25	2.488023	2.578914	0.00637228	-2.1420419e-09	0.11589844	0.0	79.0	-497.70578	42.632866	42.632866	1595.1059200763702
10	-583.9263	304.99115	-126.084656	-2218.5588	256.0	0.0	256.0	256.0	-558.1957	152.41684	-428.8136	-1587.0278	281600	-3.5762786e-09	71912.58	-0.0015002012	-973.1094	2.5874636	2.5803382	0.013997185	-1.2489036e-08	0.19378906	0.0	79.0	-525.3438	58.582436	58.582436	1765.9936482906342
11	-525.19336	264.89087	-152.93102	-1513.5151	256.0	0.0	256.0	256.0	-568.08417	132.27461	-465.3938	-1552.3429	307200	3.5762786e-09	48755.83	-0.0010409903	-2102.793	2.4364076	2.581474	0.0065602567	3.245659e-09	0.07632813	0.0	79.0	-484.31262	40.880737	40.880737	1931.0217416286469
12	-517.39856	253.60895	-102.64735	-1362.7205	256.0	0.0	256.0	256.0	-532.03345	143.26921	-413.20264	-1442.0051	332800	-1.1920929e-09	42939.22	-0.0015363068	-308.1875	2.4324296	2.579788	0.015465499	2.1466986e-09	0.26464844	0.0	38.0	-476.46927	40.929306	40.929306	2070.813740491867
