Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpLen	StdEpLen	MaxEpLen	MinEpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	EntropyJ	EntropyN	KLj	KLn	ClipFracJ	ClipFracN	StopIter	ShowRet	SJF	F1	Time
0	-1684.8538	779.3831	-310.87558	-3914.6675	256.0	0.0	256.0	256.0	0.25343683	0.06841375	0.5713665	-0.11630051	25600	0.25857738	3447017.0	-0.0010662079	-2796948.8	3.238362	2.580793	0.010135956	-3.3788382e-08	0.114414066	0.0	79.0	-1630.435	54.419064	54.419064	173.36668252944946
1	-2079.7686	1089.0992	-334.18753	-6928.8203	256.0	0.0	256.0	256.0	-1451.8694	60.40735	-1184.465	-1576.4601	51200	0.19830371	1547060.8	-0.00042243302	-622272.25	3.299156	2.5777874	0.0037214756	-3.702473e-08	0.06480469	0.0	79.0	-2014.5593	65.20887	65.20887	346.7707028388977
2	-2018.5737	918.98785	-407.16455	-4424.6475	256.0	0.0	256.0	256.0	-2125.4905	372.59213	-1710.0675	-3010.8672	76800	0.28863227	668404.5	-0.0018667281	-16751.25	3.323642	2.5759256	0.016686976	-3.7672e-09	0.21414062	0.0	28.0	-1977.2345	41.339237	41.339237	486.7502942085266
3	-1801.3785	1093.4976	-207.00728	-4964.689	256.0	0.0	256.0	256.0	-1956.3818	401.7775	-1546.8492	-3047.3406	102400	0.27530098	909234.2	-0.0015900433	-57379.625	3.1706355	2.5799286	0.014349943	-2.8326177e-08	0.104335934	0.0	79.0	-1761.6444	39.734146	39.734146	658.5389432907104
4	-1443.1871	690.2511	-272.99103	-3981.5613	256.0	0.0	256.0	256.0	-1753.5054	506.11688	-1248.2528	-3336.4697	128000	0.3131839	492091.2	-0.0018231273	-128046.06	3.1398127	2.577955	0.01566822	-3.0645168e-08	0.124414064	0.0	39.0	-1382.3545	60.832764	60.832764	803.3902480602264
5	-1570.3816	838.00946	-197.93938	-3898.7043	256.0	0.0	256.0	256.0	-1440.0675	338.3887	-1111.423	-2558.963	153600	0.26583794	532545.56	-0.0014139712	-27324.594	3.1595042	2.5819018	0.015751967	-2.8382056e-08	0.2109375	0.0	27.0	-1523.8203	46.56099	46.56099	940.4485704898834
6	-1878.3064	1111.7201	-395.1898	-4784.6763	256.0	0.0	256.0	256.0	-1647.1036	514.75507	-1158.6743	-2965.9167	179200	0.27755812	938140.56	-0.0011052489	-62631.438	3.1858704	2.580678	0.015870376	-1.5371478e-08	0.2590625	0.0	29.0	-1822.6781	55.628212	55.628212	1079.8963422775269
7	-1560.311	757.31744	-89.48915	-3799.1443	256.0	0.0	256.0	256.0	-1826.6803	505.78345	-1332.998	-3426.7957	204800	0.3093027	535368.75	-0.0019382536	-92559.125	3.2109845	2.584917	0.017496593	-2.2291205e-08	0.16886719	0.0	16.0	-1504.116	56.19519	56.19519	1207.6943621635437
8	-1340.1561	850.2051	-263.23538	-5485.684	256.0	0.0	256.0	256.0	-1520.5132	341.32385	-1203.36	-2760.15	230400	0.26785222	562275.5	-0.0016816258	-43715.812	3.08742	2.5797763	0.015155806	-3.5334377e-08	0.19734375	0.0	68.0	-1300.744	39.412003	39.412003	1369.530977487564
9	-1291.3256	757.6477	-207.28986	-4298.056	256.0	0.0	256.0	256.0	-1298.5978	398.82358	-964.79816	-2891.9653	256000	0.2776423	431070.3	-0.002411902	-2723.6875	2.9545078	2.578914	0.01674969	-3.062654e-08	0.17886719	0.0	15.0	-1248.6926	42.632866	42.632866	1496.8074913024902
10	-1171.8087	648.9809	-220.18532	-3176.7117	256.0	0.0	256.0	256.0	-1301.3214	368.9157	-958.0924	-2860.3306	281600	0.2847321	316698.6	-0.0019604862	-18888.719	3.0121467	2.5803382	0.015862565	-2.0735897e-08	0.1360547	0.0	23.0	-1113.2263	58.582436	58.582436	1629.8518793582916
11	-915.5535	475.86826	-108.87208	-2562.857	256.0	0.0	256.0	256.0	-1108.6716	268.59247	-888.0493	-2607.78	307200	0.2847677	196748.8	-0.0025264025	-37349.72	2.856878	2.581474	0.015898908	-1.7313287e-08	0.2175	0.0	48.0	-874.6728	40.880737	40.880737	1779.2445209026337
