Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpLen	StdEpLen	MaxEpLen	MinEpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	EntropyJ	EntropyN	KLj	KLn	ClipFracJ	ClipFracN	StopIter	ShowRet	SJF	F1	Time
0	-61.09761	78.53604	-1.0111955	-459.928	256.0	0.0	256.0	256.0	0.0043715197	0.007613708	0.07224672	-0.064391114	25600	-9.536743e-09	9901.175	-0.00032280682	-4169.2646	0.6640363	2.2391016	0.00062470074	0.0	0.0	0.0	79.0	-36.046402	25.051208	25.051208	168.92083048820496
1	-46.855507	59.97316	-1.0147328	-333.06308	256.0	0.0	256.0	256.0	-63.415497	5.4228106	-61.22619	-107.63588	51200	4.7683715e-09	3581.9517	-0.0002239442	-854.55444	0.55047125	2.2555854	0.0007542965	0.0	3.90625e-05	0.0	79.0	-30.307026	16.54848	16.54848	336.5078372955322
2	-47.18041	67.11344	-1.7403635	-376.25943	256.0	0.0	256.0	256.0	-47.16996	30.58366	-35.42794	-262.41507	76800	-5.066395e-09	3283.5522	-0.0010120594	-124.18213	0.5558422	2.261602	0.002837315	0.0	0.04863281	0.0	79.0	-30.20432	16.976086	16.976086	487.93094396591187
3	-45.871048	60.89717	-1.2260901	-302.2616	256.0	0.0	256.0	256.0	-46.225662	32.384323	-33.72912	-321.91226	102400	-1.1920929e-09	2855.4229	-0.0011408734	-201.38501	0.5494794	2.2509224	0.00549415	0.0	0.06261719	0.0	79.0	-25.65337	20.21768	20.21768	649.6894338130951
4	-32.72072	33.911465	-1.031378	-145.65979	256.0	0.0	256.0	256.0	-41.733585	17.035797	-31.91084	-214.29672	128000	-2.3841857e-09	1021.22375	-0.0010116769	-115.364685	0.5063804	2.270442	0.0028553456	0.0	0.026757812	0.0	79.0	-16.813831	15.906882	15.906882	811.731294631958
5	-41.213593	46.07099	-3.056149	-218.10175	256.0	0.0	256.0	256.0	-34.861122	20.448322	-25.45382	-185.83574	153600	-1.9073486e-08	1617.4191	-0.0008174479	-84.14551	0.6166347	2.254154	0.0043755085	0.0	0.039140627	0.0	79.0	-15.665279	25.548313	25.548313	976.9461925029755
6	-37.242268	37.52559	-1.0078125	-216.6014	256.0	0.0	256.0	256.0	-40.67051	21.184952	-31.783304	-209.83354	179200	-7.152557e-09	1098.2915	-0.0010857916	-25.293945	0.5783533	2.2557719	0.004305448	0.0	0.05292969	0.0	79.0	-10.064812	27.177462	27.177462	1136.1081750392914
7	-30.380732	34.356712	-1.0	-190.89459	256.0	0.0	256.0	256.0	-36.4278	15.930187	-29.955788	-197.68341	204800	1.4305114e-08	875.6978	-0.0010984135	-49.54773	0.52168256	2.2656007	0.0046412144	0.0	0.045078125	0.0	79.0	-5.717767	24.662964	24.662964	1298.893928527832
8	-33.24764	29.231735	-1.1814849	-129.58362	256.0	0.0	256.0	256.0	-31.350166	20.463919	-22.787006	-218.36911	230400	9.536743e-09	740.62885	-0.00096154097	-59.94995	0.540891	2.2483823	0.001901286	0.0	0.016953126	0.0	79.0	-4.242149	29.005486	29.005486	1461.2066812515259
9	-25.233023	27.04101	-1.0000385	-159.1947	256.0	0.0	256.0	256.0	-31.913437	12.094009	-27.11662	-158.76163	256000	-4.7683715e-09	566.4828	-0.0008206725	-53.796448	0.43590683	2.2590907	0.0009357527	0.0	0.019492187	0.0	79.0	-0.97635764	24.256664	24.256664	1624.1993174552917
