Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpLen	StdEpLen	MaxEpLen	MinEpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossN	LossV	DeltaLossPi	DeltaLossV	EntropyJ	EntropyN	KLj	KLn	ClipFracJ	ClipFracN	StopIter	ShowRet	SJF	F1	Time
0	-62.627247	77.137314	-1.0111955	-471.69748	256.0	0.0	256.0	256.0	0.0043331347	0.0077483617	0.07224672	-0.07664801	25600	2.1457673e-08	2.2649765e-08	9872.701	-0.0006520176	-4366.3374	0.6795588	2.2383573	0.00069721334	0.0011433029	0.007734375	0.0	79.0	-37.576035	25.051208	25.051208	172.3395037651062
1	-47.594765	61.653152	-1.0230497	-426.2916	256.0	0.0	256.0	256.0	-64.799164	5.6511064	-62.46571	-107.359406	51200	0.0	-1.1920929e-09	3783.295	-0.0005955827	-923.25366	0.5734713	2.253953	0.0006393894	0.0011675805	0.0025	3.90625e-05	79.0	-31.046291	16.54848	16.54848	343.0837049484253
2	-43.45103	61.29594	-1.7403475	-466.81354	256.0	0.0	256.0	256.0	-46.7043	28.461586	-35.65513	-256.23135	76800	-7.7486035e-09	-9.536743e-09	2962.8457	-0.0012783112	-133.30005	0.5467432	2.2597268	0.0014935115	0.005425722	0.008242187	0.04074219	79.0	-26.474941	16.976086	16.976086	514.5474052429199
3	-41.773285	52.492336	-1.0010127	-251.15688	256.0	0.0	256.0	256.0	-42.739655	26.022646	-31.74899	-301.6073	102400	-4.7683715e-09	-5.9604646e-09	2190.0383	-0.0016045499	-137.08887	0.5197515	2.2411191	0.001159776	0.003148612	0.019023437	0.0071484377	79.0	-21.55561	20.21768	20.21768	682.7562787532806
4	-32.485428	40.62971	-1.0389222	-172.9893	256.0	0.0	256.0	256.0	-39.399975	19.745497	-27.647459	-225.01744	128000	0.0	-5.9604643e-10	1340.932	-0.001257261	-66.86633	0.44686493	2.2465081	0.0018503795	0.00584061	0.01515625	0.022070313	79.0	-16.578547	15.906882	15.906882	847.8649978637695
5	-34.174717	43.27796	-1.0	-256.4488	256.0	0.0	256.0	256.0	-33.05032	19.928709	-25.703379	-292.83798	153600	-5.9604643e-10	5.9604643e-10	1386.8253	-0.0013528579	-17.011597	0.510612	2.2044027	0.00078619644	0.0029998252	0.011445313	0.014257813	79.0	-8.626401	25.548313	25.548313	1012.7606735229492
6	-31.637897	40.637833	-1.0	-217.92126	256.0	0.0	256.0	256.0	-33.78163	22.356218	-25.811834	-281.99774	179200	-3.5762786e-09	-1.1920929e-09	1251.1747	-0.0010941541	-16.064453	0.46160594	2.1730165	0.00022976205	0.0032887163	0.0009765625	0.016953126	79.0	-4.460442	27.177462	27.177462	1178.8088812828064
7	-27.477486	38.33828	-1.0	-215.60881	256.0	0.0	256.0	256.0	-31.027693	18.691595	-24.581564	-231.64508	204800	4.7683715e-09	5.9604646e-09	1112.0875	-0.001428889	-18.639038	0.42173347	2.15058	0.00091866165	0.0034628832	0.014023437	0.018515624	79.0	-2.8145177	24.662964	24.662964	1344.9241621494293
8	-26.303024	30.07886	-1.0	-160.56296	256.0	0.0	256.0	256.0	-27.248547	16.23	-21.018248	-180.09628	230400	1.2516975e-08	1.013279e-08	718.73737	-0.00096383604	-9.812805	0.44105807	2.1113813	0.0005094293	0.0043032193	0.0013671875	0.019960938	79.0	2.7024648	29.005486	29.005486	1515.587916135788
9	-21.605766	36.752914	-1.0	-283.46707	256.0	0.0	256.0	256.0	-25.69839	15.99923	-20.87362	-260.33084	256000	7.152557e-09	7.152557e-09	980.34314	-0.0013954376	-39.37274	0.34513134	2.0899293	0.00032342793	0.0037383502	0.006796875	0.008203125	79.0	2.6509025	24.256664	24.256664	1684.3205218315125
10	-15.151242	14.306978	-1.0014632	-71.27296	256.0	0.0	256.0	256.0	-19.314005	8.566465	-15.713355	-128.99294	281600	-3.5762786e-09	-3.5762786e-09	205.05742	-0.0013152963	-28.247543	0.3027069	2.108037	-9.400997e-05	0.0055847443	0.008125	0.02078125	79.0	2.0816147	17.232855	17.232855	1849.4736161231995
11	-12.363672	19.043541	-1.0	-128.84273	256.0	0.0	256.0	256.0	-15.023738	7.0170703	-12.922759	-117.31968	307200	-5.3644182e-09	-4.172325e-09	274.0339	-0.001403096	-20.76944	0.2360865	2.0778136	0.0005153128	0.0041512297	0.004375	0.012226563	79.0	4.5821247	16.945797	16.945797	2021.990591287613
12	-18.69643	23.952616	-1.0	-121.14766	256.0	0.0	256.0	256.0	-14.376653	14.677494	-9.563875	-160.56422	332800	-7.7486035e-09	-8.940697e-09	460.2025	-0.000704909	-31.268677	0.34380203	2.0168989	0.00018098805	0.0045610745	0.00046875	0.01453125	79.0	7.540945	26.237377	26.237377	2186.0385615825653
13	-15.92391	23.28259	-1.0	-133.60614	256.0	0.0	256.0	256.0	-18.084547	12.067655	-14.061972	-150.66241	358400	-5.9604646e-09	-7.152557e-09	407.7693	-0.0014170909	-5.6621704	0.28787586	2.017363	0.0004794677	0.004459684	0.008085937	0.028085938	79.0	10.259015	26.182924	26.182924	2350.4955174922943
14	-14.180395	16.73445	-1.0	-80.04762	256.0	0.0	256.0	256.0	-15.382146	8.344424	-12.141685	-86.95477	384000	1.07288365e-08	1.07288365e-08	213.85284	-0.0010796415	-1.5298309	0.29348445	1.9981608	0.0005681839	0.0037605974	0.0067578126	0.018125	79.0	8.891212	23.071611	23.071611	2516.477258205414
15	-14.754602	18.888168	-1.0	-98.91439	256.0	0.0	256.0	256.0	-14.378925	9.506296	-10.996128	-136.98817	409600	-1.1920929e-09	-2.3841857e-09	271.27914	-0.0013733745	-0.7888794	0.27689892	1.9742191	0.0003981296	0.0036369704	0.006875	0.017382812	79.0	9.839985	24.594587	24.594587	2674.605370283127
16	-12.027462	14.855889	-1.0	-75.061676	256.0	0.0	256.0	256.0	-14.042275	6.9754124	-11.528619	-98.46939	435200	-2.3841857e-09	-2.3841857e-09	175.11719	-0.00074031117	-4.3382416	0.25083414	1.9738351	-4.4923694e-05	0.0041161333	0.0008203125	0.0178125	79.0	9.285454	21.312916	21.312916	2840.400543451309
17	-12.678183	15.320996	-1.0	-72.62861	256.0	0.0	256.0	256.0	-11.952566	6.6366744	-9.4456835	-80.50428	460800	3.5762786e-09	3.5762786e-09	188.8277	-0.00045443297	-0.97984314	0.24418123	1.9579022	0.000111935515	0.001388644	0.001171875	0.009804687	79.0	8.170518	20.8487	20.8487	3006.9095582962036
18	-10.136506	13.0845785	-1.0	-75.456604	256.0	0.0	256.0	256.0	-12.347956	6.278166	-10.203361	-93.31261	486400	-1.1920929e-09	-2.3841857e-09	142.25642	-0.0010804868	-5.3920746	0.20282651	1.989516	-6.722916e-05	0.005611345	0.0031640625	0.043710936	79.0	5.526062	15.662568	15.662568	3172.0612037181854
19	-14.346317	16.39983	-1.0	-76.92517	256.0	0.0	256.0	256.0	-11.192022	8.605346	-8.312716	-111.02592	512000	-1.1920929e-09	-1.1920929e-09	220.95973	-0.000946768	-12.0998535	0.26980928	1.9580057	0.00031058642	0.0045591663	0.0030078124	0.048476562	79.0	10.186048	24.532364	24.532364	3341.0737075805664
20	-11.176462	15.851601	-1.0	-83.39634	256.0	0.0	256.0	256.0	-13.906262	6.9684534	-11.397502	-86.2009	537600	-2.6822091e-09	-3.5762786e-09	195.92203	-0.0005694157	-8.951111	0.22153069	1.9650267	2.0924406e-05	0.0043432103	0.0019140625	0.023164062	79.0	12.4770975	23.653559	23.653559	3510.673008918762
21	-10.483917	12.812616	-1.0	-53.962852	256.0	0.0	256.0	256.0	-11.23399	7.9986463	-8.439904	-87.55154	563200	-4.172325e-09	-4.7683715e-09	135.55956	-0.0017941942	-5.413025	0.2243052	1.9547639	0.00047275043	0.0034824908	0.00875	0.019960938	79.0	12.328128	22.812044	22.812044	3674.066371202469
22	-9.398462	11.231158	-1.0	-62.129578	256.0	0.0	256.0	256.0	-10.2433	5.178987	-8.532759	-75.97088	588800	2.3841857e-09	2.9802323e-09	97.991165	-0.0019763433	-0.97068024	0.20287682	1.9312348	0.0001414705	0.003856346	0.0071875	0.009023437	79.0	11.192053	20.590515	20.590515	3836.3720273971558
23	-9.772033	11.105702	-1.0	-41.65584	256.0	0.0	256.0	256.0	-9.585502	5.556173	-7.5479035	-58.313026	614400	1.66893e-08	1.9073486e-08	97.6362	-0.001333884	-0.49338531	0.20680271	1.9029984	7.0168004e-05	0.005309342	0.0037890626	0.034023438	79.0	11.371626	21.14366	21.14366	4003.4488830566406
24	-7.855767	9.064487	-1.0	-44.887928	256.0	0.0	256.0	256.0	-9.351391	4.4916353	-7.7382493	-56.533043	640000	-5.3644182e-09	-5.2154063e-09	71.21427	-0.0009428476	-2.870613	0.16532269	1.9155395	1.5904094e-05	0.003390494	0.0017578125	0.017539062	79.0	10.062495	17.918262	17.918262	4168.716332197189
25	-5.7320957	6.2060447	-1.0	-42.165558	256.0	0.0	256.0	256.0	-7.4304705	2.3888948	-6.4842567	-35.646667	665600	-1.2218952e-08	-1.15484e-08	36.821373	-0.00039565354	-3.1721306	0.11965814	1.9210014	-0.00019602032	0.0057240147	0.000625	0.027304687	79.0	4.906648	10.638744	10.638744	4329.019134521484
26	-8.067401	8.957431	-1.0	-49.670704	256.0	0.0	256.0	256.0	-5.970877	2.8561997	-5.032711	-47.979324	691200	1.66893e-08	1.9073486e-08	73.50849	-0.0008025265	-4.7569656	0.15424155	1.8867706	-2.2490933e-05	0.0031551656	0.0009765625	0.016523438	79.0	12.120055	20.187456	20.187456	4500.842209815979
