Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpLen	StdEpLen	MaxEpLen	MinEpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossN	LossV	DeltaLossPi	DeltaLossV	EntropyJ	EntropyN	KLj	KLn	ClipFracJ	ClipFracN	StopIter	ShowRet	SJF	F1	Time
0	-61.09761	78.53604	-1.0111955	-459.928	256.0	0.0	256.0	256.0	0.0043715197	0.007613708	0.07224672	-0.064391114	25600	-9.536743e-09	-9.536743e-09	9901.175	-0.0006457996	-4169.2646	0.6640363	2.2391016	0.0006226312	0.0	0.0	0.0	79.0	-36.046402	25.051208	25.051208	170.31394839286804
1	-46.963123	59.968212	-1.0147328	-333.06308	256.0	0.0	256.0	256.0	-63.415417	5.4227552	-61.22619	-107.63588	51200	-1.1920929e-08	-1.1920929e-08	3577.7144	-0.00036148546	-851.6885	0.5504899	2.2559676	0.0005275838	0.0	3.90625e-05	0.0	79.0	-30.414644	16.54848	16.54848	339.89600920677185
2	-47.596825	74.23611	-1.7403635	-431.952	256.0	0.0	256.0	256.0	-47.07705	30.755497	-35.52117	-262.78226	76800	-7.152557e-09	-7.152557e-09	4053.752	-0.0008969969	-231.28345	0.5425566	2.260431	0.0013560412	0.0	0.013007812	0.0	79.0	-30.620739	16.976086	16.976086	513.0552616119385
3	-47.78542	63.949326	-1.2260901	-386.63544	256.0	0.0	256.0	256.0	-47.343063	37.317463	-32.955658	-391.29312	102400	-3.5762786e-09	-2.3841857e-09	3022.565	-0.0016302549	-244.83936	0.5644292	2.2485435	0.0005721176	0.0	0.015507813	0.0	79.0	-27.567738	20.21768	20.21768	683.6596035957336
4	-39.140438	46.407795	-1.031378	-216.07365	256.0	0.0	256.0	256.0	-45.12776	25.514807	-30.819996	-257.44586	128000	0.0	1.1920929e-09	1702.3623	-0.0015334046	-76.55823	0.5271279	2.265161	0.0014690753	0.0	0.011289063	0.0	79.0	-23.233557	15.906882	15.906882	854.0125770568848
5	-47.068314	53.453316	-2.0492592	-232.988	256.0	0.0	256.0	256.0	-41.11238	26.610447	-27.824448	-313.11026	153600	1.1324882e-08	1.3113022e-08	2092.653	-0.0018074518	-70.98242	0.64497864	2.251616	0.0015062476	0.0	0.015351563	0.0	79.0	-21.519997	25.548313	25.548313	1023.110494852066
6	-44.292362	42.418606	-1.0078125	-185.4934	256.0	0.0	256.0	256.0	-46.012535	24.9168	-35.372437	-233.15166	179200	-2.3841857e-09	-2.3841857e-09	1432.5272	-0.001208371	-34.33435	0.62868017	2.2508924	0.0007115662	0.0	0.0063671875	0.0	79.0	-17.114902	27.177462	27.177462	1191.1413507461548
7	-36.784225	41.788677	-1.0	-197.99313	256.0	0.0	256.0	256.0	-43.691647	19.340397	-35.722916	-203.16176	204800	0.0	0.0	1300.7817	-0.0011084223	-70.35742	0.5756955	2.2607632	0.000293295	0.0	0.00359375	0.0	79.0	-12.121254	24.662964	24.662964	1358.6599922180176
8	-41.574413	39.555813	-1.4787664	-170.0708	256.0	0.0	256.0	256.0	-37.74434	22.830147	-27.871132	-214.5765	230400	7.152557e-09	8.34465e-09	1235.3153	-0.0015705645	-38.55237	0.63472986	2.2477596	0.0010139507	0.0	0.011210937	0.0	79.0	-12.568921	29.005486	29.005486	1529.9231293201447
9	-30.662779	39.782436	-1.0000385	-211.98137	256.0	0.0	256.0	256.0	-39.54041	17.807344	-33.22974	-197.27866	256000	-7.152557e-09	-5.9604646e-09	1171.2178	-0.00056641694	-113.79346	0.49324006	2.258445	0.0003712336	0.0	0.0005859375	0.0	79.0	-6.4061155	24.256664	24.256664	1699.585212945938
