Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpLen	StdEpLen	MaxEpLen	MinEpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossN	LossV	DeltaLossPi	DeltaLossV	EntropyJ	EntropyN	KLj	KLn	ClipFracJ	ClipFracN	StopIter	ShowRet	SJF	F1	Time
0	-60.38625	78.309586	-1.335463	-450.81873	256.0	0.0	256.0	256.0	-0.57170737	0.12701626	0.0013213729	-0.7300198	25600	-2.6226044e-08	-2.3841858e-08	9718.284	-0.0006726265	-3836.4658	0.6517678	2.2325013	0.00029166657	0.002411631	0.0	0.009257812	79.0	-35.335045	25.051208	25.051208	133.1649489402771
1	-43.751793	62.008186	-1.4926296	-403.57352	256.0	0.0	256.0	256.0	-58.362274	2.3812604	-54.78795	-79.32787	51200	7.152557e-09	5.9604646e-09	3904.9539	-0.00035260918	-707.6255	0.55247384	2.2514222	0.00015714618	0.003702159	0.0001953125	0.0234375	79.0	-27.203314	16.54848	16.54848	265.7080397605896
2	-44.958736	61.800278	-1.033387	-324.09888	256.0	0.0	256.0	256.0	-43.990894	12.145841	-37.19837	-129.20963	76800	7.152557e-09	7.152557e-09	3229.1877	-0.00045087875	-356.6936	0.51586366	2.2437322	0.00021923601	0.0055388343	0.000546875	0.024648437	79.0	-27.98265	16.976086	16.976086	394.7534465789795
3	-43.396194	60.951145	-1.0	-355.7851	256.0	0.0	256.0	256.0	-44.750885	28.680014	-33.14614	-253.4087	102400	4.7683715e-09	4.7683715e-09	2910.2678	-0.0012585712	-44.51709	0.49328917	2.22018	0.00033651956	0.0047117244	0.0021484375	0.01375	79.0	-23.178518	20.21768	20.21768	520.9382891654968
4	-34.350452	52.525658	-1.0	-300.69193	256.0	0.0	256.0	256.0	-42.067883	25.202349	-33.58254	-298.026	128000	9.536743e-09	9.536743e-09	2078.152	-0.0008998966	-78.03674	0.43005767	2.211963	0.0011090747	0.0024147388	0.010585938	0.012617188	79.0	-18.443565	15.906882	15.906882	648.5561671257019
5	-44.226654	70.14573	-1.0970508	-479.6613	256.0	0.0	256.0	256.0	-35.712257	28.242958	-25.744295	-324.59702	153600	4.7683715e-09	5.9604646e-09	3809.837	-0.0014980579	-163.02295	0.53206956	2.1877155	0.0013497055	0.002982027	0.015429688	0.007265625	79.0	-18.678337	25.548313	25.548313	773.3686323165894
6	-36.79665	48.92213	-1.0	-211.07921	256.0	0.0	256.0	256.0	-43.435513	32.35391	-31.526817	-354.32266	179200	-3.5762786e-09	-4.7683715e-09	1955.371	-0.0015787064	-144.25757	0.4981548	2.157726	0.000576469	0.004017918	0.00484375	0.021171875	79.0	-9.61919	27.177462	27.177462	895.9389266967773
7	-27.07665	33.770294	-1.0	-189.67912	256.0	0.0	256.0	256.0	-34.44609	16.544542	-26.420828	-172.64478	204800	7.152557e-09	7.152557e-09	962.4419	-0.001232519	-61.552063	0.41891968	2.132268	0.0007707958	0.0020958295	0.011835937	0.005703125	79.0	-2.4136822	24.662964	24.662964	1029.2660429477692
8	-29.484272	32.23942	-1.0005695	-165.47385	256.0	0.0	256.0	256.0	-27.829103	16.395569	-20.317036	-211.25827	230400	-4.172325e-09	-3.5762786e-09	870.13336	-0.000798555	-17.570374	0.48013565	2.1141293	0.00052833004	0.0035215002	0.004140625	0.013359375	79.0	-0.47878304	29.005486	29.005486	1155.077913761139
9	-22.81903	35.598248	-1.0	-245.90462	256.0	0.0	256.0	256.0	-28.257545	11.849807	-23.224812	-185.46861	256000	-3.5762786e-09	-3.5762786e-09	1014.53357	-0.00095256453	-63.886597	0.3616407	2.1083283	0.00086598826	0.0064555495	0.006015625	0.031679686	79.0	1.4376357	24.256664	24.256664	1285.1007134914398
10	-18.604582	19.686508	-1.0	-85.38473	256.0	0.0	256.0	256.0	-21.759188	12.116037	-15.304854	-215.28171	281600	-1.1920929e-09	-5.9604643e-10	362.7245	-0.0008390898	-29.701904	0.32613438	2.0726688	0.00016927063	0.005876397	0.005234375	0.025546875	79.0	-1.3717239	17.232855	17.232855	1417.709263086319
11	-14.039548	18.340096	-1.0	-119.22052	256.0	0.0	256.0	256.0	-17.949434	5.4420896	-14.515396	-98.6693	307200	-2.3841857e-09	-3.5762786e-09	291.82983	-0.0006999063	-23.701233	0.2549158	2.0292327	0.00032171718	0.0017604722	0.0020703124	0.0070703123	79.0	2.906248	16.945797	16.945797	1548.60706782341
