Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpLen	StdEpLen	MaxEpLen	MinEpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	EntropyJ	EntropyN	KLj	KLn	ClipFracJ	ClipFracN	StopIter	ShowRet	SJF	F1	Time
0	-61.09761	78.53604	-1.0111955	-459.928	256.0	0.0	256.0	256.0	0.0043715197	0.007613708	0.07224672	-0.064391114	25600	-9.536743e-09	9901.175	-0.0040634684	-4169.2646	0.6640363	2.2391016	0.0014944796	0.0	0.0271875	0.0	79.0	-36.046402	25.051208	25.051208	166.63315105438232
1	-47.990395	67.40867	-1.0230497	-436.7423	256.0	0.0	256.0	256.0	-63.412754	5.463384	-61.22619	-106.33383	51200	-1.3113022e-08	4426.832	-0.0006642676	-1146.3157	0.5439247	2.2554357	4.433794e-05	0.0	0.0	0.0	79.0	-31.441914	16.54848	16.54848	333.506422996521
2	-50.491665	78.70172	-1.7403635	-531.5821	256.0	0.0	256.0	256.0	-48.48279	39.101753	-34.00168	-326.09018	76800	5.3644182e-09	4574.102	1.290381e-05	-199.20557	0.54497683	2.2565415	-1.1780055e-06	0.0	0.0	0.0	79.0	-33.515587	16.976086	16.976086	499.27662420272827
3	-51.932762	68.15329	-1.2277052	-390.68292	256.0	0.0	256.0	256.0	-50.089184	37.91184	-34.586758	-334.16223	102400	-3.5762786e-09	3720.4363	3.3700467e-06	-216.97241	0.5495272	2.2437217	-8.73215e-07	0.0	0.0	0.0	79.0	-31.71508	20.21768	20.21768	664.3485562801361
4	-41.286186	49.16774	-1.031378	-213.4229	256.0	0.0	256.0	256.0	-49.421886	24.650545	-34.717964	-285.05112	128000	2.3841857e-09	1986.8356	-7.4541567e-06	-107.84021	0.50971335	2.2543836	-1.20705e-06	0.0	0.0	0.0	79.0	-25.379301	15.906882	15.906882	829.3278172016144
5	-66.06826	88.30174	-2.0499234	-414.87637	256.0	0.0	256.0	256.0	-47.176704	36.56479	-32.129604	-353.45312	153600	-7.152557e-09	5834.418	-3.4809113e-06	-610.06836	0.6679764	2.24064	-1.2988551e-06	0.0	0.0	0.0	79.0	-40.519943	25.548313	25.548313	996.5121870040894
6	-59.882313	75.155136	-1.0015004	-375.29724	256.0	0.0	256.0	256.0	-63.810043	44.4124	-48.82333	-440.39395	179200	0.0	4012.9607	-1.0843277e-05	-64.26318	0.6331985	2.232295	3.6306876e-06	0.0	0.0	0.0	79.0	-32.70486	27.177462	27.177462	1160.4084639549255
7	-61.654453	79.528244	-1.0	-329.26105	256.0	0.0	256.0	256.0	-61.69562	45.492104	-46.9616	-450.94073	204800	7.152557e-09	4502.6465	-0.00027055026	-92.717285	0.62156606	2.253274	-3.7813305e-05	0.0	0.0	0.0	79.0	-36.991493	24.662964	24.662964	1326.8318705558777
8	-71.87515	86.83295	-1.477043	-486.24033	256.0	0.0	256.0	256.0	-63.84072	47.571518	-45.641445	-397.13065	230400	9.536743e-09	5354.6533	-3.6740303e-06	-154.62207	0.6868522	2.2338784	3.181711e-06	0.0	0.0	0.0	79.0	-42.869675	29.005486	29.005486	1485.2814569473267
9	-58.76312	104.20365	-1.0000385	-609.7393	256.0	0.0	256.0	256.0	-69.72233	49.843536	-50.5421	-572.4788	256000	-2.3841857e-09	6755.067	-8.391619e-05	-603.91064	0.5561134	2.2407408	6.0279803e-05	0.0	0.0	0.0	79.0	-34.506447	24.256664	24.256664	1650.7294142246246
10	-45.6311	50.6502	-1.249282	-230.56558	256.0	0.0	256.0	256.0	-51.469933	35.969555	-31.084553	-446.34552	281600	7.152557e-09	2195.354	-0.00070876954	-251.2301	0.5581802	2.240263	0.00036255963	0.0	0.0	0.0	79.0	-28.39824	17.232855	17.232855	1822.9440140724182
11	-42.136112	54.13776	-1.0	-303.62836	256.0	0.0	256.0	256.0	-45.24255	25.232431	-37.09528	-355.86255	307200	0.0	2133.9878	-5.121231e-06	-29.840332	0.5171435	2.260281	-5.661077e-06	0.0	0.0	0.0	79.0	-25.19032	16.945797	16.945797	1984.6422157287598
12	-69.83283	103.13512	-1.2052711	-543.6401	256.0	0.0	256.0	256.0	-52.278343	57.298927	-32.905037	-611.8645	332800	-2.3841857e-09	6973.1	-1.9127578e-05	-493.32178	0.6637398	2.2337987	-5.175334e-06	0.0	0.0	0.0	79.0	-43.59546	26.237377	26.237377	2148.873521566391
