Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpLen	StdEpLen	MaxEpLen	MinEpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	ShowRet	SJF	F1	Time
0	-7.1853514	30.294132	0.0	-139.16406	256.0	0.0	256.0	256.0	-0.4857505	0.03697479	-0.3724754	-0.62925196	5120	-2.6077032e-09	962.641	-0.00092047534	-56.34491	2.5040364	0.00088574534	0.0	79.0	-7.1853514	0.0	0.0	706.5895648002625
1	-2.009375	5.242617	0.0	-21.03125	256.0	0.0	256.0	256.0	-7.150817	2.1058526	0.062838584	-13.983914	10240	0.0	57.384132	-0.003171981	-31.337086	2.4789643	0.0031090886	0.022851562	79.0	-2.009375	0.0	0.0	1431.871089220047
2	-1.1814454	5.090964	0.0	-23.371094	256.0	0.0	256.0	256.0	-2.059597	1.1065049	-0.24933651	-6.775954	15360	1.5832484e-08	26.778961	-0.0034817266	-7.0069313	2.4827945	0.0058853934	0.04121094	79.0	-1.1814454	0.0	0.0	2154.7521257400513
3	-16.830273	63.467205	0.0	-290.90625	256.0	0.0	256.0	256.0	-1.2652729	2.0399516	6.4095693	-12.427812	20480	-2.6635826e-08	4264.55	-0.0016935198	-1900.7993	2.48768	0.005615729	0.0	79.0	-9.942187	6.888086	6.888086	2889.5919728279114
4	-10.159961	27.965185	0.0	-120.39453	256.0	0.0	256.0	256.0	-14.476816	29.85528	104.521935	-292.50732	25600	8.195639e-09	1600.331	-0.0036601864	-965.87146	2.4637341	0.004950658	0.021875	79.0	-10.159961	0.0	0.0	3594.9568758010864
5	-42.15918	102.228935	0.0	-388.13672	256.0	0.0	256.0	256.0	-11.368686	14.657534	25.299234	-235.30267	30720	3.1478702e-08	11036.774	-0.003114035	-2993.1885	2.47852	0.002553751	0.0064453124	79.0	-28.383007	13.776172	13.776172	4302.448225259781
6	-24.592579	73.696594	0.0	-326.26953	256.0	0.0	256.0	256.0	-42.98762	40.110825	84.832466	-446.3248	35840	2.9802323e-09	6185.78	-0.0033994596	-2404.871	2.4718742	0.00348071	0.026367188	79.0	-10.816406	13.776172	13.776172	5006.435215473175
7	-4.6904297	14.947474	0.0	-64.15625	256.0	0.0	256.0	256.0	-24.187231	28.51375	135.35838	-358.3837	40960	5.9604646e-09	1362.0116	-0.0036521452	-1150.673	2.4767597	0.0041329875	0.0041015623	79.0	-4.6904297	0.0	0.0	5733.815932512283
8	-44.608204	91.79674	0.0	-274.5664	256.0	0.0	256.0	256.0	-5.0097656	8.944005	75.87374	-139.2645	46080	-7.1711836e-09	9714.5205	-0.003575421	-2729.6626	2.4995108	0.008932896	0.053515624	79.0	-33.915627	10.692578	10.692578	6439.264861106873
9	-12.842188	47.89392	0.0	-220.23047	256.0	0.0	256.0	256.0	-41.99901	21.938837	25.003748	-362.14282	51200	-3.3527612e-09	3261.9346	-0.0018194634	-1222.9846	2.4587433	0.0017524622	0.00859375	79.0	-12.842188	0.0	0.0	7180.611684560776
10	-52.199608	118.074104	0.0	-431.79297	256.0	0.0	256.0	256.0	-14.483866	24.247084	41.566185	-312.31686	56320	1.8626451e-09	14449.318	-0.0031948325	-3169.248	2.4786072	0.0035250504	0.033984374	79.0	-41.286327	10.913281	10.913281	7888.417509317398
11	-9.332227	32.88162	0.0	-147.85547	256.0	0.0	256.0	256.0	-51.359566	29.244274	166.4534	-401.9139	61440	-1.0989607e-08	3432.6055	-0.004279889	-2453.292	2.482438	0.0046203034	0.023242187	79.0	-9.332227	0.0	0.0	8593.412814617157
12	-42.329296	112.085625	0.0	-436.21875	256.0	0.0	256.0	256.0	-9.404722	18.522999	27.821657	-249.29286	66560	1.5087426e-08	12669.909	-0.0022729686	-2307.6006	2.4762654	0.00305593	0.010546875	79.0	-35.44121	6.888086	6.888086	9299.99282860756
13	-1.8935547	4.2235785	0.0	-13.671875	256.0	0.0	256.0	256.0	-39.725437	20.585749	2.9639912	-527.3687	71680	5.9604646e-09	1855.5211	-0.0049821497	-1835.8069	2.466315	0.0069504557	0.029882813	79.0	-1.8935547	0.0	0.0	10001.968086004257
14	-13.282618	39.62118	0.0	-139.76172	256.0	0.0	256.0	256.0	-2.541653	4.6944585	13.126613	-110.06493	76800	-5.401671e-09	1638.7299	-0.007789661	-137.41052	2.4560256	0.005842916	0.11992188	79.0	-13.282618	0.0	0.0	10702.914208173752
15	-8.886523	27.819338	0.0	-126.08203	256.0	0.0	256.0	256.0	-12.6711	5.314339	-3.8823824	-150.72557	81920	-1.1175871e-09	753.68744	-0.0067680757	-47.999268	2.4123595	0.006993401	0.07675781	79.0	0.19902344	9.0855465	9.0855465	11403.097604036331
16	-22.545313	62.4812	0.0	-275.01953	256.0	0.0	256.0	256.0	-9.665514	15.200447	-1.8153296	-219.56883	87040	1.3038516e-09	3746.1797	-0.004186815	-338.00342	2.3868403	0.007490984	0.07695313	79.0	-15.657227	6.888086	6.888086	12105.96130824089
17	-5.279297	23.007442	0.0	-105.56641	256.0	0.0	256.0	256.0	-21.65038	11.723995	-0.2868453	-293.6251	92160	-5.029142e-09	805.38214	-0.006864298	-331.29514	2.4388587	0.0020214957	0.018359374	79.0	-5.279297	0.0	0.0	12812.882718801498
18	-7.7296877	33.692924	0.0	-154.59375	256.0	0.0	256.0	256.0	-5.2632246	7.9069805	37.110916	-191.57219	97280	6.100163e-09	1077.3749	-0.005169175	-35.74182	2.4442964	0.006309543	0.11972656	79.0	-7.7296877	0.0	0.0	13513.884239673615
19	-8.763476	26.78894	0.0	-121.515625	256.0	0.0	256.0	256.0	-7.874545	12.587722	0.23255044	-249.7625	102400	-3.9115546e-09	711.0905	-0.005678003	-57.094116	2.440888	0.0012062894	0.06386719	79.0	-8.763476	0.0	0.0	14215.374255180359
20	-15.388867	41.564266	0.0	-184.02734	256.0	0.0	256.0	256.0	-8.790354	7.7094293	1.4995835	-116.358154	107520	-2.514571e-09	1700.0127	-0.0042701084	-160.08777	2.4461303	0.008782621	0.046875	79.0	-15.388867	0.0	0.0	14916.643244504929
21	-28.463282	95.0247	0.0	-437.0664	256.0	0.0	256.0	256.0	-16.211304	15.164859	-2.1755567	-235.72118	112640	1.44355e-08	8591.148	-0.0041685808	-1068.9038	2.455511	0.0094768265	0.09375	79.0	-18.710352	9.75293	9.75293	15619.573761224747
22	-9.755664	29.442287	0.0	-117.88672	256.0	0.0	256.0	256.0	-27.87057	18.7822	47.193012	-422.72684	117760	-1.1175871e-08	1357.555	-0.006479448	-549.43475	2.4082355	0.007637595	0.0515625	79.0	-9.755664	0.0	0.0	16321.114678621292
23	-13.100586	30.929392	0.0	-111.75781	256.0	0.0	256.0	256.0	-9.393822	9.569989	19.64812	-227.15343	122880	1.21071935e-08	957.3805	-0.0050632036	-79.88208	2.4391932	0.0042994427	0.04140625	79.0	-12.546289	0.55429685	0.55429685	17023.58278822899
24	-0.016992187	0.07406723	0.0	-0.33984375	256.0	0.0	256.0	256.0	-12.246517	3.7722003	-3.879644	-49.417553	128000	-1.322478e-08	163.7795	-0.0055487016	-163.0015	2.4314237	0.008634413	0.02734375	79.0	-0.016992187	0.0	0.0	17723.3306953907
25	-7.915625	27.409435	0.0	-125.13672	256.0	0.0	256.0	256.0	-0.49515873	1.4407194	30.545052	-37.80601	133120	-1.2479722e-08	803.3763	-0.0061977627	-83.06732	2.4348385	0.008486679	0.08828125	79.0	-7.915625	0.0	0.0	18427.16089105606
26	-24.422266	104.75364	0.0	-480.9961	256.0	0.0	256.0	256.0	-7.0755053	15.594496	-0.33440912	-261.47168	138240	6.891787e-09	10419.748	-0.004749668	-1284.1309	2.437936	0.0068803327	0.11972656	79.0	-24.422266	0.0	0.0	19132.203786611557
27	-10.819531	28.176193	0.0	-113.48047	256.0	0.0	256.0	256.0	-24.454216	26.412222	128.93709	-461.03992	143360	-1.2293458e-08	1398.0024	-0.005541807	-650.8534	2.3932238	0.0074792965	0.045898438	79.0	-10.819531	0.0	0.0	19831.73974299431
28	-5.7583985	14.711951	0.0	-48.82422	256.0	0.0	256.0	256.0	-10.316878	7.040879	1.4533113	-184.08392	148480	1.8626451e-08	260.74405	-0.0054744333	-49.155228	2.4289258	0.006038458	0.047070313	79.0	-5.7583985	0.0	0.0	20531.97096014023
29	-0.5697266	2.4833803	0.0	-11.394531	256.0	0.0	256.0	256.0	-5.547577	1.5472746	30.693201	-18.863712	153600	-1.1920929e-08	33.335663	-0.0037077218	-26.275469	2.4192157	0.0031582378	0.021875	79.0	-0.5697266	0.0	0.0	21253.092116117477
30	-35.700783	103.68693	0.0	-441.97656	256.0	0.0	256.0	256.0	-2.0647128	11.59574	11.26452	-170.75038	158720	-2.0489097e-08	11300.644	-0.0056487042	-2349.6592	2.464457	0.0048731035	0.059570312	79.0	-23.680664	12.020117	12.020117	21954.565322637558
31	-5.6667967	24.700994	0.0	-113.33594	256.0	0.0	256.0	256.0	-33.268646	14.567532	2.771479	-246.98096	163840	-8.195639e-09	1490.8875	-0.004219766	-940.7569	2.440422	0.0092418045	0.04375	79.0	-5.6667967	0.0	0.0	22654.366537570953
32	-0.296875	1.2183299	0.0	-5.5976562	256.0	0.0	256.0	256.0	-3.2524018	2.4673991	1.745822	-97.35578	168960	-2.9802323e-09	15.828267	-0.005945595	-11.839029	2.4063728	0.0030516717	0.057617188	79.0	-0.296875	0.0	0.0	23356.68039560318
33	-11.700781	50.634525	0.0	-232.40625	256.0	0.0	256.0	256.0	-2.1530585	9.890789	9.774237	-193.53122	174080	1.0430813e-08	2455.3809	-0.0039616805	-200.33008	2.390951	0.006084744	0.052734375	79.0	-4.8126955	6.888086	6.888086	24057.12323617935
