Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpLen	StdEpLen	MaxEpLen	MinEpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	ShowRet	SJF	F1	Time
0	-1.1946459	0.8341581	-1.0	-4.8301697	256.0	0.0	256.0	256.0	-0.4857505	0.03697479	-0.3724754	-0.62925196	5120	-3.3527612e-09	1.2002928	-0.0011710655	-0.503215	2.5040364	0.00051445735	0.0	79.0	-0.19464585	1.0	1.0	706.5161306858063
1	-1.1726233	0.752415	-1.0	-4.4523244	256.0	0.0	256.0	256.0	-1.1828905	0.010310322	-1.137809	-1.2192793	10240	1.3271346e-09	0.56764716	-0.0035516142	-0.0023677945	2.482469	0.0018377935	0.0037109375	79.0	-0.17262332	1.0	1.0	1446.9131145477295
2	-1.2589018	0.783798	-1.0	-3.9216995	256.0	0.0	256.0	256.0	-1.2029165	0.016473647	-1.1617769	-1.2610883	15360	-1.7601996e-08	0.61718786	-0.004285487	-0.008482337	2.49167	0.0067746253	0.03671875	79.0	-0.2589019	1.0	1.0	2207.7903327941895
3	-1.320372	1.35072	-1.0	-7.204888	256.0	0.0	256.0	256.0	-1.2612526	0.039523266	-1.1630924	-1.3984382	20480	-9.033829e-09	1.8198786	-0.0013343557	-0.04652655	2.4823194	0.0017748236	0.0029296875	79.0	-0.054328065	1.2660439	1.2660439	2939.633493423462
4	-1.1681354	0.7328854	-1.0	-4.362709	256.0	0.0	256.0	256.0	-1.3187361	0.17600682	-1.0153763	-2.121307	25600	-1.9371509e-08	0.54822695	-0.004566081	-0.040941417	2.4862995	0.004526582	0.021289062	79.0	-0.16813545	1.0	1.0	3673.2553083896637
5	-2.1509516	2.9903271	-1.0	-14.014617	256.0	0.0	256.0	256.0	-1.1752123	0.12553567	-0.9792999	-1.8417768	30720	-1.9557773e-09	9.814891	-0.005421267	-1.6947765	2.4743366	0.009693118	0.13261719	79.0	-0.6188637	1.5320879	1.5320879	4368.385895729065
6	-2.3953938	3.6518552	-1.0	-15.122383	256.0	0.0	256.0	256.0	-2.1866534	1.1459261	-0.81074476	-15.048293	35840	1.45286325e-08	12.180253	-0.0055998047	-0.5608702	2.4947515	0.007339014	0.07011719	79.0	-0.86330587	1.5320879	1.5320879	5052.119167804718
7	-1.0982177	0.29522777	-1.0	-2.2619824	256.0	0.0	256.0	256.0	-2.2452273	0.56127906	-0.73015517	-6.104545	40960	1.974404e-08	1.7078037	-0.0050403373	-1.6217371	2.46687	0.008470428	0.04042969	79.0	-0.09821771	1.0	1.0	5745.020178079605
8	-1.7084204	1.8697438	-1.0	-9.262795	256.0	0.0	256.0	256.0	-1.1292369	0.25335	-1.0276467	-6.209014	46080	-1.3038516e-09	3.6563137	-0.0034657952	-0.4827156	2.4544897	0.0066191815	0.03671875	79.0	-0.2790028	1.4294175	1.4294175	6510.081104278564
9	-1.8657923	2.601529	-1.0	-10.275324	256.0	0.0	256.0	256.0	-1.7132638	0.68524307	-1.1456013	-12.5302515	51200	5.4948033e-09	6.058938	-0.0044682743	-0.18476295	2.4571412	0.0038975887	0.047851562	79.0	-0.86579245	1.0	1.0	7200.736064910889
10	-1.6863041	1.9389035	-1.0	-9.428114	256.0	0.0	256.0	256.0	-1.8260794	0.6564856	-1.1454062	-10.080319	56320	-3.4924597e-09	3.4987557	-0.0048195757	-0.08731055	2.3950984	0.005602035	0.042773437	79.0	-0.21970916	1.4665949	1.4665949	7898.342783689499
