Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpLen	StdEpLen	MaxEpLen	MinEpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	ShowRet	SJF	F1	Time
0	-1.1259212	1.5868646	-0.7354711	-8.042491	256.0	0.0	256.0	256.0	-0.4857505	0.03697479	-0.3724754	-0.62925196	5120	1.6577541e-08	2.9304314	-0.0009708006	-0.410151	2.5040364	0.00057680305	0.0	79.0	-0.16299579	0.96292555	0.96292555	708.8359460830688
1	-0.93252265	0.48566708	-0.7346868	-2.4833577	256.0	0.0	256.0	256.0	-1.1461433	0.00826729	-1.1182855	-1.1792547	10240	-2.0675362e-08	0.281902	-0.004332193	-0.046615794	2.4820814	0.0052581513	0.047265626	79.0	0.034891613	0.9674144	0.9674144	1406.0813236236572
2	-0.98230636	0.668479	-0.7430842	-3.0300748	256.0	0.0	256.0	256.0	-0.9311348	0.008150935	-0.9064829	-0.9686967	15360	-5.075708e-09	0.44910446	-0.0038647298	-0.014118254	2.4843729	0.0066215643	0.054492187	79.0	-0.011676958	0.9706295	0.9706295	2106.4467480182648
3	-1.6775491	3.852782	-0.7271106	-18.46276	256.0	0.0	256.0	256.0	-1.0110414	0.066115744	-0.8773261	-1.2564939	20480	1.4714897e-08	15.247403	-0.0028290702	-2.7868986	2.4832263	0.0066858293	0.0625	79.0	-0.29465038	1.3828987	1.3828987	2807.0670721530914
4	-1.7619044	2.7709365	-0.74439025	-10.412237	256.0	0.0	256.0	256.0	-1.7497219	1.7982484	0.2205498	-20.983387	25600	-3.7252904e-10	8.12105	-0.0032796804	-2.1485066	2.4693866	0.004566501	0.03691406	79.0	-0.7971341	0.96477014	0.96477014	3504.683469772339
5	-2.0861478	3.0650275	-0.74799603	-12.267374	256.0	0.0	256.0	256.0	-1.7624538	1.036977	1.221606	-12.067692	30720	4.2840838e-09	9.353815	-0.0029389476	-1.2655029	2.4608245	0.0053777536	0.03984375	79.0	-0.29530552	1.7908423	1.7908423	4211.069699048996
6	-3.0140846	6.06661	-0.7465847	-27.375399	256.0	0.0	256.0	256.0	-2.1865156	1.3248069	1.4302051	-17.803802	35840	-1.3969839e-09	35.116165	-0.00298006	-8.094883	2.4816544	0.0054979175	0.014453125	79.0	-1.2222335	1.791851	1.791851	4912.078677177429
7	-0.99916077	0.96111786	-0.76280826	-5.1883144	256.0	0.0	256.0	256.0	-2.9349658	2.119587	5.2965117	-20.315805	40960	-8.195639e-09	8.968175	-0.002978618	-8.03665	2.4640927	0.0040217126	0.00078125	79.0	-0.03434712	0.9648136	0.9648136	5655.804757118225
8	-1.9353297	2.63589	-0.7632165	-11.223038	256.0	0.0	256.0	256.0	-0.98235416	0.04767725	-0.7244586	-1.1092055	46080	-1.4994294e-08	7.895566	-0.0035768673	-0.94863605	2.449344	0.0070863524	0.029882813	79.0	-0.2874752	1.6478546	1.6478546	6355.7636477947235
9	-1.681935	2.7668028	-0.73926914	-10.748237	256.0	0.0	256.0	256.0	-1.9294018	0.052280735	-1.7104323	-2.1073692	51200	5.401671e-09	7.741535	-0.0015347176	-0.16097498	2.4966483	0.0014533468	0.0001953125	79.0	-0.7136303	0.96830446	0.96830446	7054.77529835701
10	-1.9431502	3.8378384	-0.75256217	-17.459166	256.0	0.0	256.0	256.0	-1.6696812	0.07469775	-1.473889	-2.3618367	56320	-3.1432137e-09	14.727145	-0.0024708742	-1.1088228	2.4705482	0.0027060534	0.0	79.0	-0.23640195	1.7067482	1.7067482	7795.801028728485
11	-0.87658787	0.36771616	-0.73739815	-2.3574555	256.0	0.0	256.0	256.0	-1.8942559	0.34972516	-0.8858111	-8.670594	61440	-3.576279e-08	1.2644738	-0.0016895371	-1.128884	2.4938908	0.0014522086	0.0	79.0	0.09122872	0.9678165	0.9678165	8495.86033129692
12	-2.3936412	4.008349	-0.7503622	-14.475438	256.0	0.0	256.0	256.0	-0.9280389	0.41803902	-0.6225116	-7.3751802	66560	3.7252903e-09	17.442532	-0.0029060915	-3.1400776	2.488903	0.0042763925	0.009179687	79.0	-1.0146668	1.3789743	1.3789743	9194.310470342636
13	-1.706968	3.3250496	-0.7406845	-15.9881935	256.0	0.0	256.0	256.0	-2.3118205	0.97614753	-1.5013168	-14.992185	71680	-4.377216e-09	10.524519	-0.0024309028	-0.69623756	2.499002	0.0051717535	0.027148437	79.0	-0.7427708	0.96419734	0.96419734	9906.443130970001
14	-0.9039893	0.52188617	-0.7483496	-3.1695337	256.0	0.0	256.0	256.0	-1.6294539	0.24190007	-1.0956504	-8.628317	76800	7.0780515e-09	0.8214035	-0.002913728	-0.55175126	2.470242	0.0075651454	0.031445313	79.0	0.065320306	0.96930945	0.96930945	10608.284967422485
15	-1.8955152	3.3088021	-0.75778705	-14.968122	256.0	0.0	256.0	256.0	-0.9464308	0.5982694	-0.60388064	-12.164811	81920	-4.656613e-10	11.178801	-0.0019068785	-1.1400738	2.4797275	0.0045908988	0.009375	79.0	-0.34941876	1.5460966	1.5460966	11305.113931894302
16	-1.4394075	2.3005419	-0.7531445	-11.185291	256.0	0.0	256.0	256.0	-1.8979477	0.9683415	-1.3698913	-16.00364	87040	-1.0244549e-09	5.267193	-0.0041352008	-0.40766144	2.476871	0.010370548	0.0453125	79.0	-0.05819887	1.3812085	1.3812085	12003.991752386093
17	-1.3300045	1.6959543	-0.76502335	-8.370462	256.0	0.0	256.0	256.0	-1.3911395	0.15457843	-1.0303853	-4.163921	92160	2.7380883e-08	2.8264728	-0.0038250908	-0.093972206	2.4995017	0.0042961612	0.03828125	79.0	-0.3610814	0.9689231	0.9689231	12699.15911602974
18	-1.2023599	1.8563715	-0.7570582	-9.293855	256.0	0.0	256.0	256.0	-1.3167732	0.41641197	-0.98629993	-10.727767	97280	-2.4214386e-09	3.263794	-0.002415929	-0.05702591	2.512193	0.0032183311	0.011132812	79.0	-0.2323461	0.97001374	0.97001374	13399.250542879105
19	-0.9225022	0.41441238	-0.76263416	-2.1913702	256.0	0.0	256.0	256.0	-1.190141	0.33864987	-0.89000493	-8.883728	102400	3.5390257e-09	0.3132503	-0.0022871108	-0.14110205	2.4714837	0.004410683	0.01640625	79.0	0.04567165	0.9681738	0.9681738	14095.199203252792
20	-0.9146708	0.5875147	-0.7501055	-3.4738402	256.0	0.0	256.0	256.0	-0.91967696	0.10710998	-0.7033528	-3.6707096	107520	-1.3038516e-09	0.33785865	-0.0025906116	-0.003775537	2.489754	0.005518851	0.045898438	79.0	0.051249646	0.96592057	0.96592057	14796.45926809311
21	-1.8189399	2.7059834	-0.74033487	-9.955006	256.0	0.0	256.0	256.0	-0.92854613	0.2996628	-0.7251838	-6.468984	112640	7.823109e-09	7.859235	-0.0044194027	-1.0936265	2.4899764	0.006372406	0.050976563	79.0	-0.18675914	1.6321808	1.6321808	15492.04237818718
22	-0.76481086	0.0195174	-0.7377409	-0.83185637	256.0	0.0	256.0	256.0	-1.794274	0.33405176	-1.2573646	-6.9096746	117760	-1.7695129e-08	1.1708298	-0.000966195	-1.1684648	2.4670696	0.002919094	0.0	79.0	0.2035996	0.9684104	0.9684104	16187.248638629913
23	-0.7554134	0.015315831	-0.7253884	-0.78446686	256.0	0.0	256.0	256.0	-0.7607311	0.04435498	-0.6443693	-1.052288	122880	-1.8626451e-09	0.0021387846	-0.0025040545	-0.0003519022	2.4729996	0.0042073876	0.001171875	79.0	0.21095479	0.9663682	0.9663682	16919.919368743896
24	-0.74754274	0.013015903	-0.72193825	-0.76732093	256.0	0.0	256.0	256.0	-0.75021124	0.03936683	-0.64139783	-1.2754966	128000	1.0989607e-08	0.0017198764	-0.0016875501	-0.00022730301	2.4685993	0.0024731886	0.0056640627	79.0	0.2253801	0.9729228	0.9729228	17615.867022275925
25	-0.81713516	0.2358822	-0.7246108	-1.7901942	256.0	0.0	256.0	256.0	-0.7477835	0.042341676	-0.6496567	-1.3983195	133120	3.5017727e-08	0.05894947	-0.002608728	-0.0048346035	2.4624648	0.0027200542	0.01953125	79.0	0.15433452	0.9714696	0.9714696	18313.1793115139
26	-1.5730888	3.6024873	-0.71808577	-17.275833	256.0	0.0	256.0	256.0	-0.83035994	0.15386434	-0.691887	-5.134398	138240	-1.6530976e-08	13.255562	-0.0045058895	-1.8216124	2.4499474	0.007523329	0.11210938	79.0	-0.60502756	0.968061	0.968061	19030.892444849014
27	-0.73655593	0.010144861	-0.7203253	-0.7599448	256.0	0.0	256.0	256.0	-1.4767387	0.22165336	-1.1831713	-10.553936	143360	1.6763806e-08	0.59683853	-0.0043643685	-0.5842022	2.3795674	0.0075447233	0.046875	79.0	0.22755119	0.9641072	0.9641072	19752.340813159943
28	-0.72939575	0.024241244	-0.6909642	-0.8172354	256.0	0.0	256.0	256.0	-0.72704434	0.085905194	-0.52053845	-5.678946	148480	5.5879354e-09	0.007926419	-0.0033733672	-0.002411245	2.3806973	0.0078141745	0.047265626	79.0	0.2382824	0.96767807	0.96767807	20451.63755965233
29	-0.73642147	0.012750864	-0.7085037	-0.7577985	256.0	0.0	256.0	256.0	-0.73031455	0.045132503	-0.58094645	-0.90417576	153600	1.7136335e-08	0.0021072575	-0.0032801733	-0.00036881794	2.375211	0.006184452	0.024023438	79.0	0.2299386	0.9663601	0.9663601	21161.584386587143
