Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpLen	StdEpLen	MaxEpLen	MinEpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	EntropyJ	EntropyN	KLj	KLn	ClipFracJ	ClipFracN	StopIter	ShowRet	SJF	F1	Time
0	-46.477867	91.52518	-2.647374	-432.76147	256.0	0.0	256.0	256.0	-0.44642812	0.08244873	-0.3481902	-1.0530812	5120	0.12251246	1998.0088	-0.0037926883	-602.2178	0.46991578	2.2512348	0.00033251866	0.0071591153	0.0	0.055859376	79.0	-26.35293	20.124943	20.124943	27.857187271118164
1	-38.164238	32.00851	-2.4877346	-94.83903	256.0	0.0	256.0	256.0	-17.30591	10.064631	-11.457211	-70.536446	10240	0.21755405	347.52768	-0.0017325878	-68.02637	0.57366073	2.2611463	0.00048319637	0.0011211724	0.0048828125	0.0	79.0	-26.663418	11.500816	11.500816	54.792128801345825
2	-44.554474	51.79283	-2.9119205	-203.89233	256.0	0.0	256.0	256.0	-13.844139	3.900154	-11.652151	-51.749138	15360	0.15827377	540.9314	-0.008137673	-160.83554	0.5847965	2.2581685	0.00877465	0.0073894984	0.08691406	0.068164065	79.0	-31.339832	13.214633	13.214633	80.26981115341187
3	-46.14835	55.25657	-1.8497378	-210.60727	256.0	0.0	256.0	256.0	-16.327866	16.488977	-7.5293026	-106.23803	20480	0.19448821	735.8821	-0.0028271228	-93.923584	0.6008682	2.25524	0.0036132894	0.0012971148	0.062109374	0.003515625	79.0	-20.865046	25.283304	25.283304	106.74121594429016
4	-25.082333	17.110758	-1.0	-62.452595	256.0	0.0	256.0	256.0	-15.053179	4.405586	-10.8444805	-35.37203	25600	0.22051945	126.87699	-0.00238429	-40.173317	0.44138294	2.2808468	0.0016599916	0.00069375144	0.029101562	0.0	79.0	-11.902975	13.179358	13.179358	133.8358325958252
5	-33.625397	24.872564	-5.0602837	-86.30512	256.0	0.0	256.0	256.0	-9.7751465	4.6116185	-7.3845253	-35.230576	30720	0.20726614	180.75845	-0.010419235	-13.275665	0.5445312	2.2683647	0.01617372	0.0018750448	0.08320312	0.0001953125	29.0	-17.077843	16.547554	16.547554	153.53971219062805
6	-43.659798	51.230385	-4.0890045	-187.82256	256.0	0.0	256.0	256.0	-12.37454	4.930615	-8.115619	-41.890503	35840	0.1624822	555.72253	-0.0034555048	-56.190063	0.61134213	2.2398658	-0.00050136924	0.0043285387	0.0	0.0359375	79.0	-22.187199	21.472593	21.472593	179.73105239868164
7	-64.10569	63.062176	-1.0963207	-209.0537	256.0	0.0	256.0	256.0	-17.005129	11.243248	-8.424804	-77.23552	40960	0.1892271	959.12244	-0.0032867193	-102.59393	0.7728124	2.2330165	0.0002444588	0.012331883	0.0	0.19101563	79.0	-32.39025	31.715435	31.715435	206.41754126548767
8	-47.074898	54.73175	-1.5678284	-254.11363	256.0	0.0	256.0	256.0	-21.404367	8.261149	-9.225764	-97.60795	46080	0.15809104	589.4442	-0.008517623	-61.031677	0.5868496	2.1890855	0.013285235	0.022413356	0.06757812	0.3269531	79.0	-31.047424	16.027483	16.027483	231.7936773300171
9	-55.312813	44.653606	-2.5969617	-146.54877	256.0	0.0	256.0	256.0	-17.60083	13.098356	-3.5664365	-95.27173	51200	0.20078528	468.8493	-0.007934436	-27.319122	0.73483026	2.1928294	0.01667636	0.028940376	0.099609375	0.4970703	28.0	-30.93682	24.375988	24.375988	251.31718850135803
