Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpLen	StdEpLen	MaxEpLen	MinEpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	EntropyJ	EntropyN	KLj	KLn	ClipFracJ	ClipFracN	StopIter	ShowRet	SJF	F1	Time
0	-46.477867	91.52518	-2.647374	-432.76147	256.0	0.0	256.0	256.0	-0.44642812	0.08244873	-0.3481902	-1.0530812	5120	-2.4214386e-09	1998.0088	-0.0017394781	-602.2178	0.46991578	2.2512348	0.00032081417	0.0046035894	0.0	0.0328125	79.0	-26.35293	20.124943	20.124943	28.265421390533447
1	-33.013786	28.701899	-3.9503157	-89.829994	256.0	0.0	256.0	256.0	-16.880627	9.573041	-11.457211	-70.54615	10240	-1.12690035e-08	288.69296	-0.0017241106	-70.72783	0.5337519	2.2607567	-7.7659496e-07	0.0014654772	0.00625	0.0	79.0	-21.512966	11.500816	11.500816	54.235129833221436
2	-33.53681	39.947834	-2.6179643	-168.05443	256.0	0.0	256.0	256.0	-11.7519	3.2235336	-9.995235	-43.697933	15360	-9.685754e-09	314.19638	-0.0028801402	-74.03534	0.47801155	2.2650318	0.0029308659	0.0021476818	0.03652344	0.011328125	79.0	-20.322178	13.214633	13.214633	79.17579889297485
3	-78.37402	120.91299	-2.3053563	-473.6344	256.0	0.0	256.0	256.0	-16.368027	19.928818	-7.1688027	-126.79306	20480	5.7742e-09	3005.4102	-0.0033293269	-292.19165	0.72786176	2.243507	-0.0011747727	0.01641596	0.0001953125	0.16816406	79.0	-53.090717	25.283304	25.283304	104.01626777648926
4	-36.42359	27.748352	-1.011321	-93.50002	256.0	0.0	256.0	256.0	-24.008875	6.914074	-19.491112	-85.23207	25600	-7.636845e-09	328.54486	-0.0031711713	-125.24185	0.54807806	2.2264633	0.0034836687	0.018966805	0.072265625	0.29375	79.0	-23.244234	13.179358	13.179358	129.37432527542114
5	-47.373066	35.999214	-1.3223351	-134.34972	256.0	0.0	256.0	256.0	-14.081761	6.9599943	-9.903374	-63.715984	30720	-3.3527612e-09	365.88312	-0.0035822988	-14.684204	0.619301	2.268189	0.0036293536	0.005390662	0.09003906	0.0875	79.0	-30.82552	16.547554	16.547554	155.11182570457458
6	-38.924797	35.3725	-4.200823	-139.85606	256.0	0.0	256.0	256.0	-16.569271	5.2554884	-12.669098	-56.15848	35840	3.7252903e-09	306.71173	-0.0021749074	-11.894531	0.5990798	2.248096	8.137454e-05	0.0080611585	0.0033203126	0.13046876	79.0	-17.452204	21.472593	21.472593	180.9475119113922
7	-57.328777	42.74929	-1.0965579	-165.78592	256.0	0.0	256.0	256.0	-15.117282	7.401676	-9.314964	-62.18041	40960	-1.8626452e-10	563.48645	-0.002899018	-44.59546	0.7861022	2.2660394	-0.00043055494	9.433562e-05	0.020703126	0.0015625	79.0	-25.613342	31.715435	31.715435	206.2466847896576
8	-37.248085	34.67625	-6.6126833	-124.16934	256.0	0.0	256.0	256.0	-19.616596	3.863866	-15.010506	-43.232243	46080	1.8626451e-08	344.58408	-0.0026711668	-42.338165	0.55014956	2.2361577	-0.00018218532	0.007604003	0.03359375	0.1171875	79.0	-21.220608	16.027483	16.027483	231.05752658843994
9	-32.32161	31.27772	-2.3891907	-101.77605	256.0	0.0	256.0	256.0	-13.324033	3.659007	-9.771204	-33.353554	51200	8.0093745e-09	210.24199	-0.0035459262	-24.83339	0.5001953	2.229695	0.0032096214	0.006464894	0.046875	0.07324219	79.0	-7.9456215	24.375988	24.375988	256.84509801864624
