Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpLen	StdEpLen	MaxEpLen	MinEpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossN	LossV	DeltaLossPi	DeltaLossV	EntropyJ	EntropyN	KLj	KLn	ClipFracJ	ClipFracN	StopIter	ShowRet	SJF	F1	Time
0	-46.477867	91.52518	-2.647374	-432.76147	256.0	0.0	256.0	256.0	-0.44642812	0.08244873	-0.3481902	-1.0530812	5120	-2.7939677e-09	-2.7939677e-09	1998.0088	-0.0004092669	-602.2178	0.46991578	2.2512348	0.0003453007	0.003299965	0.0	0.023046875	79.0	-26.35293	20.124943	20.124943	28.22950506210327
1	-33.013462	29.453379	-3.9494162	-89.86979	256.0	0.0	256.0	256.0	-16.877962	9.682723	-11.457211	-70.5818	10240	-2.6077032e-09	-3.7252903e-09	293.9336	-0.0015554772	-69.32854	0.52816933	2.26207	2.2421917e-05	0.001417093	0.01171875	0.0001953125	79.0	-21.512644	11.500816	11.500816	53.977720975875854
2	-32.727516	42.836277	-2.6179643	-183.29439	256.0	0.0	256.0	256.0	-11.717481	3.4794273	-9.656811	-43.785618	15360	-1.45286325e-08	-1.3783574e-08	344.25317	-0.0023614727	-88.36125	0.45555967	2.264554	0.0015931927	0.0017884432	0.00859375	0.013476563	79.0	-19.51288	13.214633	13.214633	79.86711835861206
3	-41.28201	52.593575	-2.272544	-244.33568	256.0	0.0	256.0	256.0	-13.370691	13.71813	-6.8635607	-102.77951	20480	2.2351743e-09	5.2154063e-09	622.78674	-0.0021887678	-61.898193	0.62457854	2.240658	0.00046192427	0.0029411227	0.03339844	0.013476563	79.0	-15.998701	25.283304	25.283304	105.90625286102295
4	-27.046167	20.70537	-1.011321	-78.410286	256.0	0.0	256.0	256.0	-13.477232	3.978839	-11.123634	-63.740738	25600	-4.2840838e-09	-7.2643163e-09	130.89896	-0.0014926336	-15.751816	0.46648797	2.2642555	0.00093253434	0.002375525	0.01171875	0.0	79.0	-13.866808	13.179358	13.179358	132.3497612476349
5	-43.76231	42.71645	-4.120149	-167.1259	256.0	0.0	256.0	256.0	-11.166153	7.6089845	-7.7499385	-67.654755	30720	0.0	0.0	468.81436	-0.0019819688	-37.824432	0.57507575	2.2672734	-0.00013265111	0.0015072278	0.005078125	0.012109375	79.0	-27.214758	16.547554	16.547554	158.98571920394897
6	-35.23828	32.542957	-2.4388812	-118.74508	256.0	0.0	256.0	256.0	-15.498706	4.641647	-11.681939	-42.18666	35840	7.450581e-09	7.0780515e-09	256.80414	-0.0015684754	-15.182846	0.58344513	2.2497897	-0.00050977	0.0027910955	0.021484375	0.002734375	79.0	-13.765684	21.472593	21.472593	185.27726221084595
7	-57.055412	43.478004	-1.0965579	-149.13365	256.0	0.0	256.0	256.0	-14.055219	7.191137	-8.494553	-56.332233	40960	-1.8253923e-08	-1.7136335e-08	582.2559	-0.0028215123	-61.23639	0.81871367	2.2466612	0.00028084294	0.0004907307	0.02421875	0.0	79.0	-25.339985	31.715435	31.715435	210.6228904724121
8	-43.516407	37.485477	-3.8146672	-134.00865	256.0	0.0	256.0	256.0	-19.744175	3.9175825	-15.563332	-49.31711	46080	7.0780515e-09	8.195639e-09	388.80307	-0.0014759534	-24.61377	0.64787817	2.2346206	-0.000104639774	0.0058549386	0.013085937	0.018554688	79.0	-27.488918	16.027483	16.027483	237.0394937992096
9	-41.644043	37.14501	-2.1397898	-119.78753	256.0	0.0	256.0	256.0	-15.372232	4.0642147	-10.691611	-42.72398	51200	1.0058284e-08	1.0430813e-08	325.10962	-0.0026762174	-23.037445	0.628064	2.2521634	0.0013897227	0.0035052113	0.015820313	0.01875	79.0	-17.268053	24.375988	24.375988	262.2695610523224
10	-35.770824	40.851612	-5.916464	-162.86966	256.0	0.0	256.0	256.0	-14.627813	8.493254	-7.353831	-68.53502	56320	-8.0093745e-09	-7.450581e-09	287.9837	-0.0022593923	-40.663193	0.51466817	2.2659755	0.0010076996	0.006319587	0.0140625	0.050390624	79.0	-22.103313	13.667514	13.667514	288.8173348903656
11	-31.214727	45.187717	-1.5448437	-191.94746	256.0	0.0	256.0	256.0	-12.40979	11.222668	-6.5638657	-100.27022	61440	3.7252903e-09	3.9115546e-09	223.81714	-0.0037257397	-53.62932	0.45414448	2.2405138	0.0017787253	0.0012886049	0.023046875	0.022851562	79.0	-15.498942	15.715785	15.715785	314.6316258907318
12	-23.412647	18.046883	-2.324269	-66.38317	256.0	0.0	256.0	256.0	-9.194435	7.726768	-4.2186885	-62.346024	66560	-1.6018749e-08	-1.6018749e-08	129.5922	-0.0032034654	-37.569878	0.4250055	2.2343833	-0.00041584592	0.004085319	0.0076171877	0.021289062	79.0	-3.7621963	19.650452	19.650452	340.8554832935333
13	-29.506622	27.072384	-1.1353354	-104.25066	256.0	0.0	256.0	256.0	-8.749472	3.0276775	-6.691937	-38.388103	71680	-1.4901161e-09	-1.1175871e-09	159.43088	-0.003346121	-37.392593	0.4804945	2.275397	0.0014282193	0.0034141005	0.0060546873	0.047265626	79.0	-10.078739	19.42788	19.42788	366.42917704582214
14	-22.092628	18.614351	-1.7457507	-73.71224	256.0	0.0	256.0	256.0	-10.105387	7.1236553	-6.65597	-66.75563	76800	-4.2840838e-09	-5.401671e-09	96.17293	-0.002208712	-17.27671	0.40664345	2.27889	5.9082093e-05	0.003907503	0.0029296875	0.022460938	79.0	-6.2882853	15.804342	15.804342	391.8303985595703
15	-29.827534	20.967863	-1.0161995	-84.54659	256.0	0.0	256.0	256.0	-8.256166	4.637057	-5.8186126	-54.605232	81920	1.0430813e-08	8.940697e-09	99.24548	-0.003435709	-18.30217	0.5599621	2.2660046	0.0015080641	0.0022921357	0.01796875	0.020117188	79.0	-8.137602	21.68993	21.68993	414.4167866706848
16	-25.388073	21.306097	-1.5787909	-90.39048	256.0	0.0	256.0	256.0	-9.73213	6.375785	-5.812206	-73.77395	87040	-2.0489097e-09	-2.4214386e-09	117.99966	-0.003932761	-8.323654	0.4294917	2.2207894	0.00068583654	0.0059700743	0.01328125	0.054296874	79.0	1.9840171	27.372095	27.372095	439.9998574256897
17	-42.28653	48.521084	-2.7851558	-193.78056	256.0	0.0	256.0	256.0	-11.196738	10.202092	-6.864922	-103.90773	92160	6.146729e-09	5.401671e-09	433.6774	-0.002505685	-44.95508	0.6091217	2.2343895	-0.00028308708	0.0067871558	0.010351563	0.054882813	79.0	-1.8109007	40.475624	40.475624	465.1356749534607
18	-17.477995	13.638238	-2.2729957	-52.52506	256.0	0.0	256.0	256.0	-11.669975	2.5425885	-8.402078	-37.731567	97280	-5.811453e-08	-5.8859587e-08	80.16496	-0.0026879932	-30.405628	0.33117834	2.2487597	0.0004520085	0.0038568974	0.00859375	0.027539063	79.0	-3.3386295	14.139364	14.139364	490.3503794670105
19	-24.502338	18.302212	-3.152626	-63.902084	256.0	0.0	256.0	256.0	-7.139187	4.5025325	-4.9264627	-48.530815	102400	6.146729e-09	9.126961e-09	76.86531	-0.0033450716	-8.203827	0.44982973	2.2593586	0.0017574247	0.004228273	0.015429688	0.046679687	79.0	2.0654235	26.567764	26.567764	515.3980102539062
20	-17.886133	15.101621	-2.158516	-68.881996	256.0	0.0	256.0	256.0	-8.173665	4.349951	-5.034324	-38.8308	107520	1.4156103e-08	1.6391278e-08	62.341846	-0.007440213	-6.8940086	0.35513195	2.2511322	-0.000800789	0.006168678	0.03261719	0.05390625	79.0	-1.8379066	16.04823	16.04823	540.4149658679962
21	-14.526838	12.51032	-1.9910202	-53.373596	256.0	0.0	256.0	256.0	-6.407302	3.0881205	-4.491079	-33.707996	112640	7.450581e-09	7.0780515e-09	46.872177	-0.0029212576	-5.093605	0.32230788	2.2745776	0.0003988523	0.00036849026	0.01640625	0.008203125	79.0	-5.030034	9.496804	9.496804	565.8659989833832
22	-17.18879	12.7698345	-1.3472656	-41.18078	256.0	0.0	256.0	256.0	-5.16369	1.0284387	-4.4846616	-14.610805	117760	-5.5879354e-09	-6.7055224e-09	47.310356	-0.0018192586	-4.30661	0.30167183	2.2529564	0.0015597325	0.0023347442	0.0064453124	0.032421876	79.0	-1.0051935	16.183598	16.183598	591.6330344676971
