Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpLen	StdEpLen	MaxEpLen	MinEpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	ShowRet	SJF	F1	Time
0	-16.878248	18.98751	-1.0	-74.70811	256.0	0.0	256.0	256.0	0.0035038397	0.04594255	0.17913905	-0.09909432	5120	2.9057265e-08	123.51009	-0.0034950755	-51.430916	2.5497222	0.003780149	0.035742186	79.0	3.2466989	20.124943	20.124943	432.00310754776
1	-16.318333	17.4322	-1.5044922	-63.933453	256.0	0.0	256.0	256.0	-5.9336653	3.313353	-2.9217892	-26.284752	10240	-6.519258e-09	69.94035	-0.0021847433	-9.983311	2.5229678	0.0011495582	0.0072265626	79.0	-4.8175154	11.500816	11.500816	860.5813791751862
2	-14.250514	12.911032	-1.168679	-55.003506	256.0	0.0	256.0	256.0	-6.0572934	3.357082	-0.84186506	-22.907457	15360	1.2293458e-08	33.21885	-0.004825525	-17.703669	2.5813985	0.0070593446	0.047460936	79.0	-1.0358793	13.214633	13.214633	1290.6865713596344
3	-23.768063	22.029228	-3.1298597	-85.21891	256.0	0.0	256.0	256.0	-5.9955163	8.4831295	-0.5911856	-71.77007	20480	-9.313226e-10	146.13467	-0.0029589245	-49.422615	2.6409307	0.0027423177	0.008984375	79.0	1.515241	25.283304	25.283304	1719.9191431999207
4	-18.376541	16.955582	-1.1028496	-59.59023	256.0	0.0	256.0	256.0	-8.013041	3.7241669	-0.07024541	-33.591972	25600	-1.8626451e-09	85.16194	-0.0041279118	-34.292526	2.5475812	0.0038104958	0.028320312	79.0	-5.1971836	13.179358	13.179358	2150.2829101085663
5	-15.555	15.603606	-1.98625	-47.208176	256.0	0.0	256.0	256.0	-6.142583	4.6680403	-0.06917138	-40.440147	30720	1.4901161e-09	48.59009	-0.0028344062	-28.610437	2.491261	0.0012018967	0.00625	79.0	0.9925529	16.547554	16.547554	2579.358401298523
6	-15.36706	13.613736	-1.0	-56.51737	256.0	0.0	256.0	256.0	-6.3739395	8.164784	-0.026975242	-65.726006	35840	-2.514571e-09	76.96645	-0.0062745796	-42.138718	2.503483	0.0033225953	0.054101564	79.0	6.105533	21.472593	21.472593	3007.118596315384
7	-16.72026	16.160883	-1.0	-61.88023	256.0	0.0	256.0	256.0	-4.6386847	3.9894836	0.7741197	-31.767525	40960	-1.8626451e-09	75.46518	-0.0044730566	-23.089119	2.4617958	0.005341987	0.026171874	79.0	14.995176	31.715435	31.715435	3435.066871881485
8	-13.841787	12.094411	-1.765075	-43.03535	256.0	0.0	256.0	256.0	-5.656358	2.906455	0.5505689	-23.712822	46080	-7.823109e-09	45.90697	-0.0048486656	-19.36869	2.3996384	0.003005084	0.040625	79.0	2.1856933	16.027483	16.027483	3864.6530315876007
9	-20.425152	16.29316	-1.219791	-52.900543	256.0	0.0	256.0	256.0	-5.021488	3.2680643	0.5088393	-34.09604	51200	1.1920929e-08	77.43203	-0.0040918463	-17.010513	2.5353312	0.0034653656	0.035351563	79.0	3.950837	24.375988	24.375988	4296.62877035141
