Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpLen	StdEpLen	MaxEpLen	MinEpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	ShowRet	SJF	F1	Time
0	-29.944656	38.146458	-0.73208934	-143.84825	256.0	0.0	256.0	256.0	0.0035038397	0.04594255	0.17913905	-0.09909432	5120	-5.5879354e-09	449.96234	-0.003112419	-164.69852	2.5497222	0.0042139017	0.045703124	79.0	2.966061	32.910717	32.910717	426.61486887931824
1	-23.090204	25.41159	-1.3407543	-90.549324	256.0	0.0	256.0	256.0	-10.642517	6.4995832	-4.968136	-49.749275	10240	-9.033829e-09	162.55669	-0.0034509806	-22.537186	2.5204148	0.0013464547	0.030664062	79.0	-4.535352	18.554852	18.554852	856.0032544136047
2	-27.379795	35.541214	-0.9018827	-132.97342	256.0	0.0	256.0	256.0	-8.666387	4.211088	-4.1131225	-27.20169	15360	-1.6763806e-09	227.43628	-0.0036576528	-118.643105	2.5818856	0.0031319559	0.020507812	79.0	-7.204194	20.1756	20.1756	1284.987044095993
3	-34.630398	32.145443	-2.9278047	-125.718475	256.0	0.0	256.0	256.0	-10.587409	13.225953	-1.5827689	-122.66797	20480	3.5390257e-09	296.26865	-0.00435408	-98.31079	2.6035285	0.001776332	0.009570313	79.0	5.384863	40.015266	40.015266	1713.1060190200806
4	-29.509985	32.70486	-0.8250989	-116.93304	256.0	0.0	256.0	256.0	-12.186348	6.9297295	-0.01862549	-47.402607	25600	1.6205012e-08	251.52095	-0.0041260747	-94.16467	2.5652423	0.0037019928	0.026953125	79.0	-7.4754324	22.03455	22.03455	2140.2045056819916
5	-29.458477	27.94096	-2.6968794	-96.6629	256.0	0.0	256.0	256.0	-9.820279	6.713867	-2.2641144	-93.926254	30720	3.9115546e-09	165.06628	-0.0041199764	-74.328766	2.5216248	0.0015991362	0.017773438	79.0	-4.2912664	25.167213	25.167213	2568.8220932483673
6	-20.36073	20.027695	-2.0805535	-66.30514	256.0	0.0	256.0	256.0	-11.11082	12.761712	-0.019002074	-94.444275	35840	-3.7252904e-10	242.42729	-0.004690698	-153.91312	2.4481823	0.0035249188	0.025585938	79.0	14.997663	35.35839	35.35839	2994.476027727127
7	-30.938437	32.790833	-0.77765006	-131.06235	256.0	0.0	256.0	256.0	-7.5593934	3.388323	-0.02019544	-20.959406	40960	3.1664968e-09	274.19244	-0.004093828	-104.00864	2.5191762	0.00515631	0.016210938	79.0	19.781149	50.71959	50.71959	3418.6365597248077
8	-23.41636	22.206085	-0.76634204	-64.177124	256.0	0.0	256.0	256.0	-8.794368	6.3079944	-0.027791066	-52.45828	46080	1.4714897e-08	171.32832	-0.005125682	-71.36878	2.414051	0.0040243813	0.030859375	79.0	4.3048654	27.721228	27.721228	3844.4070229530334
9	-27.958843	24.97713	-1.4621187	-82.16924	256.0	0.0	256.0	256.0	-8.45208	5.273216	-0.034924217	-37.11961	51200	-8.195639e-09	175.29364	-0.0034975999	-40.143967	2.4913929	0.005494463	0.022265624	79.0	9.907723	37.866566	37.866566	4268.799634933472
10	-15.491008	16.842524	-0.8161966	-57.12708	256.0	0.0	256.0	256.0	-10.1953125	5.1336145	-0.040794402	-44.865917	56320	7.7299775e-09	89.26605	-0.0036361227	-40.206078	2.3865182	0.0038859516	0.0126953125	79.0	4.5163665	20.007374	20.007374	4698.853167295456
11	-21.559597	22.828459	-0.7324193	-74.21942	256.0	0.0	256.0	256.0	-5.7007227	4.1195865	-1.0195291	-37.344883	61440	-9.685754e-09	106.471085	-0.0047317413	-32.37552	2.443589	0.004938332	0.058984376	79.0	2.3755755	23.93517	23.93517	5124.915987253189
12	-24.735401	24.9854	-0.83541095	-100.66888	256.0	0.0	256.0	256.0	-7.651024	5.976282	-0.5504979	-45.229065	66560	-3.5390257e-09	167.88744	-0.006351202	-69.21948	2.3790555	0.0027843497	0.020703126	79.0	9.785947	34.52135	34.52135	5553.177328586578
13	-19.711044	20.687578	-0.97043175	-64.136024	256.0	0.0	256.0	256.0	-9.221102	8.231246	-1.6129292	-50.393486	71680	1.4901161e-09	128.07214	-0.0024494848	-50.853134	2.4294515	0.003331565	0.009960937	79.0	11.266774	30.977823	30.977823	5979.306916952133
14	-18.031622	22.629211	-0.73196036	-104.95754	256.0	0.0	256.0	256.0	-6.8277802	4.544096	-4.2702336	-48.659977	76800	1.322478e-08	91.65975	-0.0033623255	-18.7359	2.3812344	0.0028861433	0.0107421875	79.0	5.579801	23.611427	23.611427	6405.398430585861
