Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpLen	StdEpLen	MaxEpLen	MinEpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	ShowRet	SJF	F1	Time
0	-674.7672	877.9202	-14.1640625	-3818.8945	256.0	0.0	256.0	256.0	0.0035038397	0.04594255	0.17913905	-0.09909432	5120	-2.1792948e-08	234506.66	-0.003768244	-66333.125	2.5497222	0.003992344	0.038867187	79.0	-1.1748047	673.5924	673.5924	425.09273862838745
1	-596.99255	584.62103	-18.34375	-2451.9492	256.0	0.0	256.0	256.0	-250.76152	25.088554	-216.4344	-426.0869	10240	-9.49949e-09	85921.81	-0.0018443273	-6108.7656	2.5205274	0.0034216414	0.009960937	79.0	-224.07735	372.91522	372.91522	854.8307020664215
2	-875.7793	983.1005	-4.0507812	-4347.004	256.0	0.0	256.0	256.0	-228.89816	108.14183	-157.6771	-717.1857	15360	5.9604646e-09	187221.34	-0.0047510243	-101316.87	2.6694229	0.008546701	0.068359375	79.0	-410.20547	465.57382	465.57382	1276.634285211563
3	-1072.4349	1330.0427	-82.87891	-4665.0156	256.0	0.0	256.0	256.0	-342.2697	401.93494	-156.53502	-2888.9395	20480	6.146729e-09	405584.1	-0.0028506634	-47518.688	2.6747448	0.0013683533	0.01796875	79.0	-246.1211	826.31384	826.31384	1704.265596628189
4	-782.6383	667.8001	-85.98828	-2466.3984	256.0	0.0	256.0	256.0	-356.95023	123.7779	-260.28107	-1061.1179	25600	-5.5879357e-10	112807.8	-0.0025319764	-8640.219	2.6506984	0.0052493676	0.017578125	79.0	-373.21817	409.4201	409.4201	2132.9012229442596
5	-810.06366	756.06866	-13.980469	-2722.8906	256.0	0.0	256.0	256.0	-280.48083	142.80266	-218.09407	-1370.6495	30720	1.3038516e-08	102629.375	-0.002707329	-18823.117	2.59039	0.0010762353	0.018945312	79.0	-222.98262	587.08105	587.08105	2555.124723672867
6	-764.0504	545.3018	-0.68359375	-2084.4336	256.0	0.0	256.0	256.0	-298.52838	270.3616	-90.58963	-2008.4132	35840	5.7742e-09	116653.7	-0.0024092903	-35260.54	2.598524	0.0014172891	0.009375	79.0	19.128906	783.1793	783.1793	2982.2109088897705
7	-1076.239	889.0423	-15.7421875	-3532.8945	256.0	0.0	256.0	256.0	-296.00366	144.88194	-202.62193	-1292.1577	40960	-3.1664968e-09	216232.84	-0.0030366997	-16057.703	2.692922	0.0049670674	0.024414062	79.0	30.39375	1106.6328	1106.6328	3409.192056655884
8	-685.9645	487.09436	-98.328125	-1703.6016	256.0	0.0	256.0	256.0	-352.4634	78.48141	-267.08984	-1060.3732	46080	-1.1175871e-09	83508.11	-0.005521888	-12719.6875	2.5196376	0.0038023416	0.033984374	79.0	-116.52832	569.43616	569.43616	3835.149416208267
9	-900.3449	806.07697	-59.851562	-2627.4727	256.0	0.0	256.0	256.0	-267.24872	135.25537	-208.6205	-1397.1841	51200	-6.3329937e-09	130129.73	-0.0045286897	-19161.242	2.579886	0.0040924503	0.039453126	79.0	-48.027344	852.31757	852.31757	4261.391641139984
10	-466.65137	502.1696	-7.5507812	-2089.6406	256.0	0.0	256.0	256.0	-272.17792	135.45271	-197.25732	-1703.645	56320	3.1664968e-09	49153.844	-0.0042464416	-12757.168	2.3990655	0.0048918724	0.043359376	79.0	59.274025	525.9254	525.9254	4692.674973964691
11	-683.3158	702.7963	0.0	-2650.5195	256.0	0.0	256.0	256.0	-175.45439	161.35703	-113.95453	-1539.7124	61440	1.45286325e-08	106184.15	-0.0028194867	-12119.5	2.4524937	0.0028542585	0.015429688	79.0	-113.68711	569.6287	569.6287	5119.892782211304
12	-745.241	752.19867	-13.4375	-2808.4102	256.0	0.0	256.0	256.0	-262.79736	187.63087	-105.70287	-1557.8708	66560	-1.6763806e-09	136971.38	-0.006538613	-42607.727	2.4211936	0.005232839	0.05	79.0	-57.791992	687.44904	687.44904	5545.585559129715
13	-744.45703	731.35455	-23.410156	-3002.125	256.0	0.0	256.0	256.0	-257.93164	221.70436	3.55543	-1447.4316	71680	-5.401671e-09	132388.88	-0.0035593712	-43783.08	2.4708066	0.0057891747	0.014257813	79.0	-82.85254	661.6045	661.6045	5973.843569755554
14	-584.22345	748.484	-49.148438	-3109.336	256.0	0.0	256.0	256.0	-248.39664	180.10167	-134.06706	-2050.3289	76800	1.4901161e-09	84105.85	-0.0043571405	-8087.0312	2.3824973	0.0058218883	0.0578125	79.0	-9.676758	574.5467	574.5467	6398.563225030899
15	-755.1693	689.97943	-13.4296875	-2535.8828	256.0	0.0	256.0	256.0	-224.41458	256.92813	-128.09967	-1990.6034	81920	-5.5879354e-09	74583.484	-0.005026691	-4764.0312	2.4562283	0.005102617	0.043164063	79.0	3.8640625	759.0334	759.0334	6825.383243322372
16	-723.1873	570.1263	-15.457031	-2292.793	256.0	0.0	256.0	256.0	-255.29785	172.63235	-178.07996	-2151.7659	87040	7.4505807e-10	77979.55	-0.0047115865	-6441.4688	2.370227	0.003433685	0.04375	79.0	206.39551	929.5828	929.5828	7253.5022711753845
17	-1131.0387	1198.5188	-0.20703125	-4866.4805	256.0	0.0	256.0	256.0	-333.21826	408.19348	-197.5755	-3551.371	92160	2.7939677e-09	310525.0	-0.0055875126	-40371.938	2.536637	0.0031338758	0.025390625	79.0	227.38281	1358.4215	1358.4215	7674.781012058258
18	-489.40155	404.6631	-6.7695312	-1642.918	256.0	0.0	256.0	256.0	-337.03058	71.79567	-202.65855	-930.67816	97280	-1.6763806e-08	68486.05	-0.0042585763	-30948.824	2.3079398	0.0056849783	0.02265625	79.0	-32.86133	456.54022	456.54022	8091.6987388134
19	-800.21545	980.81744	0.0	-3333.0586	256.0	0.0	256.0	256.0	-229.67598	293.5278	-129.05347	-2598.6514	102400	-7.0780515e-09	184602.9	-0.0049089594	-23792.578	2.369973	0.004808874	0.029492188	79.0	160.19356	960.409	960.409	8518.179854869843
20	-588.1711	600.8907	-11.496094	-2571.2266	256.0	0.0	256.0	256.0	-240.31953	150.71077	-175.30388	-1264.7765	107520	-8.940697e-09	86818.47	-0.0070488113	-5191.3047	2.3053803	0.0020349273	0.04140625	79.0	11.6248045	599.7959	599.7959	8943.43543291092
21	-457.12656	466.70694	0.0	-2214.1992	256.0	0.0	256.0	256.0	-202.8015	82.17156	-164.13889	-982.6869	112640	-6.3329937e-09	56287.95	-0.0058494443	-3776.0352	2.2939456	0.0015567692	0.024804687	79.0	-99.69707	357.4295	357.4295	9369.392270803452
22	-574.51953	544.7983	-6.5546875	-1807.293	256.0	0.0	256.0	256.0	-173.57697	76.079994	-143.58127	-926.9841	117760	-6.7055224e-09	55011.8	-0.007824727	-19479.293	2.2651093	0.005555933	0.062304687	79.0	-4.6916018	569.82794	569.82794	9793.429979801178
23	-547.4398	841.05035	0.0	-3788.6133	256.0	0.0	256.0	256.0	-197.87675	207.66736	-126.996025	-2616.6338	122880	6.3329937e-09	118677.17	-0.005342422	-5373.172	2.2464662	0.0057722563	0.07148437	79.0	316.45233	863.8922	863.8922	10220.388440608978
24	-584.833	641.1841	-14.21875	-2744.7812	256.0	0.0	256.0	256.0	-188.88606	133.74533	-138.47168	-1541.569	128000	-4.656613e-09	60594.363	-0.0062441994	-13974.3125	2.30133	0.0052179443	0.05	79.0	-24.916601	559.9164	559.9164	10646.024887561798
25	-466.6547	378.49872	-24.605469	-1816.8984	256.0	0.0	256.0	256.0	-176.0124	81.94885	-121.7445	-928.6008	133120	1.45286325e-08	37698.227	-0.007724851	-2667.5742	2.2762406	0.0064994222	0.07832031	79.0	-2.3082032	464.3465	464.3465	11072.993525266647
26	-960.4707	828.63135	-95.69531	-2477.6172	256.0	0.0	256.0	256.0	-267.19894	358.77695	-127.96998	-3059.1018	138240	1.0803342e-08	178154.72	-0.0057567107	-35453.875	2.3941884	0.004386148	0.040234376	79.0	391.30957	1351.7803	1351.7803	11497.769166469574
27	-696.45233	817.9538	-29.441406	-3173.8242	256.0	0.0	256.0	256.0	-323.19135	215.37749	-237.61642	-2364.2136	143360	1.2665987e-08	112945.48	-0.0038916422	-29820.016	2.3284476	0.0045582214	0.029882813	79.0	210.17929	906.63165	906.63165	11923.086618423462
28	-573.9359	616.9451	0.0	-2353.1484	256.0	0.0	256.0	256.0	-212.92386	170.99174	-102.27937	-1796.9923	148480	-6.891787e-09	114616.29	-0.0065927883	-21291.336	2.2708268	0.007456486	0.0546875	79.0	45.59336	619.5293	619.5293	12349.507043838501
29	-537.80334	549.5953	0.0	-2097.457	256.0	0.0	256.0	256.0	-204.50316	15.146046	-169.1615	-356.30975	153600	1.6577541e-08	74885.45	-0.006461221	-4022.3125	2.2957673	0.008290376	0.066992186	79.0	73.202736	611.00604	611.00604	12771.673258781433
30	-731.9191	952.70825	-85.30078	-3998.5508	256.0	0.0	256.0	256.0	-206.20987	145.79268	-145.08109	-2458.7073	158720	-2.2351743e-09	169573.5	-0.0058444208	-13470.281	2.3156555	0.00534813	0.06738281	79.0	-10.050586	721.8685	721.8685	13198.632842063904
31	-723.44885	852.39514	-75.67969	-3993.8516	256.0	0.0	256.0	256.0	-262.44403	190.0363	-145.5132	-1816.0167	163840	1.0989607e-08	138100.27	-0.005564218	-17971.305	2.3699589	0.0033554714	0.022070313	79.0	-165.97226	557.47656	557.47656	13624.324292898178
32	-521.1061	496.65427	-5.046875	-1510.4219	256.0	0.0	256.0	256.0	-229.17227	132.7182	-97.41243	-1492.8157	168960	-7.4505807e-10	55627.68	-0.0057489583	-7559.3594	2.3051353	0.006186585	0.050195314	79.0	-77.990234	443.1158	443.1158	14053.287531614304
33	-641.1486	540.4412	-171.14453	-2237.9062	256.0	0.0	256.0	256.0	-193.53525	147.40085	-19.132761	-1638.0742	174080	-4.842877e-09	67899.836	-0.00477564	-9873.953	2.3049629	0.0035213772	0.031835936	79.0	-44.219727	596.9289	596.9289	14480.242817640305
34	-429.20392	287.6039	-66.984375	-1147.6055	256.0	0.0	256.0	256.0	-204.78403	85.7505	40.231693	-717.0993	179200	1.527369e-08	33701.72	-0.0067938594	-8467.225	2.217986	0.0040456764	0.05703125	79.0	44.51836	473.72226	473.72226	14902.451445579529
35	-669.4125	789.37946	-58.51172	-3528.6406	256.0	0.0	256.0	256.0	-173.13066	129.31499	-107.08049	-1637.3447	184320	-6.146729e-09	124104.02	-0.0061072162	-10007.227	2.2784142	0.00281596	0.08828125	79.0	64.68418	734.0967	734.0967	15329.298797369003
36	-785.1506	638.3075	-15.308594	-2598.914	256.0	0.0	256.0	256.0	-232.66306	108.31979	-147.06966	-1067.3391	189440	-1.1920929e-08	101634.016	-0.006314744	-6721.7188	2.3092752	0.0044669574	0.04511719	79.0	-113.4752	671.6754	671.6754	15755.297646284103
37	-606.6053	799.3924	-88.33984	-3013.0742	256.0	0.0	256.0	256.0	-279.476	198.3365	-198.52667	-2347.7712	194560	-7.450581e-09	131109.05	-0.0067503713	-12242.3125	2.281765	0.0066877035	0.087695315	79.0	262.20996	868.81525	868.81525	16180.034635066986
38	-700.4125	501.1606	-122.328125	-1801.293	256.0	0.0	256.0	256.0	-218.54614	142.35095	-135.1202	-1239.2198	199680	-3.7252903e-09	62957.844	-0.006660469	-5351.2188	2.3319364	0.011707293	0.08710937	79.0	-1.2384765	699.174	699.174	16609.9385035038
39	-716.2256	818.0931	-9.636719	-2893.4531	256.0	0.0	256.0	256.0	-257.97693	171.67226	-105.74623	-1706.0482	204800	-1.0803342e-08	150846.2	-0.0051847585	-13390.047	2.3255036	0.0026616412	0.024414062	79.0	178.57089	894.7965	894.7965	17037.030435562134
40	-470.7877	608.4579	-0.99609375	-2394.543	256.0	0.0	256.0	256.0	-236.72873	84.877	-179.52614	-1416.763	209920	-3.0174853e-08	68262.75	-0.008235404	-21666.715	2.287521	0.005410802	0.069726564	79.0	98.870705	569.6584	569.6584	17460.392606258392
41	-703.49866	808.59265	0.0	-3248.3672	256.0	0.0	256.0	256.0	-222.17989	369.3245	-81.33851	-3940.3396	215040	1.1175871e-09	218269.1	-0.008394323	-74350.08	2.272064	0.004135491	0.06113281	79.0	217.28418	920.78284	920.78284	17879.421535491943
42	-696.8211	649.3677	-38.960938	-2291.7422	256.0	0.0	256.0	256.0	-240.74423	71.199326	-131.24486	-709.01825	220160	1.6763806e-09	106388.58	-0.0078032454	-6086.1562	2.3371594	0.005904549	0.07519531	79.0	95.691605	792.5127	792.5127	18308.543211460114
43	-544.8488	758.8982	-38.960938	-2975.0703	256.0	0.0	256.0	256.0	-242.88118	114.77541	-167.86398	-1152.8768	225280	6.3329937e-09	106661.54	-0.006062134	-20390.125	2.259915	0.006055042	0.03515625	79.0	138.02754	682.87634	682.87634	18730.826612710953
44	-701.6193	796.88074	-70.36719	-3545.2383	256.0	0.0	256.0	256.0	-206.57466	277.27063	108.941246	-2937.974	230400	-9.313226e-10	124432.17	-0.00546583	-21574.062	2.3413062	0.0058956463	0.034765624	79.0	153.71152	855.3309	855.3309	19149.822526931763
45	-726.6715	769.47314	0.0	-2634.9102	256.0	0.0	256.0	256.0	-244.08003	189.39276	-91.9338	-1971.0272	235520	3.5390257e-09	120125.29	-0.0068285884	-15431.273	2.3393788	0.0043172026	0.04042969	79.0	494.67365	1221.3451	1221.3451	19578.184646129608
46	-804.4801	694.4929	-72.34375	-3101.9531	256.0	0.0	256.0	256.0	-261.7773	207.07654	-24.705181	-2313.5547	240640	1.6950072e-08	114060.67	-0.009340854	-14400.016	2.3320003	0.011798116	0.1361328	79.0	250.46465	1054.9447	1054.9447	20006.09471964836
47	-678.32874	593.39716	-26.980469	-2360.75	256.0	0.0	256.0	256.0	-277.05414	169.56995	-92.6429	-1483.3059	245760	8.195639e-09	91094.95	-0.010337818	-12929.328	2.2725005	0.008805247	0.071875	79.0	302.2125	980.5412	980.5412	20432.153883457184
48	-513.42615	536.89777	-29.660156	-2495.9414	256.0	0.0	256.0	256.0	-221.91968	83.897964	-121.63442	-988.5791	250880	3.5390257e-09	56623.95	-0.009814125	-13260.895	2.2446194	0.0065004914	0.068164065	79.0	-20.279491	493.14667	493.14667	20857.217517375946
49	-576.7705	560.1062	0.0	-2205.6172	256.0	0.0	256.0	256.0	-206.36572	198.42877	-4.088335	-2313.9128	256000	-2.6077032e-09	73485.45	-0.0085171005	-18665.129	2.2696464	0.007228002	0.08183594	79.0	76.791794	653.5623	653.5623	21283.576105356216
50	-860.1605	894.7728	-5.4960938	-3005.0625	256.0	0.0	256.0	256.0	-258.15933	242.52408	-29.694132	-1698.9677	261120	6.3329937e-09	186413.05	-0.008132729	-25123.125	2.3135788	0.0036904612	0.06386719	79.0	635.3561	1495.5166	1495.5166	21712.44396996498
51	-501.6342	344.94482	-54.359375	-1388.3477	256.0	0.0	256.0	256.0	-263.81512	115.553055	-95.853584	-1014.5404	266240	-3.9115546e-09	55069.65	-0.006441084	-17641.094	2.1894956	0.0036079444	0.017578125	79.0	39.37539	541.0096	541.0096	22137.682109832764
52	-664.5734	739.40814	-22.699219	-2747.707	256.0	0.0	256.0	256.0	-194.57732	74.43585	-74.93369	-813.1851	271360	4.0978194e-09	113169.52	-0.008645022	-34277.047	2.231696	0.004941132	0.06953125	79.0	572.9424	1237.5159	1237.5159	22564.880133867264
53	-480.38495	371.33795	-57.335938	-1307.5273	256.0	0.0	256.0	256.0	-187.5667	112.38103	-87.04395	-1050.944	276480	-1.0617077e-08	35835.195	-0.00884554	-4452.789	2.2022367	0.0046844543	0.05996094	79.0	101.23281	581.6178	581.6178	22991.33562397957
54	-328.26465	309.49335	0.0	-1131.1836	256.0	0.0	256.0	256.0	-167.06776	101.168884	-85.57098	-1003.31494	281600	-1.3038516e-09	27817.635	-0.008649215	-6651.424	2.1213996	0.006169527	0.0703125	79.0	138.39413	466.65878	466.65878	23417.77510213852
55	-619.49725	676.91724	-18.929688	-2870.7852	256.0	0.0	256.0	256.0	-136.69681	93.62241	-59.609394	-582.9242	286720	-8.0093745e-09	111941.016	-0.0065564536	-16130.531	2.1872623	0.0030071368	0.043359376	79.0	547.1711	1166.6683	1166.6683	23843.842044353485
56	-523.43964	715.61194	-59.222656	-3356.871	256.0	0.0	256.0	256.0	-213.11182	114.162415	-52.991142	-1346.9506	291840	3.7252903e-09	92005.984	-0.0063338047	-8248.133	2.1652157	0.004063941	0.03261719	79.0	125.251175	648.6908	648.6908	24269.168047189713
57	-577.9176	476.09555	-7.2773438	-1752.1172	256.0	0.0	256.0	256.0	-195.52539	132.64719	-56.833366	-1910.9753	296960	1.6391278e-08	38581.773	-0.008833976	-5414.203	2.210855	0.0056527667	0.06074219	79.0	235.03653	812.9541	812.9541	24690.650127649307
58	-442.2531	302.8342	-14.1328125	-1288.0586	256.0	0.0	256.0	256.0	-178.14822	105.589615	-73.36562	-1278.6943	302080	-6.891787e-09	32681.074	-0.00831962	-4959.1836	2.1714678	0.006373982	0.07519531	79.0	-132.9334	309.31973	309.31973	25117.010572195053
59	-556.81036	552.38947	-17.699219	-2560.0469	256.0	0.0	256.0	256.0	-164.6675	95.46877	-102.08497	-1436.8749	307200	-2.2351743e-09	51317.492	-0.008526982	-16721.004	2.1475887	0.0086434465	0.076367185	79.0	295.6922	852.50256	852.50256	25544.874783992767
60	-549.38904	532.8459	-21.972656	-2232.4102	256.0	0.0	256.0	256.0	-204.56903	159.66464	-97.24062	-1687.8271	312320	-9.313226e-09	61144.74	-0.008725554	-9660.918	2.2152412	0.0058952523	0.08730469	79.0	137.66797	687.057	687.057	25973.406563043594
61	-453.4838	556.19763	-17.070312	-2455.2344	256.0	0.0	256.0	256.0	-190.67972	170.08301	-64.933945	-1805.7903	317440	-1.4901161e-09	56855.0	-0.00847061	-5556.6836	2.1240375	0.006258875	0.07714844	79.0	187.06836	640.5521	640.5521	26403.032677412033
62	-477.14374	571.3996	-6.1914062	-2386.6016	256.0	0.0	256.0	256.0	-153.30373	127.744385	-29.53724	-1436.7856	322560	-8.754432e-09	54727.637	-0.008494973	-8888.305	2.117185	0.0060216654	0.10820313	79.0	-34.7459	442.39786	442.39786	26828.453034877777
63	-516.1422	328.31732	-54.08203	-1213.3086	256.0	0.0	256.0	256.0	-171.4754	110.47848	-64.64657	-1420.1633	327680	4.0978194e-09	41986.773	-0.007887552	-7382.3633	2.1400197	0.005048765	0.039453126	79.0	50.963478	567.10565	567.10565	27249.01221513748
64	-368.82635	296.7465	0.0	-1138.2578	256.0	0.0	256.0	256.0	-180.0186	47.349033	-122.88584	-1138.5188	332800	-2.9988588e-08	23196.19	-0.009571525	-3915.8809	2.124509	0.006098868	0.07402344	79.0	143.6584	512.48474	512.48474	27673.981786251068
65	-307.22266	348.79065	0.0	-1402.6445	256.0	0.0	256.0	256.0	-131.75328	75.563385	-54.244213	-635.4005	337920	-7.2643163e-09	27392.043	-0.009089505	-1923.8438	2.0856533	0.007121003	0.04296875	79.0	-17.250195	289.97247	289.97247	28102.477110147476
66	-622.3195	621.64716	0.0	-2028.5625	256.0	0.0	256.0	256.0	-134.10979	136.22249	-40.00257	-1559.6968	343040	1.0803342e-08	82528.984	-0.0075198705	-14925.094	2.1449897	0.0045997547	0.068164065	79.0	99.43203	721.7516	721.7516	28526.346972942352
67	-455.29474	535.34595	-25.527344	-2506.6836	256.0	0.0	256.0	256.0	-202.7412	131.53452	-134.52646	-1581.1755	348160	-7.4505807e-10	77860.336	-0.01022427	-11211.164	2.0785935	0.008529566	0.08574219	79.0	258.8711	714.16583	714.16583	28952.970248937607
68	-607.6465	714.35205	0.0	-2942.5938	256.0	0.0	256.0	256.0	-173.34038	63.343422	-134.09755	-649.4798	353280	1.0989607e-08	100509.47	-0.007595288	-31952.89	2.0758119	0.0077077695	0.08359375	79.0	628.717	1236.3635	1236.3635	29378.733902692795
69	-471.32617	487.74332	0.0	-2271.7695	256.0	0.0	256.0	256.0	-182.44266	139.44263	-111.76046	-1938.2394	358400	-3.5390257e-09	54826.96	-0.010131837	-5985.664	2.0982058	0.007912276	0.064257815	79.0	74.24258	545.5687	545.5687	29802.276988506317
70	-464.6678	501.9262	0.0	-2014.5742	256.0	0.0	256.0	256.0	-171.54611	91.79997	-96.07911	-1056.1385	363520	-5.3085385e-09	45523.258	-0.0065961652	-8944.758	2.0758033	0.0037567192	0.04921875	79.0	431.5926	896.2604	896.2604	30234.442922115326
71	-359.60507	266.45752	-0.0703125	-1259.0508	256.0	0.0	256.0	256.0	-149.38046	118.755844	-57.197495	-1493.2306	368640	2.2351743e-09	16159.729	-0.008532653	-3819.5068	2.0393333	0.0045083403	0.05	79.0	134.71289	494.31796	494.31796	30660.592955350876
72	-341.52676	377.61465	-2.7070312	-1568.9648	256.0	0.0	256.0	256.0	-129.56624	78.457016	-50.974277	-906.0945	373760	-8.940697e-09	31832.197	-0.009297155	-2204.4043	2.0088642	0.0107509075	0.12402344	79.0	68.75625	410.28302	410.28302	31085.723564863205
73	-337.18985	272.94858	-11.457031	-918.9883	256.0	0.0	256.0	256.0	-122.47263	67.52507	-65.86168	-789.39557	378880	-7.450581e-09	18830.256	-0.010183674	-2656.54	2.019215	0.0059288363	0.07304688	79.0	-8.69043	328.49942	328.49942	31510.88452386856
74	-596.1387	669.7568	-7.921875	-2888.9766	256.0	0.0	256.0	256.0	-135.56058	117.11852	-15.079934	-1235.497	384000	5.5879357e-10	77920.58	-0.0107758	-26788.805	2.0403981	0.0058883997	0.12421875	79.0	339.94354	936.0822	936.0822	31938.714713811874
75	-538.7877	599.1982	0.0	-2080.336	256.0	0.0	256.0	256.0	-211.32315	240.20941	-114.066826	-2885.7847	389120	-8.754432e-09	52355.574	-0.01066911	-6710.1445	2.0474248	0.0066270246	0.086523436	79.0	328.43573	867.22345	867.22345	32361.908524274826
76	-664.1541	677.8669	-29.117188	-3177.2227	256.0	0.0	256.0	256.0	-208.90718	190.1353	-20.717419	-2058.262	394240	0.0	124276.75	-0.0077732727	-18893.664	2.1187992	0.0042362646	0.070898436	79.0	467.17422	1131.3284	1131.3284	32787.67962670326
77	-666.53436	652.6378	-41.890625	-2645.6953	256.0	0.0	256.0	256.0	-236.29033	109.49413	-68.89868	-1185.7445	399360	-7.823109e-09	88421.73	-0.008778265	-14749.578	2.069989	0.0046180827	0.07382812	79.0	561.00214	1227.5365	1227.5365	33218.2861559391
78	-402.90976	437.058	-9.296875	-1482.3672	256.0	0.0	256.0	256.0	-219.99405	133.65999	32.423576	-1211.0642	404480	5.9604646e-09	53021.645	-0.008814037	-15263.664	2.0141635	0.0067447154	0.088085935	79.0	261.29767	664.2074	664.2074	33644.455538511276
79	-380.9041	352.01773	-15.1796875	-1088.8359	256.0	0.0	256.0	256.0	-143.56071	92.55532	-2.5812922	-1040.7081	409600	-3.7252903e-09	31474.459	-0.0077979327	-4320.7207	2.002215	0.007264587	0.05546875	79.0	351.37753	732.2816	732.2816	34069.9558672905
80	-545.01056	675.0861	-30.535156	-2561.461	256.0	0.0	256.0	256.0	-142.30743	73.85176	-42.63826	-641.6363	414720	-1.8626451e-08	97037.99	-0.003251722	-33592.266	2.053593	0.01355871	0.19394532	7.0	401.06583	946.07635	946.07635	34331.623824596405
81	-332.8338	315.07654	0.0	-1376.3164	256.0	0.0	256.0	256.0	-176.85141	168.59322	9.190242	-1609.7538	419840	6.519258e-09	43898.617	-0.010756909	-22710.809	2.0163827	0.007858631	0.09863281	79.0	171.51718	504.35098	504.35098	34757.35092115402
82	-349.50253	342.054	0.0	-1033.2383	256.0	0.0	256.0	256.0	-120.65908	68.528595	-13.367057	-939.77576	424960	2.6077032e-09	25909.656	-0.009098649	-6467.3594	2.005649	0.011294381	0.12558594	79.0	128.20996	477.7125	477.7125	35184.5156018734
83	-459.54922	549.63696	-33.640625	-1908.0625	256.0	0.0	256.0	256.0	-139.53598	123.76053	-29.6256	-877.8277	430080	7.0780515e-09	61318.707	-0.009480824	-13748.434	1.9825366	0.0043123416	0.091796875	79.0	474.5332	934.0824	934.0824	35610.93219280243
