Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpLen	StdEpLen	MaxEpLen	MinEpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	ShowRet	SJF	F1	Time
0	-67.63881	57.166756	-0.78123134	-256.71896	256.0	0.0	256.0	256.0	0.013286233	0.056566037	0.24530095	-0.14627175	5120	7.4505807e-10	1500.9089	-0.0031341484	-659.3644	2.308513	0.0018859208	0.0064453124	79.0	-34.728085	32.910717	32.910717	428.79341650009155
1	-56.107166	47.759617	-1.4051576	-186.32364	256.0	0.0	256.0	256.0	-24.254574	7.0112634	-14.507809	-52.73243	10240	9.685754e-09	629.6825	-0.0022267513	-29.293335	2.2218068	0.00583728	0.040625	79.0	-37.55231	18.554852	18.554852	835.5459773540497
2	-46.527504	50.031525	-4.17562	-176.43779	256.0	0.0	256.0	256.0	-19.8085	5.6015983	-11.331621	-44.924126	15360	3.3527612e-09	508.5897	-0.0038207013	-246.09619	2.176757	0.0044966443	0.02265625	79.0	-26.351908	20.1756	20.1756	1237.9709436893463
3	-53.500923	43.986	-1.2176913	-144.87752	256.0	0.0	256.0	256.0	-18.94672	23.098955	-1.6848875	-185.86186	20480	-6.146729e-09	754.5808	-0.0078123626	-280.95648	2.2953372	0.0061765444	0.07832031	79.0	-13.485666	40.015266	40.015266	1653.2543818950653
4	-43.36711	41.700634	-2.7799077	-145.35947	256.0	0.0	256.0	256.0	-17.022217	5.757293	-11.357968	-52.88984	25600	3.1664968e-09	412.83502	-0.0026605676	-11.932739	2.078511	0.004337638	0.02109375	79.0	-21.332561	22.03455	22.03455	2079.513861656189
5	-44.75318	44.728073	-0.8631886	-170.37727	256.0	0.0	256.0	256.0	-16.944563	9.099598	-10.362598	-67.403854	30720	-1.4901161e-08	442.6225	-0.004635324	-17.146759	2.1622825	0.0062757833	0.04160156	79.0	-19.585968	25.167213	25.167213	2500.9573407173157
6	-50.052742	56.00148	-1.6424346	-229.96597	256.0	0.0	256.0	256.0	-17.087667	11.871284	-9.935314	-75.128845	35840	6.891787e-09	633.59265	-0.004265954	-14.968018	2.1219208	0.0053540254	0.0296875	79.0	-14.694349	35.35839	35.35839	2912.0239346027374
7	-42.951164	41.86878	-0.83320993	-157.17464	256.0	0.0	256.0	256.0	-16.697123	8.797394	-9.574996	-90.102844	40960	2.7939677e-09	442.36533	-0.00498033	-27.337494	2.088329	0.0024974595	0.051367186	79.0	7.768424	50.71959	50.71959	3334.7669587135315
8	-44.69973	31.32468	-5.3643303	-104.26734	256.0	0.0	256.0	256.0	-16.06445	6.8831964	-10.171929	-62.553726	46080	-2.6077032e-09	318.48273	-0.00581336	-18.375275	2.1139712	0.007218796	0.05683594	79.0	-16.978497	27.721228	27.721228	3751.2728209495544
9	-44.32473	33.538033	-5.494307	-114.40063	256.0	0.0	256.0	256.0	-15.544882	3.4679594	-10.295757	-36.02355	51200	5.5879354e-09	295.92938	-0.0052928305	-48.14084	2.1557705	0.007875444	0.05722656	79.0	-6.4581666	37.866566	37.866566	4163.2233629226685
10	-24.69255	18.85411	-4.3401384	-68.371895	256.0	0.0	256.0	256.0	-14.188458	6.7870364	-8.646904	-71.5665	56320	6.3329937e-09	127.63806	-0.007421326	-38.401703	1.9905941	0.005628633	0.04082031	79.0	-4.6851754	20.007374	20.007374	4574.933354377747
11	-33.784462	47.640896	-0.9819428	-212.039	256.0	0.0	256.0	256.0	-8.877736	4.0591307	-5.4274173	-49.88584	61440	-2.0489097e-09	387.42816	-0.007859719	-257.64615	2.0017524	0.0039863666	0.034179688	79.0	-9.849289	23.93517	23.93517	4988.890317201614
12	-39.82796	31.653343	-1.3349975	-108.814735	256.0	0.0	256.0	256.0	-12.020218	15.443774	-3.6722903	-122.4663	66560	-2.9802323e-09	439.24228	-0.004918346	-163.20697	2.0615945	0.003860062	0.022265624	79.0	-5.3066144	34.52135	34.52135	5409.334186553955
13	-41.426563	37.798153	-3.206548	-126.87107	256.0	0.0	256.0	256.0	-14.202509	4.172444	-5.865599	-36.126892	71680	-2.9802323e-09	341.23984	-0.004666267	-57.246674	2.0806463	0.0029681835	0.03046875	79.0	-10.448744	30.977823	30.977823	5819.667885303497
14	-38.655037	38.70063	-3.5761085	-124.05394	256.0	0.0	256.0	256.0	-13.692151	6.929936	-4.920287	-92.045876	76800	-5.5879354e-09	349.17853	-0.0049443007	-20.516113	2.0181766	0.0050380677	0.0484375	79.0	-15.0436125	23.611427	23.611427	6220.770484209061
15	-37.32394	31.549908	-1.0886519	-98.27453	256.0	0.0	256.0	256.0	-14.101718	7.1024785	-5.3044944	-79.87065	81920	9.685754e-09	215.02898	-0.0045887004	-22.056152	2.03328	0.0030656543	0.040625	79.0	-1.7621021	35.561832	35.561832	6629.225115060806
16	-48.43364	35.2719	-2.6156898	-126.544075	256.0	0.0	256.0	256.0	-13.967041	9.914368	-5.0194635	-78.09149	87040	1.6205012e-08	341.4165	-0.004856783	-44.79126	2.0190861	0.0029406066	0.0234375	79.0	-0.24002795	48.193607	48.193607	7048.348862409592
17	-51.54651	46.33237	-2.784024	-142.1164	256.0	0.0	256.0	256.0	-17.635422	9.0348015	-8.133148	-105.04478	92160	1.1175871e-08	488.55707	-0.0069102966	-27.418976	2.0206265	0.007499838	0.059765626	79.0	15.209581	66.75609	66.75609	7469.552558422089
18	-30.889791	27.056288	-3.6303391	-98.74565	256.0	0.0	256.0	256.0	-16.884579	7.086731	-5.2827315	-65.86088	97280	1.2293458e-08	186.1993	-0.005217203	-45.219116	1.8993046	0.0057874257	0.036328126	79.0	-7.2526274	23.637165	23.637165	7902.370722055435
19	-37.218456	29.851402	-1.1563784	-97.17462	256.0	0.0	256.0	256.0	-13.086699	11.278981	-6.594371	-95.45992	102400	-1.4156103e-08	197.85098	-0.0049061743	-19.16658	2.0071788	0.004424839	0.04550781	79.0	4.603843	41.8223	41.8223	8321.156523942947
20	-29.322002	22.243334	-1.1185056	-84.16924	256.0	0.0	256.0	256.0	-11.83376	6.037735	-6.1507854	-55.566353	107520	-1.8626451e-09	154.45755	-0.005381818	-17.822754	1.8958366	0.005045764	0.03125	79.0	-3.8698037	25.452198	25.452198	8743.863962888718
21	-24.848768	18.818811	-4.205706	-73.66257	256.0	0.0	256.0	256.0	-10.218392	2.634978	-6.1985846	-29.642515	112640	-1.6577541e-08	109.24742	-0.0038369976	-5.3912964	1.8069267	0.0067106844	0.05	79.0	-10.13581	14.712959	14.712959	9160.239480495453
22	-28.844204	27.463718	-3.6054757	-111.54157	256.0	0.0	256.0	256.0	-9.089493	2.2841275	-6.094061	-35.913967	117760	-5.9604646e-09	182.3371	-0.0061464277	-18.844513	1.7843027	0.0026719205	0.043359376	79.0	-3.7059128	25.138294	25.138294	9569.475486755371
23	-31.856354	34.57111	-0.8304469	-107.674034	256.0	0.0	256.0	256.0	-11.176437	7.6897616	-4.877069	-114.72107	122880	1.6391278e-08	267.648	-0.0054714163	-25.676422	1.8165741	0.005392592	0.05390625	79.0	8.515154	40.371506	40.371506	9990.917278766632
24	-21.582962	26.303593	-1.269125	-103.01656	256.0	0.0	256.0	256.0	-10.848053	5.7705503	-4.143886	-49.3371	128000	-2.0489097e-09	110.97758	-0.0089155	-31.71495	1.7415936	0.007948702	0.05859375	79.0	2.5610943	24.144054	24.144054	10401.483691215515
