Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpLen	StdEpLen	MaxEpLen	MinEpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	ShowRet	SJF	F1	Time
0	-0.7490791	0.0154858	-0.71554744	-0.79435074	256.0	0.0	256.0	256.0	-0.4884034	0.037576005	-0.37441516	-0.63288313	5120	7.450581e-09	0.06962268	-0.0022529631	-0.06931482	2.532083	0.002038734	0.017773438	79.0	0.2438312	0.99291027	0.99291027	743.2432758808136
1	-0.7487148	0.0089377	-0.7317759	-0.76655245	256.0	0.0	256.0	256.0	-0.7447001	0.0056473715	-0.7199317	-0.76093614	10240	-1.0617077e-08	0.00013801933	-0.0017576466	-1.6902995e-05	2.5174224	0.0039016851	0.0078125	79.0	0.24571243	0.9944272	0.9944272	1485.183636188507
2	-0.7508412	0.011948975	-0.7316755	-0.77093506	256.0	0.0	256.0	256.0	-0.7488255	0.005767281	-0.7244906	-0.7662106	15360	1.3131649e-08	0.00019088082	-0.0028803193	-4.9454393e-06	2.5230896	0.006013497	0.026171874	79.0	0.24385908	0.9947003	0.9947003	2250.438797712326
3	-0.75730133	0.009694739	-0.7415972	-0.78318226	256.0	0.0	256.0	256.0	-0.7503505	0.0061207027	-0.72726566	-0.76625067	20480	7.823109e-09	0.00017221083	-0.0013431556	-4.887575e-05	2.5133293	0.0005229267	0.0	79.0	0.23618896	0.99349034	0.99349034	2949.994373321533
4	-0.7550065	0.0104761105	-0.7387592	-0.77722234	256.0	0.0	256.0	256.0	-0.7570499	0.0056595043	-0.7318938	-0.7736445	25600	1.3038516e-08	0.00015381495	-0.0010534574	-5.7975703e-06	2.5187397	0.0011217775	0.0	79.0	0.2392468	0.99425334	0.99425334	3652.4948432445526
5	-0.75974596	0.008573492	-0.7474437	-0.774976	256.0	0.0	256.0	256.0	-0.7546056	0.005593632	-0.7347608	-0.7728594	30720	1.7415733e-08	0.00013831479	-0.0040058116	-2.7576461e-05	2.5060349	0.004139904	0.043945312	79.0	0.23089631	0.9906422	0.9906422	4357.123018980026
6	-0.7618257	0.01512616	-0.72682774	-0.7925164	256.0	0.0	256.0	256.0	-0.759579	0.0058805696	-0.736223	-0.7771151	35840	3.7252903e-09	0.0002844471	-0.0029254486	-8.2042825e-06	2.5091245	0.006425238	0.06679688	79.0	0.23068662	0.99251205	0.99251205	5120.947107553482
7	-0.7602936	0.012772403	-0.7346826	-0.77938277	256.0	0.0	256.0	256.0	-0.76217914	0.0056213634	-0.73931986	-0.77852297	40960	7.450581e-09	0.00020958041	-0.0049629286	-2.0269552e-05	2.4918866	0.0066033476	0.061328124	79.0	0.23344669	0.9937402	0.9937402	5865.156576871872
8	-0.7630639	0.009430641	-0.7479674	-0.7858636	256.0	0.0	256.0	256.0	-0.75972855	0.0044971327	-0.7429504	-0.7766214	46080	1.527369e-08	0.00012016298	-0.0063398364	-1.7620034e-05	2.4719567	0.008054169	0.045898438	79.0	0.23043513	0.9934989	0.9934989	6579.0748744010925
9	-0.7736994	0.011670833	-0.7492307	-0.80279416	256.0	0.0	256.0	256.0	-0.7631306	0.0038280115	-0.7494881	-0.7767666	51200	-1.6763806e-08	0.0002684584	-0.0015965875	-0.00011430441	2.4571693	0.00028298033	0.0	79.0	0.22157073	0.99527013	0.99527013	7281.960216522217
10	-0.7756759	0.009136716	-0.7627179	-0.79573405	256.0	0.0	256.0	256.0	-0.7738393	0.003801048	-0.7615857	-0.78656656	56320	2.104789e-08	0.000106112704	-0.0028411204	-5.9519443e-06	2.431744	0.0029402152	0.0068359375	79.0	0.21710053	0.9927764	0.9927764	7984.737336158752
11	-0.77924275	0.008631042	-0.75286424	-0.79052943	256.0	0.0	256.0	256.0	-0.77550125	0.0033922328	-0.7636474	-0.7871536	61440	-9.685754e-09	0.000103018094	-0.0041436204	-1.5452526e-05	2.4199572	0.006448096	0.027929688	79.0	0.2162805	0.9955233	0.9955233	8688.176480531693
