iteration scheduler BSLD AVGW AVGT SLD
0 rr 1.0 0.0 1636.4716796875 0.3165434526907662
0 rb 1.0 0.0 1636.4716796875 0.3165434526907662
0 rf 1.0 0.0 1328.5029296875 0.2455535411290379
0 fr 1.0 0.0 4138.6982421875 0.8765760381174641
0 fb 1.0 0.0 4138.6982421875 0.8765760381174641
0 ff 1.0 0.0 1328.5029296875 0.2455535411290379
0 sr 1.0 0.0 2556.359375 0.5090663070100799
0 sb 1.0 0.0 2556.359375 0.5090663070100799
0 sf 1.0 0.0 1328.5029296875 0.2455535411290379
0 lr 1.0 0.0 3426.037109375 0.7597422876585801
0 lb 1.0 0.0 3426.037109375 0.7597422876585801
0 lf 1.0 0.0 1328.5029296875 0.2455535411290379
0 data/logs/model_homo_lublin_256_BSLD/model_homo_lublin_256_BSLD_s2406 1.0009765625 0.0 2314.845217704773 0.4466671122447121
0 data/logs/model_hetero_lublin_256_BSLD/model_hetero_lublin_256_BSLD_s2406 1.0009775161743164 0.0 2455.410005095415 0.4789399217884488
1 rr 1.0 0.0 2119.5771484375 0.3676592517939468
1 rb 1.0 0.0 2119.5771484375 0.3676592517939468
1 rf 1.0 0.0 1430.330078125 0.24897519391491038
1 fr 1.0 0.0 2462.9541015625 0.45692471260480844
1 fb 1.0 0.0 2462.9541015625 0.45692471260480844
1 ff 1.0 0.0 1430.330078125 0.24897519391491038
1 sr 1.0 0.0 2345.5732421875 0.41288784043204707
1 sb 1.0 0.0 2345.5732421875 0.41288784043204707
1 sf 1.0 0.0 1430.330078125 0.24897519391491038
1 lr 1.0 0.0 1979.2294921875 0.3384822948455562
1 lb 1.0 0.0 1979.2294921875 0.3384822948455562
1 lf 1.0 0.0 1430.330078125 0.24897519391491038
1 data/logs/model_homo_lublin_256_BSLD/model_homo_lublin_256_BSLD_s2406 1.0009765625 0.0 2635.528642654419 0.4521770069785475
1 data/logs/model_hetero_lublin_256_BSLD/model_hetero_lublin_256_BSLD_s2406 1.0009775161743164 0.0 2846.733914690092 0.5005511835183758
2 rr 1.0 0.0 2390.8017578125 0.5028249997141486
2 rb 1.0 0.0 2390.8017578125 0.5028249997141486
2 rf 1.0 0.0 1190.4404296875 0.24200734387759612
2 fr 1.0 0.0 1781.4716796875 0.3444855100192285
