iteration scheduler BSLD AVGW AVGT SLD
0 rr 1.0 0.0 4906.5888671875 1.0
0 rb 1.0 0.0 4906.5888671875 1.0
0 rf 1.0 0.0 4906.5888671875 1.0
0 fr 1.0 0.0 4906.5888671875 1.0
0 fb 1.0 0.0 4906.5888671875 1.0
0 ff 1.0 0.0 4906.5888671875 1.0
0 sr 1.0 0.0 4906.5888671875 1.0
0 sb 1.0 0.0 4906.5888671875 1.0
0 sf 1.0 0.0 4906.5888671875 1.0
0 lr 1.0 0.0 4906.5888671875 1.0
0 lb 1.0 0.0 4906.5888671875 1.0
0 lf 1.0 0.0 4906.5888671875 1.0
0 data/logs/model_homo_lublin_256_BSLD/model_homo_lublin_256_BSLD_s2406 1.0009765625 0.0 4911.380457878113 1.0009765625
0 data/logs/model_hetero_lublin_256_BSLD/model_hetero_lublin_256_BSLD_s2406 1.0009775161743164 0.0 4911.385137165897 1.0009775161743164
1 rr 1.0 0.0 5251.640625 1.0
1 rb 1.0 0.0 5251.640625 1.0
1 rf 1.0 0.0 5251.640625 1.0
1 fr 1.0 0.0 5251.640625 1.0
1 fb 1.0 0.0 5251.640625 1.0
1 ff 1.0 0.0 5251.640625 1.0
1 sr 1.0 0.0 5251.640625 1.0
1 sb 1.0 0.0 5251.640625 1.0
1 sf 1.0 0.0 5251.640625 1.0
1 lr 1.0 0.0 5251.640625 1.0
1 lb 1.0 0.0 5251.640625 1.0
1 lf 1.0 0.0 5251.640625 1.0
1 data/logs/model_homo_lublin_256_BSLD/model_homo_lublin_256_BSLD_s2406 1.0009765625 0.0 5256.769180297852 1.0009765625
1 data/logs/model_hetero_lublin_256_BSLD/model_hetero_lublin_256_BSLD_s2406 1.0009775161743164 0.0 5256.774188652635 1.0009775161743164
2 rr 1.0 0.0 4400.7080078125 1.0
2 rb 1.0 0.0 4400.7080078125 1.0
2 rf 1.0 0.0 4400.7080078125 1.0
2 fr 1.0 0.0 4400.7080078125 1.0
2 fb 1.0 0.0 4400.7080078125 1.0
2 ff 1.0 0.0 4400.7080078125 1.0
2 sr 1.0 0.0 4400.7080078125 1.0
2 sb 1.0 0.0 4400.7080078125 1.0
2 sf 1.0 0.0 4400.7080078125 1.0
2 lr 1.0 0.0 4400.7080078125 1.0
2 lb 1.0 0.0 4400.7080078125 1.0
2 lf 1.0 0.0 4400.7080078125 1.0
2 data/logs/model_homo_lublin_256_BSLD/model_homo_lublin_256_BSLD_s2406 1.0009765625 0.0 4405.005574226379 1.0009765625
