Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpLen	StdEpLen	MaxEpLen	MinEpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	ShowRet	SJF	F1	Time
0	-1841.07	898.7646	-721.57666	-4172.174	256.0	0.0	256.0	256.0	0.010669648	0.021652363	0.14209467	-0.074836195	5120	1.3038516e-08	4197367.0	-0.0024655194	-3305653.5	4.897686	0.00309148	0.004296875	79.0	-1494.8734	346.19653	346.19653	185.61194705963135
1	-1977.4056	1052.8159	-397.21365	-4470.9263	256.0	0.0	256.0	256.0	-2270.693	637.589	-1488.9113	-3879.5286	10240	-2.3283064e-09	1020623.5	-0.0023988246	-139905.12	5.0508456	-1.3439904e-05	0.0	79.0	-1575.8108	401.5948	401.5948	372.3304374217987
2	-2093.4685	959.8548	-841.23035	-4004.7383	256.0	0.0	256.0	256.0	-1978.4342	450.76453	-1422.2065	-3163.6135	15360	1.9185245e-08	721417.56	-0.0020992626	-28815.438	5.1498313	0.0019946662	0.0052734376	79.0	-1666.7002	426.76865	426.76865	557.0330910682678
3	-1896.7454	861.1285	-471.8119	-3925.663	256.0	0.0	256.0	256.0	-2064.2542	448.5076	-1553.0326	-3385.2305	20480	2.514571e-09	619898.9	-0.0036399607	-36907.562	5.0679903	0.0015628159	0.013085937	79.0	-1432.228	464.51743	464.51743	744.3638257980347
4	-1124.595	688.833	-412.34033	-3437.6406	256.0	0.0	256.0	256.0	-1722.2996	265.5977	-1469.8529	-3039.9136	25600	-1.0989607e-08	686634.3	-0.0051707597	-365587.4	4.6833944	0.0063903527	0.03984375	79.0	-823.308	301.28696	301.28696	927.4714257717133
5	-1840.2982	784.3825	-328.25238	-2963.226	256.0	0.0	256.0	256.0	-1400.9827	482.444	-869.25244	-2661.5737	30720	-2.6077032e-08	700128.8	-0.006663748	-220427.72	5.0241632	0.0038977042	0.09101562	79.0	-1328.0692	512.2291	512.2291	1115.343649148941
6	-1195.281	517.1782	-241.58168	-2160.9539	256.0	0.0	256.0	256.0	-1731.793	290.07654	-1462.4592	-2862.2898	35840	-2.644956e-08	499328.66	-0.0046062055	-289957.2	4.662047	0.0028248332	0.06875	79.0	-756.3595	438.92145	438.92145	1301.022842168808
7	-1579.6995	857.2239	-364.4309	-3827.3877	256.0	0.0	256.0	256.0	-1240.676	259.41675	-991.95264	-2139.855	40960	-5.7742e-09	724217.0	-0.006189291	-129675.25	4.8467355	0.0052415286	0.04121094	79.0	-1096.909	482.79044	482.79044	1487.5158562660217
8	-1256.2512	628.3065	-354.65814	-3142.3418	256.0	0.0	256.0	256.0	-1490.121	291.60046	-1246.9437	-2741.8027	46080	-8.102506e-09	335376.56	-0.0068716155	-60052.375	4.621662	0.0060694804	0.05292969	79.0	-891.54376	364.70758	364.70758	1672.644268989563
9	-1605.67	598.7152	-621.37683	-3021.5432	256.0	0.0	256.0	256.0	-1357.4749	341.75583	-1012.108	-2645.0017	51200	1.3038516e-08	398857.84	-0.007855006	-90498.59	4.948534	0.008668134	0.06503906	79.0	-1171.1619	434.50812	434.50812	1859.6672751903534
