Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpLen	StdEpLen	MaxEpLen	MinEpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	ShowRet	SJF	F1	Time
0	-1247.8962	568.1251	-292.40933	-2318.768	256.0	0.0	256.0	256.0	0.08711747	0.06344259	0.44954145	-0.050517462	5120	-2.5331975e-08	1880232.4	-0.0021847493	-1616048.2	5.7278504	0.0024589128	0.0041015623	79.0	-1189.451	58.445118	58.445118	403.26481223106384
1	-794.2217	439.17468	-86.694405	-1755.9735	256.0	0.0	256.0	256.0	-1082.5372	234.06047	-843.4861	-1962.4717	10240	-1.7974525e-08	240741.8	-0.0016227396	-85928.125	5.258355	0.0027558452	0.0076171877	79.0	-744.49414	49.727516	49.727516	804.7963674068451
2	-894.6168	490.88638	-320.64987	-2414.3008	256.0	0.0	256.0	256.0	-823.1406	203.74307	-615.1251	-1553.5757	15360	-2.9802323e-09	189432.08	-0.001816926	-10307.328	5.444221	0.0015955626	0.01953125	79.0	-851.63116	42.98562	42.98562	1202.3757271766663
3	-872.57404	436.8973	-319.72025	-1846.5144	256.0	0.0	256.0	256.0	-889.6375	220.44374	-665.01404	-1753.8428	20480	-5.6345018e-09	170621.22	-0.0019972243	-8113.8125	5.451477	0.0019037679	0.020703126	79.0	-831.88074	40.693184	40.693184	1601.978375196457
4	-670.1385	266.29556	-289.6997	-1354.4119	256.0	0.0	256.0	256.0	-827.6742	125.495705	-705.3459	-1343.0272	25600	-3.3527612e-09	85508.234	-0.0029927138	-26002.035	5.165502	0.004683687	0.032421876	79.0	-647.4596	22.67895	22.67895	2000.0858285427094
5	-727.1444	347.7488	-182.73558	-1427.0543	256.0	0.0	256.0	256.0	-691.5741	134.51514	-571.5873	-1358.1056	30720	-1.1175871e-08	99065.07	-0.0024973955	-6451.211	5.206791	0.0026074033	0.01640625	79.0	-667.3219	59.82262	59.82262	2398.2574372291565
6	-667.5489	276.16806	-167.10352	-1122.8647	256.0	0.0	256.0	256.0	-713.0568	127.13012	-593.06195	-1187.0618	35840	1.527369e-08	64471.523	-0.0034368401	-3608.6875	5.1412973	0.003965062	0.031054687	79.0	-645.5558	21.993122	21.993122	2798.8659856319427
7	-636.2638	286.16464	-227.54176	-1475.1278	256.0	0.0	256.0	256.0	-659.50226	117.45551	-555.75745	-1465.4158	40960	5.6810676e-09	62867.1	-0.0031730873	-1626.1875	5.1538444	0.0047605243	0.046289064	79.0	-588.66724	47.596695	47.596695	3198.336269378662
8	-721.278	396.54398	-179.88623	-1684.3059	256.0	0.0	256.0	256.0	-659.0927	161.0979	-516.17413	-1529.2766	46080	-1.9185245e-08	119614.7	-0.0035606103	-6911.7656	5.292199	0.001342465	0.015039062	79.0	-667.93414	53.343903	53.343903	3595.9456918239594
9	-646.3569	316.9573	-123.18578	-1504.5914	256.0	0.0	256.0	256.0	-698.93945	178.86441	-542.10486	-1543.9967	51200	2.7939677e-09	80393.445	-0.00484819	-5443.4297	5.0671625	0.0037041442	0.03203125	79.0	-604.7363	41.620514	41.620514	3996.2048687934875
10	-655.151	344.08176	-230.3438	-1642.5289	256.0	0.0	256.0	256.0	-666.43896	191.49684	-516.77655	-1752.2231	56320	3.8184225e-09	79699.45	-0.0038161173	-2128.125	5.205368	0.0028584362	0.013671875	79.0	-607.8978	47.253075	47.253075	4398.141330242157
11	-492.06476	248.15784	-141.43916	-1038.0231	256.0	0.0	256.0	256.0	-605.4627	139.35583	-509.5659	-1475.3921	61440	-2.9942022e-08	62494.242	-0.005679098	-14278.703	4.863515	0.007950186	0.07304688	79.0	-436.24258	55.822254	55.822254	4795.6573741436005
12	-530.0252	225.79018	-226.21332	-1245.12	256.0	0.0	256.0	256.0	-496.03647	106.97914	-411.4214	-1087.1492	66560	4.0978194e-09	36477.594	-0.0028769982	-1830.8203	5.0380163	0.0031984553	0.0234375	79.0	-495.26862	34.756718	34.756718	5196.444381952286
13	-476.9715	241.50026	-91.088394	-1077.4478	256.0	0.0	256.0	256.0	-520.3901	117.49611	-434.6484	-1279.7552	71680	-8.5681675e-09	51998.47	-0.0036581606	-2660.039	4.8573537	-0.00041824873	0.02578125	79.0	-429.24292	47.72851	47.72851	5594.7965042591095
14	-476.95792	206.0336	-139.22032	-1049.4689	256.0	0.0	256.0	256.0	-476.07782	91.62249	-409.0016	-1117.2324	76800	-3.427267e-08	33100.094	-0.0043791356	-472.4629	4.8680506	0.0027084292	0.025390625	79.0	-419.26578	57.692097	57.692097	5992.939910888672
15	-533.64606	314.38257	-118.02776	-1521.5303	256.0	0.0	256.0	256.0	-505.69638	134.1705	-395.59952	-1269.6302	81920	1.1175871e-09	61773.46	-0.003795944	-7051.6367	4.9978213	0.0024341447	0.023046875	79.0	-476.4755	57.170563	57.170563	6388.805242061615
16	-412.40317	159.6908	-107.755226	-846.1383	256.0	0.0	256.0	256.0	-455.6744	103.89071	-367.08786	-1255.7731	87040	2.3748725e-09	26543.828	-0.0027005516	-4336.615	4.688632	2.0351796e-05	0.009570313	79.0	-376.2601	36.14306	36.14306	6786.329092502594
17	-405.08035	145.79059	-202.84166	-621.5347	256.0	0.0	256.0	256.0	-417.27197	62.841717	-366.7253	-698.9893	92160	-4.8894435e-09	17518.936	-0.0035197916	-292.7168	4.7459764	0.0033436487	0.02109375	79.0	-346.16614	58.914246	58.914246	7182.253093242645
18	-402.07452	164.56908	-176.25542	-931.1142	256.0	0.0	256.0	256.0	-405.30103	72.24379	-353.21664	-843.4297	97280	8.288771e-09	21089.666	-0.0026984005	-758.78516	4.772109	0.0008032968	0.01328125	79.0	-357.5485	44.52607	44.52607	7580.081387758255
19	-461.28052	211.6373	-113.15548	-1034.5387	256.0	0.0	256.0	256.0	-433.61127	107.43528	-349.4938	-884.5993	102400	3.0733645e-09	27517.066	-0.004685423	-2044.416	5.077919	0.0077046766	0.03359375	79.0	-381.6669	79.61364	79.61364	7977.469099998474
20	-427.9956	153.4809	-190.19319	-794.8516	256.0	0.0	256.0	256.0	-447.03497	106.5968	-358.2442	-1015.86884	107520	-5.541369e-09	20423.068	-0.003146934	-1859.0527	4.963379	0.0032000807	0.013671875	79.0	-358.74066	69.25498	69.25498	8373.05830526352
21	-289.48163	80.700516	-152.06288	-430.75	256.0	0.0	256.0	256.0	-396.48364	36.751842	-369.63525	-606.52576	112640	-2.0489097e-09	17336.395	-0.0042578005	-11567.111	4.651787	0.0037864428	0.043945312	79.0	-243.03244	46.44918	46.44918	8765.294928789139
