Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpLen	StdEpLen	MaxEpLen	MinEpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	ShowRet	SJF	F1	Time
0	-1628.2485	920.8768	-652.1104	-3672.3306	256.0	0.0	256.0	256.0	0.0021676149	0.02929473	0.12200074	-0.12547539	2560	2.346933e-08	3499223.2	-0.0049021207	-2746705.0	4.7359166	0.0027338746	0.034375	79.0	-1272.8411	355.40747	355.40747	145.0290241241455
1	-1657.7439	554.2473	-719.00555	-2556.6873	256.0	0.0	256.0	256.0	-1527.5978	406.5144	-1027.5381	-2520.0872	5120	6.7055224e-09	332097.06	-0.006188095	-64737.47	4.9705515	0.005110451	0.028515626	79.0	-1287.051	370.69308	370.69308	291.8364176750183
2	-1714.4225	736.4244	-700.2928	-3025.0803	256.0	0.0	256.0	256.0	-1638.823	241.62263	-1352.2721	-2255.3887	7680	1.5553088e-08	444153.1	-0.005207539	-24900.594	4.974963	0.0013083282	0.037890624	79.0	-1396.7322	317.69012	317.69012	437.9704158306122
3	-1753.2565	961.0693	-727.59344	-3282.8086	256.0	0.0	256.0	256.0	-1738.169	385.02637	-1343.3408	-2766.4856	10240	2.2351743e-09	667268.7	-0.006887827	-43903.5	4.962847	0.0049727657	0.06914063	79.0	-1366.1353	387.12103	387.12103	586.6341288089752
4	-1318.0536	703.8598	-508.695	-2749.518	256.0	0.0	256.0	256.0	-1648.0303	416.3643	-1249.979	-3301.878	12800	9.080395e-09	435463.2	-0.009956853	-117120.625	4.8935556	0.00324621	0.0734375	79.0	-845.17004	472.88364	472.88364	734.0231196880341
5	-1805.8816	1153.4501	-566.11444	-4717.372	256.0	0.0	256.0	256.0	-1431.5563	513.82556	-890.3005	-3018.3562	15360	1.0430813e-08	1108705.2	-0.010438067	-253799.25	4.899518	0.0066035674	0.058203124	79.0	-1555.4902	250.39145	250.39145	880.8031182289124
6	-1553.0643	470.2024	-740.77075	-2171.1301	256.0	0.0	256.0	256.0	-1776.2699	500.1071	-883.15063	-3710.341	17920	-6.798655e-09	359206.8	-0.0132424515	-180656.31	5.08965	0.008191938	0.11210938	79.0	-907.6051	645.4593	645.4593	1028.3519167900085
7	-818.97015	244.65445	-520.6996	-1381.0801	256.0	0.0	256.0	256.0	-1432.0857	106.42468	-1319.0719	-2001.1504	20480	-1.9371509e-08	419556.9	-0.008634453	-375578.84	4.5686593	0.0030718683	0.042578124	79.0	-430.47192	388.4983	388.4983	1180.177337884903
8	-914.8444	209.82477	-523.12823	-1148.282	256.0	0.0	256.0	256.0	-837.02716	117.06645	-711.2362	-1240.4644	23040	-5.2154063e-09	45867.305	-0.0066883075	-8355.234	4.6616273	0.005422173	0.0265625	79.0	-526.2029	388.64154	388.64154	1337.2603795528412
9	-748.68536	186.10234	-386.40424	-1027.6338	256.0	0.0	256.0	256.0	-896.125	57.14768	-826.4534	-1106.1292	25600	1.3504177e-08	52624.727	-0.010413114	-21903.695	4.550843	0.007413689	0.078125	79.0	-166.00381	582.6815	582.6815	1485.7896091938019
10	-973.73486	281.1035	-576.5056	-1447.9668	256.0	0.0	256.0	256.0	-782.2288	87.24658	-680.7318	-1273.6016	28160	-5.2154063e-09	110613.42	-0.0083682025	-40570.188	4.8068986	0.0044915555	0.03203125	79.0	-375.48233	598.25256	598.25256	1646.2801849842072
11	-787.6371	331.2006	-331.9992	-1293.3824	256.0	0.0	256.0	256.0	-944.7174	75.875374	-888.8619	-1433.6931	30720	0.0	116751.5	-0.011064759	-34986.938	4.512519	0.01178477	0.11171875	79.0	-171.25212	616.3851	616.3851	1803.9452667236328
12	-570.0766	200.77385	-282.72693	-894.26373	256.0	0.0	256.0	256.0	-758.5746	117.62437	-661.1302	-1412.8406	33280	2.6077032e-09	70922.21	-0.011609153	-37162.91	4.49216	0.0076543293	0.12929687	79.0	-165.534	404.54257	404.54257	1954.8594930171967
13	-500.5438	271.8252	-111.59397	-1046.1619	256.0	0.0	256.0	256.0	-557.8757	70.477135	-499.65436	-857.1699	35840	-3.8184225e-09	58570.395	-0.009939978	-13923.395	4.0190496	0.004152166	0.0640625	79.0	-300.41107	200.1328	200.1328	2106.438272714615
14	-583.5904	244.73314	-261.21884	-1153.2843	256.0	0.0	256.0	256.0	-528.79266	154.92169	-373.0778	-1327.3829	38400	-2.1606684e-08	51867.824	-0.012070596	-7307.6133	4.4507713	0.008663283	0.07070313	79.0	-96.71317	486.8772	486.8772	2261.97771191597
15	-770.5536	320.6295	-350.59628	-1240.5717	256.0	0.0	256.0	256.0	-643.52606	190.27512	-474.64236	-1610.9799	40960	-1.3690442e-08	88857.89	-0.011825574	-23537.023	4.463662	0.0058909655	0.07109375	79.0	-359.79395	410.7596	410.7596	2423.337499856949
